W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Green Bay Packers,23.0,10.0,24.0,38.0,239.0,1.0,1.0,0.0,0.0,6.3,6.3,63.2,78.7,32.0,112.0,3.5,1.0,3.0,3.0,2.0,2.0,4.0,155.0,4.0,12.0,0.0,1.0,32:09,2017,min,2017-10-15,0.6666666666666666
1,0,0,Baltimore Ravens,24.0,16.0,20.0,31.0,188.0,0.0,1.0,0.0,0.0,6.1,6.1,64.5,67.7,33.0,169.0,5.1,1.0,6.0,6.0,0.0,1.0,2.0,92.0,7.0,15.0,0.0,0.0,32:01,2017,min,2017-10-22,0.7142857142857143
1,0,1,Cleveland Browns,33.0,16.0,27.0,43.0,287.0,2.0,1.0,1.0,1.0,6.7,6.5,62.8,88.0,34.0,88.0,2.6,1.0,4.0,4.0,1.0,2.0,6.0,221.0,6.0,16.0,0.0,0.0,37:52,2017,min,2017-10-29,0.75
1,0,1,Washington Redskins,38.0,30.0,21.0,29.0,304.0,4.0,2.0,0.0,0.0,10.5,10.5,72.4,117.0,31.0,102.0,3.3,1.0,1.0,1.0,5.0,5.0,2.0,79.0,8.0,12.0,0.0,0.0,28:54,2017,min,2017-11-12,0.7777777777777778
1,0,0,Los Angeles Rams,24.0,7.0,27.0,38.0,280.0,1.0,0.0,0.0,0.0,7.4,7.4,71.1,100.8,35.0,171.0,4.9,2.0,1.0,3.0,3.0,3.0,3.0,137.0,7.0,14.0,1.0,1.0,37:22,2017,min,2017-11-19,0.8
1,0,1,Detroit Lions,30.0,23.0,21.0,30.0,272.0,2.0,0.0,2.0,10.0,9.4,8.5,70.0,120.4,41.0,136.0,3.3,2.0,1.0,2.0,3.0,4.0,4.0,171.0,6.0,13.0,0.0,0.0,34:57,2017,min,2017-11-23,0.8181818181818182
1,0,1,Atlanta Falcons,14.0,9.0,25.0,30.0,207.0,2.0,0.0,2.0,20.0,7.6,6.5,83.3,117.6,31.0,105.0,3.4,0.0,0.0,0.0,2.0,2.0,5.0,225.0,6.0,12.0,0.0,0.0,34:02,2017,min,2017-12-03,0.8333333333333334
0,0,1,Carolina Panthers,24.0,31.0,27.0,44.0,256.0,2.0,2.0,6.0,24.0,6.4,5.1,61.4,73.7,21.0,100.0,4.8,0.0,3.0,4.0,1.0,1.0,3.0,131.0,7.0,15.0,0.0,1.0,28:42,2017,min,2017-12-10,0.7692307692307693
1,0,0,Cincinnati Bengals,34.0,7.0,20.0,25.0,222.0,2.0,1.0,2.0,14.0,9.4,8.2,80.0,113.7,34.0,124.0,3.6,1.0,2.0,2.0,4.0,4.0,5.0,217.0,4.0,12.0,0.0,0.0,35:52,2017,min,2017-12-17,0.7857142857142857
1,0,1,Green Bay Packers,16.0,0.0,14.0,25.0,124.0,1.0,0.0,3.0,15.0,5.6,4.4,56.0,82.7,33.0,112.0,3.4,0.0,3.0,3.0,1.0,1.0,7.0,277.0,4.0,15.0,0.0,0.0,31:37,2017,min,2017-12-23,0.8
