PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
24.0,31.0,198.0,1.0,1.0,1.0,3.0,6.5,77.4,90.5,30.0,100.0,3.3,2.0,2.0,2.0,2.0,2.0,3.0,155.0,6.0,12.0,1.0,1.0,31:53,2018-12-09,14,Sun,1:00PM ET,1,0,11-2,1,Tampa Bay Buccaneers,28.0,14.0,19.0,298.0,198.0,100.0,2.0,20.0,279.0,174.0,105.0,1.0,1.64,1.15,10.68,nor,2018,12,2018,23.0,35.5,0.8461538461538461
23.0,35.0,191.0,0.0,1.0,2.0,12.0,5.8,65.7,67.7,32.0,155.0,4.8,1.0,2.0,2.0,0.0,0.0,4.0,168.0,4.0,13.0,1.0,1.0,35:09,2018-12-17,15,Mon,8:15PM ET,1,0,12-2,1,Carolina Panthers,12.0,9.0,21.0,346.0,191.0,155.0,2.0,13.0,247.0,149.0,98.0,2.0,-4.68,9.06,4.46,nor,2018,12,2018,16.666666666666668,30.0,0.8571428571428571
27.0,40.0,313.0,1.0,1.0,2.0,13.0,8.2,67.5,88.9,19.0,57.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,141.0,6.0,12.0,0.0,0.0,28:40,2018-12-23,16,Sun,4:25PM ET,1,0,13-2,0,Pittsburgh Steelers,31.0,28.0,24.0,370.0,313.0,57.0,1.0,26.0,429.0,364.0,65.0,2.0,18.48,-14.44,-0.77,nor,2018,12,2018,23.666666666666668,26.666666666666668,0.8666666666666667
14.0,22.0,110.0,1.0,1.0,2.0,8.0,5.4,63.6,72.2,27.0,184.0,6.8,1.0,0.0,0.0,2.0,2.0,5.0,210.0,4.0,10.0,0.0,1.0,26:34,2018-12-30,17,Sun,1:00PM ET,0,0,13-3,0,Carolina Panthers,14.0,33.0,17.0,294.0,110.0,184.0,1.0,25.0,374.0,263.0,111.0,0.0,1.59,-19.43,0.9,nor,2018,12,2018,19.0,21.0,0.8125
32.0,43.0,362.0,2.0,1.0,1.0,8.0,8.6,74.4,105.0,21.0,148.0,7.0,1.0,3.0,4.0,3.0,3.0,2.0,88.0,7.0,11.0,0.0,0.0,30:13,2019-09-09,1,Mon,7:10PM ET,1,0,1-0,0,Houston Texans,30.0,28.0,25.0,510.0,362.0,148.0,1.0,22.0,414.0,234.0,180.0,1.0,23.59,-19.6,-0.06,nor,2019,9,2019,,,1.0
20.0,35.0,187.0,0.0,1.0,2.0,16.0,5.8,57.1,60.1,20.0,57.0,2.9,0.0,3.0,3.0,0.0,0.0,5.0,244.0,4.0,13.0,0.0,1.0,29:39,2019-09-15,2,Sun,4:25PM ET,0,0,1-1,1,Los Angeles Rams,9.0,27.0,15.0,244.0,187.0,57.0,1.0,20.0,380.0,265.0,115.0,1.0,-13.12,-7.63,6.34,nor,2019,9,2019,,,0.5
19.0,27.0,177.0,2.0,0.0,0.0,0.0,6.6,70.4,112.7,23.0,88.0,3.8,1.0,0.0,0.0,3.0,4.0,6.0,324.0,3.0,11.0,1.0,1.0,28:27,2019-09-22,3,Sun,4:25PM ET,1,0,2-1,1,Seattle Seahawks,33.0,27.0,15.0,265.0,177.0,88.0,1.0,26.0,514.0,406.0,108.0,1.0,0.89,-8.28,6.88,nor,2019,9,2019,24.0,,0.6666666666666666
23.0,30.0,149.0,0.0,1.0,5.0,44.0,6.4,76.7,72.8,27.0,117.0,4.3,0.0,4.0,4.0,0.0,0.0,4.0,174.0,6.0,14.0,0.0,0.0,36:04,2019-09-29,4,Sun,8:20PM ET,1,0,3-1,0,Dallas Cowboys,12.0,10.0,18.0,266.0,149.0,117.0,1.0,15.0,257.0,212.0,45.0,3.0,-1.84,-1.46,0.65,nor,2019,9,2019,18.0,,0.75
28.0,36.0,345.0,4.0,1.0,0.0,0.0,9.6,77.8,132.1,31.0,112.0,3.6,0.0,1.0,1.0,4.0,4.0,3.0,113.0,8.0,15.0,1.0,2.0,33:27,2019-10-06,5,Sun,1:00PM ET,1,0,4-1,0,Tampa Bay Buccaneers,31.0,24.0,25.0,457.0,345.0,112.0,1.0,19.0,252.0,158.0,94.0,0.0,17.39,-4.27,-3.99,nor,2019,10,2019,25.333333333333332,,0.8
24.0,36.0,222.0,1.0,0.0,3.0,18.0,6.7,66.7,92.6,26.0,104.0,4.0,0.0,2.0,2.0,1.0,1.0,6.0,251.0,5.0,13.0,0.0,0.0,33:09,2019-10-13,6,Sun,1:00PM ET,1,0,5-1,1,Jacksonville Jaguars,13.0,6.0,18.0,326.0,222.0,104.0,0.0,11.0,226.0,151.0,75.0,1.0,1.88,11.07,-0.56,nor,2019,10,2019,18.666666666666668,21.333333333333332,0.8333333333333334
23.0,38.0,273.0,2.0,0.0,1.0,8.0,7.4,60.5,100.0,35.0,151.0,4.3,2.0,2.0,4.0,4.0,4.0,4.0,169.0,7.0,15.0,0.0,0.0,37:26,2019-10-20,7,Sun,4:25PM ET,1,0,6-1,1,Chicago Bears,36.0,25.0,24.0,424.0,273.0,151.0,0.0,16.0,252.0,235.0,17.0,2.0,13.46,12.36,-10.99,nor,2019,10,2019,26.666666666666668,22.333333333333332,0.8571428571428571
34.0,43.0,373.0,3.0,1.0,0.0,0.0,8.7,79.1,116.4,29.0,137.0,4.7,1.0,1.0,2.0,4.0,4.0,2.0,88.0,7.0,12.0,0.0,0.0,37:59,2019-10-27,8,Sun,1:00PM ET,1,0,7-1,0,Arizona Cardinals,31.0,9.0,28.0,510.0,373.0,137.0,1.0,10.0,237.0,197.0,40.0,0.0,24.66,11.97,-9.91,nor,2019,10,2019,26.666666666666668,26.0,0.875
33.0,46.0,258.0,0.0,0.0,6.0,46.0,6.6,71.7,85.2,11.0,52.0,4.7,0.0,3.0,3.0,0.0,0.0,4.0,192.0,3.0,12.0,0.0,3.0,26:14,2019-11-10,10,Sun,1:00PM ET,0,0,7-2,0,Atlanta Falcons,9.0,26.0,18.0,310.0,258.0,52.0,0.0,24.0,317.0,174.0,143.0,1.0,-10.99,-5.44,0.17,nor,2019,11,2019,25.333333333333332,22.0,0.7777777777777778
28.0,35.0,219.0,3.0,0.0,1.0,9.0,6.5,80.0,121.3,28.0,109.0,3.9,0.0,2.0,2.0,4.0,4.0,3.0,126.0,7.0,13.0,1.0,1.0,37:00,2019-11-17,11,Sun,1:00PM ET,1,0,8-2,1,Tampa Bay Buccaneers,34.0,17.0,21.0,328.0,219.0,109.0,0.0,21.0,334.0,298.0,36.0,4.0,12.23,1.16,-0.13,nor,2019,11,2019,24.666666666666668,25.666666666666668,0.8
30.0,39.0,300.0,3.0,1.0,2.0,11.0,8.0,76.9,113.2,18.0,118.0,6.6,1.0,2.0,2.0,4.0,4.0,3.0,148.0,4.0,10.0,0.0,1.0,28:27,2019-11-24,12,Sun,1:00PM ET,1,0,9-2,0,Carolina Panthers,34.0,31.0,23.0,418.0,300.0,118.0,1.0,26.0,351.0,230.0,121.0,1.0,15.06,-16.55,5.89,nor,2019,11,2019,25.666666666666668,26.166666666666668,0.8181818181818182
18.0,31.0,184.0,1.0,0.0,0.0,0.0,5.9,58.1,86.0,18.0,95.0,5.3,1.0,4.0,4.0,2.0,2.0,4.0,194.0,2.0,10.0,0.0,0.0,24:23,2019-11-28,13,Thu,8:20PM ET,1,0,10-2,1,Atlanta Falcons,26.0,18.0,14.0,279.0,184.0,95.0,0.0,27.0,348.0,259.0,89.0,3.0,1.68,5.43,4.87,nor,2019,11,2019,31.333333333333332,28.333333333333332,0.8333333333333334
29.0,41.0,349.0,5.0,0.0,0.0,0.0,8.5,70.7,136.1,27.0,116.0,4.3,1.0,2.0,2.0,4.0,4.0,1.0,45.0,5.0,11.0,2.0,3.0,31:23,2019-12-08,14,Sun,1:00PM ET,0,0,10-3,0,San Francisco 49ers,46.0,48.0,28.0,465.0,349.0,116.0,1.0,25.0,516.0,354.0,162.0,1.0,21.97,-27.42,3.51,nor,2019,12,2019,35.333333333333336,30.0,0.7692307692307693
29.0,30.0,307.0,4.0,0.0,0.0,0.0,10.2,96.7,148.9,33.0,117.0,3.5,0.0,2.0,2.0,4.0,4.0,2.0,87.0,5.0,9.0,0.0,0.0,36:22,2019-12-16,15,Mon,8:15PM ET,1,0,11-3,0,Indianapolis Colts,34.0,7.0,27.0,424.0,307.0,117.0,0.0,16.0,205.0,159.0,46.0,0.0,23.61,2.27,0.53,nor,2019,12,2019,35.333333333333336,30.5,0.7857142857142857
28.0,40.0,275.0,3.0,0.0,3.0,24.0,7.5,70.0,114.1,23.0,102.0,4.4,2.0,1.0,1.0,5.0,5.0,5.0,244.0,4.0,12.0,0.0,1.0,31:04,2019-12-22,16,Sun,1:00PM ET,1,0,12-3,1,Tennessee Titans,38.0,28.0,23.0,377.0,275.0,102.0,0.0,17.0,397.0,248.0,149.0,1.0,13.33,-4.25,2.33,nor,2019,12,2019,39.333333333333336,35.333333333333336,0.8
20.0,31.0,264.0,3.0,0.0,1.0,3.0,8.6,64.5,123.6,35.0,115.0,3.3,2.0,0.0,0.0,6.0,6.0,6.0,283.0,4.0,11.0,0.0,0.0,35:40,2019-12-29,17,Sun,1:00PM ET,1,0,13-3,1,Carolina Panthers,42.0,10.0,25.0,379.0,264.0,115.0,0.0,16.0,329.0,288.0,41.0,3.0,17.52,14.97,-2.88,nor,2019,12,2019,38.0,36.666666666666664,0.8125
19.0,31.0,189.0,2.0,0.0,1.0,9.0,6.4,61.3,100.1,34.0,82.0,2.4,1.0,2.0,2.0,4.0,4.0,6.0,264.0,5.0,15.0,0.0,1.0,31:23,2020-09-13,1,Sun,4:25PM ET,1,0,1-0,0,Tampa Bay Buccaneers,34.0,23.0,18.0,271.0,189.0,82.0,0.0,23.0,310.0,224.0,86.0,3.0,1.98,-0.48,11.57,nor,2020,9,2020,,,1.0
26.0,38.0,312.0,1.0,1.0,0.0,0.0,8.2,68.4,91.1,19.0,112.0,5.9,2.0,1.0,1.0,3.0,3.0,3.0,109.0,7.0,11.0,0.0,0.0,23:42,2020-09-21,2,Mon,8:15PM ET,0,0,1-1,1,Las Vegas Raiders,24.0,34.0,26.0,424.0,312.0,112.0,1.0,28.0,377.0,261.0,116.0,1.0,13.97,-22.48,0.31,nor,2020,9,2020,,,0.5
29.0,36.0,275.0,3.0,0.0,2.0,13.0,8.0,80.6,126.3,20.0,122.0,6.1,0.0,3.0,3.0,3.0,3.0,3.0,115.0,5.0,11.0,1.0,1.0,28:20,2020-09-27,3,Sun,8:20PM ET,0,0,1-2,0,Green Bay Packers,30.0,37.0,21.0,397.0,275.0,122.0,1.0,24.0,369.0,271.0,98.0,0.0,14.59,-19.67,-5.23,nor,2020,9,2020,29.333333333333332,,0.3333333333333333
19.0,25.0,228.0,2.0,1.0,2.0,18.0,9.8,76.0,113.4,42.0,164.0,3.9,3.0,0.0,0.0,5.0,5.0,2.0,66.0,10.0,14.0,1.0,1.0,36:46,2020-10-04,4,Sun,1:00PM ET,1,0,2-2,1,Detroit Lions,35.0,29.0,29.0,392.0,228.0,164.0,1.0,18.0,281.0,191.0,90.0,1.0,23.24,-11.85,-5.65,nor,2020,10,2020,29.666666666666668,,0.5
33.0,48.0,313.0,1.0,1.0,2.0,12.0,6.8,68.8,84.8,25.0,95.0,3.8,2.0,3.0,3.0,3.0,3.0,6.0,281.0,5.0,15.0,0.0,0.0,35:01,2020-10-12,5,Mon,8:15PM ET,1,1,3-2,0,Los Angeles Chargers,30.0,27.0,23.0,408.0,313.0,95.0,1.0,19.0,350.0,239.0,111.0,0.0,3.09,-6.8,7.44,nor,2020,10,2020,31.666666666666668,,0.6
30.0,37.0,277.0,2.0,0.0,1.0,10.0,7.8,81.1,115.9,29.0,138.0,4.8,1.0,2.0,2.0,3.0,3.0,0.0,0.0,12.0,14.0,0.0,0.0,34:41,2020-10-25,7,Sun,1:00PM ET,1,0,4-2,0,Carolina Panthers,27.0,24.0,26.0,415.0,277.0,138.0,1.0,18.0,283.0,246.0,37.0,0.0,21.29,-17.99,1.07,nor,2020,10,2020,30.666666666666668,30.0,0.6666666666666666
31.0,41.0,272.0,2.0,0.0,1.0,8.0,6.8,75.6,109.0,30.0,122.0,4.1,0.0,4.0,5.0,2.0,2.0,4.0,153.0,2.0,13.0,2.0,3.0,35:15,2020-11-01,8,Sun,4:25PM ET,1,1,5-2,1,Chicago Bears,26.0,23.0,23.0,394.0,272.0,122.0,0.0,18.0,329.0,233.0,96.0,1.0,6.13,-0.1,-4.3,nor,2020,11,2020,27.666666666666668,28.666666666666668,0.7142857142857143
29.0,35.0,282.0,4.0,0.0,1.0,0.0,8.1,82.9,138.3,37.0,138.0,3.7,1.0,1.0,1.0,5.0,5.0,1.0,51.0,9.0,14.0,1.0,2.0,40:04,2020-11-08,9,Sun,8:20PM ET,1,0,6-2,1,Tampa Bay Buccaneers,38.0,3.0,27.0,420.0,282.0,138.0,2.0,13.0,194.0,186.0,8.0,3.0,13.73,19.57,-0.26,nor,2020,11,2020,30.333333333333332,31.0,0.75
14.0,23.0,123.0,1.0,0.0,3.0,16.0,6.0,60.9,89.6,30.0,114.0,3.8,2.0,2.0,2.0,3.0,3.0,5.0,205.0,2.0,12.0,0.0,0.0,27:06,2020-11-15,10,Sun,4:25PM ET,1,0,7-2,0,San Francisco 49ers,27.0,13.0,17.0,237.0,123.0,114.0,2.0,21.0,281.0,232.0,49.0,4.0,-2.66,8.03,6.47,nor,2020,11,2020,30.333333333333332,30.5,0.7777777777777778
18.0,23.0,210.0,0.0,0.0,3.0,23.0,10.1,78.3,104.7,36.0,166.0,4.6,3.0,1.0,2.0,3.0,3.0,4.0,159.0,4.0,11.0,1.0,1.0,33:41,2020-11-22,11,Sun,1:00PM ET,1,0,8-2,0,Atlanta Falcons,24.0,9.0,24.0,376.0,210.0,166.0,1.0,14.0,248.0,196.0,52.0,2.0,12.49,4.08,-8.6,nor,2020,11,2020,29.666666666666668,28.666666666666668,0.8
9.0,16.0,63.0,0.0,1.0,3.0,15.0,4.9,56.3,39.3,44.0,229.0,5.2,4.0,1.0,1.0,4.0,4.0,6.0,274.0,7.0,15.0,0.0,0.0,35:46,2020-11-29,12,Sun,4:05PM ET,1,0,9-2,1,Denver Broncos,31.0,3.0,19.0,292.0,63.0,229.0,1.0,6.0,112.0,12.0,100.0,3.0,4.99,26.81,-4.76,nor,2020,11,2020,27.333333333333332,28.833333333333332,0.8181818181818182
27.0,37.0,217.0,2.0,0.0,2.0,15.0,6.3,73.0,105.3,36.0,207.0,5.8,1.0,0.0,1.0,3.0,3.0,5.0,199.0,8.0,17.0,2.0,3.0,36:54,2020-12-06,13,Sun,1:00PM ET,1,0,10-2,1,Atlanta Falcons,21.0,16.0,23.0,424.0,217.0,207.0,1.0,21.0,332.0,262.0,70.0,1.0,8.37,0.46,-6.27,nor,2020,12,2020,25.333333333333332,27.833333333333332,0.8333333333333334
28.0,38.0,262.0,2.0,1.0,5.0,29.0,7.7,73.7,98.8,20.0,96.0,4.8,1.0,0.0,2.0,3.0,3.0,4.0,211.0,5.0,12.0,0.0,1.0,29:44,2020-12-13,14,Sun,4:25PM ET,0,0,10-3,1,Philadelphia Eagles,21.0,24.0,20.0,358.0,262.0,96.0,2.0,21.0,413.0,167.0,246.0,1.0,4.23,-6.77,-1.33,nor,2020,12,2020,24.333333333333332,27.0,0.7692307692307693
15.0,34.0,225.0,3.0,1.0,1.0,9.0,6.9,44.1,83.6,17.0,60.0,3.5,1.0,0.0,0.0,3.0,3.0,8.0,378.0,1.0,11.0,1.0,1.0,18:46,2020-12-20,15,Sun,4:25PM ET,0,0,10-4,0,Kansas City Chiefs,29.0,32.0,15.0,285.0,225.0,60.0,1.0,34.0,411.0,232.0,179.0,1.0,0.3,-12.26,8.71,nor,2020,12,2020,23.666666666666668,25.5,0.7142857142857143
21.0,28.0,319.0,0.0,2.0,0.0,0.0,11.4,75.0,82.3,45.0,264.0,5.9,7.0,1.0,1.0,7.0,7.0,0.0,0.0,5.0,9.0,1.0,1.0,36:47,2020-12-25,16,Fri,4:30PM ET,1,0,11-4,0,Minnesota Vikings,52.0,33.0,36.0,583.0,319.0,264.0,2.0,25.0,364.0,274.0,90.0,0.0,35.03,-16.7,0.55,nor,2020,12,2020,34.0,29.666666666666668,0.7333333333333333
22.0,32.0,191.0,3.0,0.0,2.0,10.0,6.3,68.8,115.5,30.0,156.0,5.2,1.0,2.0,2.0,3.0,4.0,5.0,209.0,6.0,14.0,1.0,1.0,30:54,2020-01-03,17,Sun,4:25PM ET,1,0,12-4,1,Carolina Panthers,33.0,7.0,20.0,347.0,191.0,156.0,0.0,17.0,320.0,246.0,74.0,5.0,10.71,14.42,0.09,nor,2020,1,2020,38.0,31.166666666666668,0.75
15.0,21.0,151.0,5.0,0.0,0.0,0.0,7.2,71.4,131.2,39.0,171.0,4.4,0.0,1.0,1.0,5.0,5.0,2.0,103.0,5.0,10.0,2.0,2.0,34:36,2021-09-12,1,Sun,4:25PM ET,1,0,1-0,0,Green Bay Packers,38.0,3.0,22.0,322.0,151.0,171.0,0.0,14.0,229.0,186.0,43.0,3.0,20.22,14.83,-1.59,nor,2021,9,2021,,,1.0
11.0,22.0,80.0,0.0,2.0,4.0,31.0,5.0,50.0,21.0,17.0,48.0,2.8,1.0,0.0,0.0,1.0,1.0,6.0,294.0,2.0,11.0,0.0,2.0,21:28,2021-09-19,2,Sun,1:00PM ET,0,0,1-1,1,Carolina Panthers,7.0,26.0,6.0,128.0,80.0,48.0,2.0,28.0,383.0,294.0,89.0,1.0,-21.2,-12.61,12.63,nor,2021,9,2021,,,0.5
13.0,21.0,110.0,2.0,0.0,3.0,18.0,6.1,61.9,107.2,38.0,142.0,3.7,1.0,0.0,2.0,4.0,4.0,5.0,249.0,6.0,13.0,0.0,0.0,32:48,2021-09-26,3,Sun,1:00PM ET,1,0,2-1,1,New England Patriots,28.0,13.0,19.0,252.0,110.0,142.0,0.0,16.0,300.0,251.0,49.0,3.0,3.67,16.39,-5.4,nor,2021,9,2021,24.333333333333332,,0.6666666666666666
19.0,26.0,235.0,1.0,1.0,0.0,0.0,9.0,73.1,97.4,39.0,170.0,4.4,2.0,0.0,1.0,3.0,3.0,3.0,132.0,8.0,13.0,0.0,1.0,37:31,2021-10-03,4,Sun,1:00PM ET,0,1,2-2,0,New York Giants,21.0,27.0,21.0,405.0,235.0,170.0,1.0,21.0,485.0,402.0,83.0,1.0,9.0,-15.58,1.58,nor,2021,10,2021,18.666666666666668,,0.5
15.0,30.0,271.0,4.0,1.0,2.0,8.0,9.3,50.0,107.1,23.0,98.0,4.3,1.0,0.0,0.0,3.0,5.0,5.0,268.0,4.0,11.0,1.0,1.0,23:34,2021-10-10,5,Sun,1:00PM ET,1,0,3-2,1,Washington Football Team,33.0,22.0,18.0,369.0,271.0,98.0,2.0,26.0,373.0,242.0,131.0,2.0,8.56,7.31,-3.41,nor,2021,10,2021,27.333333333333332,,0.6
