W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,1,Atlanta Falcons,20.0,17.0,19.0,33.0,151.0,2.0,1.0,0.0,0.0,4.6,4.6,57.6,76.7,31.0,138.0,4.5,0.0,2.0,2.0,2.0,2.0,2.0,80.0,5.0,12.0,2.0,3.0,34:24,2017,mia,2017-10-15,0.6
1,0,0,New York Jets,31.0,28.0,25.0,37.0,304.0,4.0,2.0,3.0,22.0,8.8,7.6,67.6,106.1,25.0,53.0,2.1,0.0,1.0,1.0,4.0,4.0,6.0,267.0,5.0,13.0,0.0,0.0,31:58,2017,mia,2017-10-22,0.6666666666666666
0,0,1,Baltimore Ravens,0.0,40.0,25.0,44.0,151.0,0.0,2.0,3.0,25.0,4.0,3.2,56.8,44.8,19.0,45.0,2.4,0.0,0.0,1.0,0.0,0.0,8.0,328.0,4.0,15.0,0.0,2.0,28:46,2017,mia,2017-10-26,0.5714285714285714
0,0,0,Oakland Raiders,24.0,27.0,34.0,42.0,309.0,3.0,0.0,1.0,2.0,7.4,7.2,81.0,121.1,18.0,86.0,4.8,0.0,1.0,1.0,1.0,2.0,5.0,221.0,5.0,12.0,0.0,1.0,29:04,2017,mia,2017-11-05,0.5
0,0,1,Carolina Panthers,21.0,45.0,22.0,37.0,213.0,2.0,1.0,0.0,0.0,5.8,5.8,59.5,82.4,17.0,100.0,5.9,1.0,0.0,0.0,3.0,3.0,4.0,167.0,7.0,12.0,0.0,1.0,24:21,2017,mia,2017-11-13,0.4444444444444444
0,0,0,Tampa Bay Buccaneers,20.0,30.0,23.0,40.0,365.0,2.0,3.0,1.0,0.0,9.1,8.9,57.5,73.4,19.0,83.0,4.4,0.0,2.0,2.0,2.0,2.0,2.0,106.0,6.0,13.0,0.0,1.0,28:11,2017,mia,2017-11-19,0.4
0,0,1,New England Patriots,17.0,35.0,23.0,34.0,154.0,1.0,2.0,7.0,61.0,6.3,3.8,67.6,62.6,19.0,67.0,3.5,0.0,1.0,1.0,2.0,2.0,5.0,208.0,2.0,11.0,2.0,3.0,27:19,2017,mia,2017-11-26,0.36363636363636365
1,0,0,Denver Broncos,35.0,9.0,18.0,32.0,222.0,2.0,2.0,2.0,13.0,7.3,6.5,56.3,72.7,30.0,145.0,4.8,1.0,1.0,1.0,4.0,4.0,9.0,386.0,4.0,15.0,0.0,0.0,34:22,2017,mia,2017-12-03,0.4166666666666667
1,0,0,New England Patriots,27.0,20.0,25.0,38.0,242.0,3.0,0.0,2.0,21.0,6.9,6.1,65.8,109.8,30.0,120.0,4.0,0.0,2.0,2.0,3.0,3.0,7.0,315.0,4.0,14.0,1.0,1.0,36:09,2017,mia,2017-12-11,0.46153846153846156
0,0,1,Buffalo Bills,16.0,24.0,28.0,49.0,249.0,0.0,3.0,3.0,25.0,5.6,4.8,57.1,45.4,21.0,100.0,4.8,1.0,3.0,3.0,1.0,1.0,4.0,187.0,5.0,16.0,1.0,2.0,32:25,2017,mia,2017-12-17,0.42857142857142855
0,0,1,Kansas City Chiefs,13.0,29.0,19.0,38.0,286.0,1.0,0.0,0.0,0.0,7.5,7.5,50.0,83.9,16.0,59.0,3.7,0.0,2.0,3.0,1.0,1.0,2.0,59.0,0.0,8.0,0.0,2.0,22:07,2017,mia,2017-12-24,0.4
0,0,0,Buffalo Bills,16.0,22.0,30.0,44.0,263.0,1.0,1.0,1.0,8.0,6.2,5.8,68.2,81.9,22.0,93.0,4.2,1.0,1.0,1.0,1.0,1.0,4.0,186.0,5.0,13.0,1.0,3.0,28:56,2017,mia,2017-12-31,0.375
1,0,0,Tennessee Titans,27.0,20.0,20.0,28.0,222.0,2.0,2.0,1.0,8.0,8.2,7.7,71.4,88.7,29.0,120.0,4.1,0.0,2.0,2.0,3.0,3.0,4.0,215.0,2.0,10.0,0.0,1.0,30:25,2018,mia,2018-09-09,1.0
1,0,1,New York Jets,20.0,12.0,17.0,23.0,122.0,2.0,0.0,4.0,46.0,7.3,4.5,73.9,114.8,31.0,135.0,4.4,1.0,0.0,0.0,2.0,3.0,6.0,295.0,6.0,13.0,0.0,0.0,28:25,2018,mia,2018-09-16,1.0
1,0,0,Oakland Raiders,28.0,20.0,18.0,24.0,332.0,4.0,0.0,1.0,9.0,14.2,13.3,75.0,156.2,14.0,41.0,2.9,0.0,0.0,0.0,4.0,4.0,6.0,282.0,2.0,8.0,0.0,0.0,21:29,2018,mia,2018-09-23,1.0
0,0,1,New England Patriots,7.0,38.0,15.0,25.0,116.0,1.0,1.0,2.0,19.0,5.4,4.3,60.0,68.1,18.0,56.0,3.1,0.0,0.0,0.0,1.0,1.0,7.0,293.0,3.0,11.0,1.0,1.0,23:38,2018,mia,2018-09-30,0.75
0,0,1,Cincinnati Bengals,17.0,27.0,20.0,35.0,169.0,1.0,2.0,3.0,16.0,5.3,4.4,57.1,55.5,22.0,128.0,5.8,0.0,1.0,1.0,2.0,2.0,5.0,209.0,4.0,13.0,1.0,1.0,29:25,2018,mia,2018-10-07,0.6
1,1,0,Chicago Bears,31.0,28.0,28.0,44.0,380.0,3.0,2.0,0.0,0.0,8.6,8.6,63.6,94.9,31.0,161.0,5.2,0.0,3.0,3.0,2.0,2.0,4.0,162.0,8.0,17.0,0.0,0.0,36:35,2018,mia,2018-10-14,0.6666666666666666
0,0,0,Detroit Lions,21.0,32.0,22.0,31.0,215.0,2.0,0.0,4.0,24.0,7.7,6.1,71.0,111.6,19.0,107.0,5.6,1.0,0.0,1.0,3.0,3.0,4.0,182.0,6.0,11.0,0.0,0.0,26:21,2018,mia,2018-10-21,0.5714285714285714
0,0,1,Houston Texans,23.0,42.0,22.0,38.0,254.0,1.0,1.0,2.0,15.0,7.1,6.4,57.9,76.0,25.0,116.0,4.6,1.0,3.0,3.0,2.0,2.0,4.0,188.0,4.0,13.0,0.0,1.0,31:09,2018,mia,2018-10-25,0.5
1,0,0,New York Jets,13.0,6.0,15.0,24.0,104.0,0.0,0.0,4.0,35.0,5.8,3.7,62.5,72.2,27.0,64.0,2.4,0.0,2.0,2.0,1.0,1.0,9.0,402.0,3.0,16.0,2.0,2.0,28:26,2018,mia,2018-11-04,0.5555555555555556
0,0,1,Green Bay Packers,12.0,31.0,23.0,37.0,163.0,0.0,1.0,6.0,50.0,5.8,3.8,62.2,61.0,23.0,131.0,5.7,0.0,4.0,4.0,0.0,0.0,2.0,77.0,4.0,14.0,3.0,4.0,32:08,2018,mia,2018-11-11,0.5
0,0,1,Indianapolis Colts,24.0,27.0,17.0,25.0,201.0,2.0,0.0,1.0,3.0,8.2,7.7,68.0,118.9,25.0,113.0,4.5,1.0,1.0,1.0,3.0,3.0,6.0,285.0,4.0,11.0,0.0,0.0,28:06,2018,mia,2018-11-25,0.45454545454545453
1,0,0,Buffalo Bills,21.0,17.0,16.0,24.0,115.0,3.0,1.0,3.0,22.0,5.7,4.3,66.7,99.8,23.0,60.0,2.6,0.0,0.0,0.0,3.0,3.0,7.0,320.0,2.0,9.0,0.0,0.0,27:03,2018,mia,2018-12-02,0.5
1,0,0,New England Patriots,34.0,33.0,14.0,19.0,223.0,3.0,0.0,5.0,42.0,13.9,9.3,73.7,152.0,21.0,189.0,9.0,2.0,0.0,0.0,4.0,4.0,6.0,170.0,1.0,7.0,0.0,0.0,24:46,2018,mia,2018-12-09,0.5384615384615384
0,0,1,Minnesota Vikings,17.0,41.0,11.0,24.0,37.0,0.0,0.0,9.0,71.0,4.5,1.1,45.8,52.8,20.0,156.0,7.8,1.0,1.0,1.0,2.0,2.0,7.0,351.0,2.0,12.0,0.0,2.0,26:44,2018,mia,2018-12-16,0.5
0,0,0,Jacksonville Jaguars,7.0,17.0,15.0,22.0,121.0,1.0,1.0,3.0,25.0,6.6,4.8,68.2,78.0,18.0,62.0,3.4,0.0,0.0,1.0,1.0,1.0,6.0,278.0,2.0,9.0,0.0,0.0,25:15,2018,mia,2018-12-23,0.4666666666666667
0,0,1,Buffalo Bills,17.0,42.0,19.0,32.0,126.0,1.0,2.0,4.0,24.0,4.7,3.5,59.4,52.3,25.0,99.0,4.0,0.0,1.0,1.0,2.0,2.0,5.0,175.0,3.0,12.0,1.0,1.0,29:42,2018,mia,2018-12-30,0.4375
0,0,0,Baltimore Ravens,10.0,59.0,15.0,32.0,179.0,1.0,2.0,3.0,11.0,5.9,5.1,46.9,48.8,12.0,21.0,1.8,0.0,1.0,1.0,1.0,1.0,6.0,322.0,3.0,10.0,0.0,0.0,19:53,2019,mia,2019-09-08,0.0
0,0,0,New England Patriots,0.0,43.0,18.0,39.0,142.0,0.0,4.0,7.0,44.0,4.8,3.1,46.2,16.1,15.0,42.0,2.8,0.0,0.0,0.0,0.0,0.0,7.0,298.0,2.0,15.0,2.0,4.0,23:30,2019,mia,2019-09-15,0.0
0,0,1,Dallas Cowboys,6.0,31.0,20.0,41.0,211.0,0.0,0.0,3.0,18.0,5.6,4.8,48.8,64.2,24.0,72.0,3.0,0.0,2.0,3.0,0.0,0.0,5.0,219.0,3.0,15.0,1.0,3.0,29:04,2019,mia,2019-09-22,0.0
0,0,0,Los Angeles Chargers,10.0,30.0,17.0,24.0,161.0,1.0,1.0,5.0,19.0,7.5,5.6,70.8,85.6,18.0,72.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,103.0,5.0,10.0,0.0,1.0,22:24,2019,mia,2019-09-29,0.0
0,0,0,Washington Redskins,16.0,17.0,27.0,43.0,187.0,1.0,2.0,5.0,30.0,5.0,3.9,62.8,60.9,21.0,84.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,310.0,3.0,14.0,2.0,2.0,32:39,2019,mia,2019-10-13,0.0
0,0,1,Buffalo Bills,21.0,31.0,23.0,35.0,272.0,1.0,1.0,1.0,10.0,8.1,7.6,65.7,86.8,30.0,109.0,3.6,2.0,0.0,0.0,3.0,3.0,4.0,196.0,7.0,13.0,2.0,2.0,33:31,2019,mia,2019-10-20,0.0
0,0,1,Pittsburgh Steelers,14.0,27.0,21.0,34.0,170.0,2.0,2.0,4.0,20.0,5.6,4.5,61.8,69.5,19.0,60.0,3.2,0.0,0.0,0.0,2.0,2.0,2.0,93.0,3.0,8.0,0.0,2.0,24:42,2019,mia,2019-10-28,0.0
1,0,0,New York Jets,26.0,18.0,24.0,36.0,266.0,3.0,0.0,4.0,22.0,8.0,6.7,66.7,116.2,24.0,50.0,2.1,0.0,1.0,2.0,3.0,3.0,4.0,166.0,6.0,12.0,0.0,0.0,31:14,2019,mia,2019-11-03,0.125
1,0,1,Indianapolis Colts,16.0,12.0,21.0,33.0,159.0,0.0,1.0,3.0,10.0,5.1,4.4,63.6,62.6,26.0,70.0,2.7,1.0,3.0,3.0,1.0,1.0,5.0,227.0,6.0,16.0,1.0,2.0,31:28,2019,mia,2019-11-10,0.2222222222222222
0,0,0,Buffalo Bills,20.0,37.0,32.0,45.0,280.0,0.0,0.0,7.0,43.0,7.2,5.4,71.1,87.3,13.0,23.0,1.8,2.0,0.0,0.0,2.0,2.0,6.0,262.0,4.0,14.0,1.0,4.0,29:51,2019,mia,2019-11-17,0.2
0,0,1,Cleveland Browns,24.0,41.0,21.0,39.0,192.0,2.0,2.0,4.0,22.0,5.5,4.5,53.8,63.2,20.0,92.0,4.6,1.0,1.0,1.0,3.0,3.0,4.0,178.0,6.0,14.0,0.0,1.0,23:54,2019,mia,2019-11-24,0.18181818181818182
1,0,0,Philadelphia Eagles,37.0,31.0,28.0,40.0,351.0,4.0,1.0,3.0,15.0,9.2,8.2,70.0,119.9,20.0,58.0,2.9,1.0,1.0,1.0,2.0,3.0,3.0,96.0,5.0,12.0,3.0,3.0,31:18,2019,mia,2019-12-01,0.25
0,0,1,New York Jets,21.0,22.0,21.0,37.0,240.0,0.0,1.0,2.0,5.0,6.6,6.2,56.8,65.1,26.0,122.0,4.7,0.0,7.0,8.0,0.0,0.0,1.0,45.0,4.0,13.0,0.0,0.0,30:06,2019,mia,2019-12-08,0.23076923076923078
0,0,1,New York Giants,20.0,36.0,23.0,41.0,262.0,2.0,0.0,3.0,17.0,6.8,6.0,56.1,91.7,25.0,122.0,4.9,0.0,2.0,3.0,2.0,2.0,3.0,126.0,3.0,13.0,1.0,3.0,28:53,2019,mia,2019-12-15,0.21428571428571427
