Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
9,Sun,1:00PM ET,1,0,5-3-1,0,Detroit Lions,24.0,9.0,17.0,283.0,155.0,128.0,2.0,18.0,209.0,143.0,66.0,1.0,1.94,16.2,-2.99,2018,0.5555555555555556,min,2018-11-04
11,Sun,8:20PM ET,0,0,5-4-1,1,Chicago Bears,20.0,25.0,19.0,268.0,246.0,22.0,3.0,24.0,308.0,160.0,148.0,3.0,-6.9,0.26,0.96,2018,0.5,min,2018-11-18
12,Sun,8:20PM ET,1,0,6-4-1,0,Green Bay Packers,24.0,17.0,22.0,416.0,325.0,91.0,0.0,14.0,254.0,172.0,82.0,1.0,10.38,-0.78,1.61,2018,0.5454545454545454,min,2018-11-25
13,Sun,4:25PM ET,0,0,6-5-1,1,New England Patriots,10.0,24.0,16.0,278.0,183.0,95.0,2.0,27.0,471.0,311.0,160.0,1.0,-9.14,-16.1,4.16,2018,0.5,min,2018-12-02
14,Mon,8:15PM ET,0,0,6-6-1,1,Seattle Seahawks,7.0,21.0,16.0,276.0,199.0,77.0,1.0,19.0,274.0,60.0,214.0,1.0,-11.31,0.44,-4.28,2018,0.46153846153846156,min,2018-12-10
15,Sun,1:00PM ET,1,0,7-6-1,0,Miami Dolphins,41.0,17.0,22.0,418.0,198.0,220.0,1.0,12.0,193.0,37.0,156.0,0.0,10.62,14.15,1.19,2018,0.5,min,2018-12-16
16,Sun,1:00PM ET,1,0,8-6-1,1,Detroit Lions,27.0,9.0,16.0,340.0,240.0,100.0,0.0,17.0,223.0,137.0,86.0,0.0,1.34,15.37,0.27,2018,0.5333333333333333,min,2018-12-23
17,Sun,4:25PM ET,0,0,8-7-1,0,Chicago Bears,10.0,24.0,12.0,164.0,101.0,63.0,0.0,17.0,332.0,163.0,169.0,0.0,-11.59,-9.09,6.78,2018,0.5,min,2018-12-30
1,Sun,1:00PM ET,1,0,1-0,0,Atlanta Falcons,28.0,12.0,18.0,269.0,97.0,172.0,0.0,27.0,345.0,272.0,73.0,3.0,11.05,1.83,4.34,2019,1.0,min,2019-09-08
2,Sun,1:00PM ET,0,0,1-1,1,Green Bay Packers,16.0,21.0,15.0,421.0,223.0,198.0,4.0,20.0,335.0,191.0,144.0,2.0,-6.94,7.02,-5.3,2019,0.5,min,2019-09-15
3,Sun,1:00PM ET,1,0,2-1,0,Oakland Raiders,34.0,14.0,23.0,385.0,174.0,211.0,0.0,17.0,302.0,214.0,88.0,1.0,20.43,-1.77,0.15,2019,0.6666666666666666,min,2019-09-22
4,Sun,4:25PM ET,0,0,2-2,1,Chicago Bears,6.0,16.0,15.0,222.0,182.0,40.0,2.0,17.0,269.0,197.0,72.0,0.0,-10.79,2.85,-1.53,2019,0.5,min,2019-09-29
5,Sun,1:00PM ET,1,0,3-2,1,New York Giants,28.0,10.0,22.0,490.0,279.0,211.0,1.0,18.0,211.0,147.0,64.0,1.0,16.93,8.73,-0.4,2019,0.6,min,2019-10-06
6,Sun,1:00PM ET,1,0,4-2,0,Philadelphia Eagles,38.0,20.0,26.0,447.0,325.0,122.0,2.0,19.0,400.0,292.0,108.0,3.0,17.04,-2.18,-0.52,2019,0.6666666666666666,min,2019-10-13
7,Sun,1:00PM ET,1,0,5-2,1,Detroit Lions,42.0,30.0,32.0,504.0,338.0,166.0,0.0,26.0,433.0,352.0,81.0,1.0,35.6,-18.28,-2.59,2019,0.7142857142857143,min,2019-10-20
