Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
10,Sun,1:00PM ET,1,0,5-4,0,New England Patriots,34.0,10.0,23.0,385.0,235.0,150.0,0.0,16.0,284.0,244.0,40.0,0.0,14.31,5.76,2.47,2018,0.5555555555555556,oti,2018-11-11
11,Sun,1:00PM ET,0,0,5-5,1,Indianapolis Colts,10.0,38.0,16.0,267.0,176.0,91.0,2.0,26.0,397.0,295.0,102.0,0.0,-4.95,-25.4,4.25,2018,0.5,oti,2018-11-18
12,Mon,8:15PM ET,0,0,5-6,1,Houston Texans,17.0,34.0,14.0,365.0,260.0,105.0,1.0,19.0,462.0,181.0,281.0,0.0,1.51,-20.01,7.77,2018,0.45454545454545453,oti,2018-11-26
13,Sun,4:05PM ET,1,0,6-6,0,New York Jets,26.0,22.0,22.0,403.0,273.0,130.0,1.0,15.0,280.0,124.0,156.0,1.0,1.59,12.4,-9.82,2018,0.5,oti,2018-12-02
14,Thu,8:20PM ET,1,0,7-6,0,Jacksonville Jaguars,30.0,9.0,21.0,426.0,162.0,264.0,1.0,17.0,255.0,195.0,60.0,1.0,16.52,14.81,-3.2,2018,0.5384615384615384,oti,2018-12-06
15,Sun,1:00PM ET,1,0,8-6,1,New York Giants,17.0,0.0,22.0,301.0,86.0,215.0,0.0,15.0,260.0,213.0,47.0,2.0,4.8,16.42,-6.32,2018,0.5714285714285714,oti,2018-12-16
16,Sat,4:30PM ET,1,0,9-6,0,Washington Redskins,25.0,16.0,20.0,291.0,192.0,99.0,0.0,17.0,292.0,131.0,161.0,2.0,10.02,1.2,-7.22,2018,0.6,oti,2018-12-22
17,Sun,8:20PM ET,0,0,9-7,0,Indianapolis Colts,17.0,33.0,11.0,258.0,165.0,93.0,3.0,24.0,436.0,278.0,158.0,2.0,-14.91,-2.8,-0.99,2018,0.5625,oti,2018-12-30
1,Sun,1:00PM ET,1,0,1-0,1,Cleveland Browns,43.0,13.0,21.0,339.0,216.0,123.0,0.0,19.0,346.0,244.0,102.0,3.0,11.1,19.89,1.22,2019,1.0,oti,2019-09-08
2,Sun,1:00PM ET,0,0,1-1,0,Indianapolis Colts,17.0,19.0,18.0,243.0,119.0,124.0,0.0,21.0,288.0,121.0,167.0,2.0,-3.74,-5.07,3.24,2019,0.5,oti,2019-09-15
3,Thu,8:20PM ET,0,0,1-2,1,Jacksonville Jaguars,7.0,20.0,21.0,340.0,249.0,91.0,1.0,12.0,292.0,204.0,88.0,0.0,-6.44,1.2,-5.28,2019,0.3333333333333333,oti,2019-09-19
4,Sun,1:00PM ET,1,0,2-2,1,Atlanta Falcons,24.0,10.0,22.0,365.0,227.0,138.0,0.0,24.0,422.0,364.0,58.0,1.0,10.78,-1.83,3.8,2019,0.5,oti,2019-09-29
5,Sun,1:00PM ET,0,0,2-3,0,Buffalo Bills,7.0,14.0,14.0,252.0,150.0,102.0,0.0,18.0,313.0,204.0,109.0,1.0,-3.6,1.16,-8.64,2019,0.4,oti,2019-10-06
6,Sun,4:25PM ET,0,0,2-4,1,Denver Broncos,0.0,16.0,12.0,204.0,165.0,39.0,3.0,11.0,270.0,167.0,103.0,1.0,-25.18,10.82,-1.34,2019,0.3333333333333333,oti,2019-10-13
7,Sun,4:05PM ET,1,0,3-4,0,Los Angeles Chargers,23.0,20.0,22.0,403.0,306.0,97.0,1.0,24.0,365.0,326.0,39.0,1.0,10.83,-8.93,0.57,2019,0.42857142857142855,oti,2019-10-20
8,Sun,1:00PM ET,1,0,4-4,0,Tampa Bay Buccaneers,27.0,23.0,16.0,246.0,174.0,72.0,1.0,23.0,389.0,283.0,106.0,4.0,-2.72,6.92,1.66,2019,0.5,oti,2019-10-27
9,Sun,1:00PM ET,0,0,4-5,1,Carolina Panthers,20.0,30.0,24.0,431.0,310.0,121.0,3.0,22.0,370.0,214.0,156.0,1.0,5.05,-9.15,-4.67,2019,0.4444444444444444,oti,2019-11-03
10,Sun,1:00PM ET,1,0,5-5,0,Kansas City Chiefs,35.0,32.0,19.0,371.0,146.0,225.0,1.0,28.0,530.0,433.0,97.0,1.0,11.07,-13.98,3.81,2019,0.5,oti,2019-11-10
12,Sun,4:05PM ET,1,0,6-5,0,Jacksonville Jaguars,42.0,20.0,21.0,471.0,252.0,219.0,2.0,23.0,369.0,252.0,117.0,1.0,20.75,-1.2,2.59,2019,0.5454545454545454,oti,2019-11-24
13,Sun,1:00PM ET,1,0,7-5,1,Indianapolis Colts,31.0,17.0,15.0,292.0,138.0,154.0,2.0,22.0,391.0,309.0,82.0,3.0,-1.94,1.63,12.84,2019,0.5833333333333334,oti,2019-12-01
14,Sun,4:25PM ET,1,0,8-5,1,Oakland Raiders,42.0,21.0,26.0,552.0,391.0,161.0,1.0,22.0,355.0,258.0,97.0,1.0,29.61,-2.19,-5.43,2019,0.6153846153846154,oti,2019-12-08
15,Sun,1:00PM ET,0,0,8-6,0,Houston Texans,21.0,24.0,24.0,432.0,269.0,163.0,1.0,23.0,374.0,234.0,140.0,2.0,9.37,-9.03,-6.55,2019,0.5714285714285714,oti,2019-12-15
16,Sun,1:00PM ET,0,0,8-7,0,New Orleans Saints,28.0,38.0,17.0,397.0,248.0,149.0,1.0,23.0,377.0,275.0,102.0,0.0,4.25,-13.33,-2.33,2019,0.5333333333333333,oti,2019-12-22
17,Sun,4:25PM ET,1,0,9-7,1,Houston Texans,35.0,14.0,25.0,467.0,222.0,245.0,0.0,20.0,301.0,192.0,109.0,1.0,27.49,-1.54,-6.36,2019,0.5625,oti,2019-12-29
Wild Card,Sat,8:15PM ET,1,0,10-7,1,New England Patriots,20.0,13.0,19.0,272.0,71.0,201.0,1.0,18.0,307.0,209.0,98.0,2.0,2.83,0.84,0.2,2019,0.5882352941176471,oti,2019-01-04
Division,Sat,8:15PM ET,1,0,11-7,1,Baltimore Ravens,28.0,12.0,15.0,300.0,83.0,217.0,0.0,29.0,530.0,345.0,185.0,3.0,10.45,4.11,1.35,2019,0.6111111111111112,oti,2019-01-11
Conf. Champ.,Sun,3:05PM ET,0,0,11-8,1,Kansas City Chiefs,24.0,35.0,20.0,295.0,210.0,85.0,0.0,27.0,404.0,292.0,112.0,0.0,5.92,-29.52,9.99,2019,0.5789473684210527,oti,2019-01-19
