Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
10,Thu,8:20PM ET,0,0,4-6,1,Oakland Raiders,24.0,26.0,26.0,315.0,169.0,146.0,3.0,18.0,278.0,200.0,78.0,0.0,0.55,-5.96,1.54,2019,sdg,November,7,2019-11-07
11,Mon,8:15PM ET,0,0,4-7,0,Kansas City Chiefs,17.0,24.0,23.0,438.0,345.0,93.0,4.0,18.0,310.0,180.0,130.0,1.0,-1.36,-4.13,-2.05,2019,sdg,November,18,2019-11-18
13,Sun,4:25PM ET,0,0,4-8,1,Denver Broncos,20.0,23.0,17.0,359.0,244.0,115.0,2.0,13.0,218.0,134.0,84.0,1.0,1.4,2.73,-11.44,2019,sdg,December,1,2019-12-01
14,Sun,4:05PM ET,1,0,5-8,1,Jacksonville Jaguars,45.0,10.0,27.0,525.0,330.0,195.0,0.0,15.0,252.0,164.0,88.0,0.0,37.99,6.91,-8.63,2019,sdg,December,8,2019-12-08
15,Sun,4:05PM ET,0,0,5-9,0,Minnesota Vikings,10.0,39.0,17.0,345.0,283.0,62.0,7.0,18.0,344.0,207.0,137.0,1.0,-20.63,-5.27,0.79,2019,sdg,December,15,2019-12-15
16,Sun,4:05PM ET,0,0,5-10,0,Oakland Raiders,17.0,24.0,21.0,284.0,265.0,19.0,0.0,19.0,366.0,267.0,99.0,0.0,6.73,-12.67,-2.6,2019,sdg,December,22,2019-12-22
17,Sun,1:00PM ET,0,0,5-11,1,Kansas City Chiefs,21.0,31.0,25.0,366.0,258.0,108.0,2.0,16.0,336.0,174.0,162.0,1.0,9.18,-13.59,-7.29,2019,sdg,December,29,2019-12-29
1,Sun,4:05PM ET,1,0,1-0,1,Cincinnati Bengals,16.0,13.0,19.0,362.0,207.0,155.0,0.0,19.0,295.0,173.0,122.0,2.0,-2.07,8.27,-3.54,2020,sdg,September,13,2020-09-13
2,Sun,4:25PM ET,0,1,1-1,0,Kansas City Chiefs,20.0,23.0,28.0,479.0,296.0,183.0,1.0,23.0,414.0,289.0,125.0,0.0,13.33,-10.92,-3.8,2020,sdg,September,20,2020-09-20
3,Sun,4:05PM ET,0,0,1-2,0,Carolina Panthers,16.0,21.0,26.0,436.0,319.0,117.0,4.0,14.0,302.0,221.0,81.0,0.0,-5.44,-1.18,0.62,2020,sdg,September,27,2020-09-27
4,Sun,1:00PM ET,0,0,1-3,1,Tampa Bay Buccaneers,31.0,38.0,15.0,324.0,278.0,46.0,2.0,28.0,484.0,369.0,115.0,1.0,5.88,-12.95,-0.2,2020,sdg,October,4,2020-10-04
5,Mon,8:15PM ET,0,1,1-4,1,New Orleans Saints,27.0,30.0,19.0,350.0,239.0,111.0,0.0,23.0,408.0,313.0,95.0,1.0,6.8,-3.09,-7.44,2020,sdg,October,12,2020-10-12
7,Sun,4:25PM ET,1,0,2-4,0,Jacksonville Jaguars,39.0,29.0,29.0,484.0,349.0,135.0,0.0,15.0,294.0,154.0,140.0,1.0,20.27,2.3,-8.03,2020,sdg,October,25,2020-10-25
8,Sun,4:05PM ET,0,0,2-5,1,Denver Broncos,30.0,31.0,28.0,485.0,275.0,210.0,2.0,17.0,351.0,243.0,108.0,1.0,9.03,-8.64,-1.18,2020,sdg,November,1,2020-11-01
9,Sun,4:05PM ET,0,0,2-6,0,Las Vegas Raiders,26.0,31.0,26.0,440.0,312.0,128.0,1.0,16.0,320.0,160.0,160.0,1.0,17.58,-11.13,-10.69,2020,sdg,November,8,2020-11-08
10,Sun,4:05PM ET,0,0,2-7,1,Miami Dolphins,21.0,29.0,19.0,273.0,174.0,99.0,1.0,17.0,280.0,169.0,111.0,1.0,-1.88,7.96,-14.67,2020,sdg,November,15,2020-11-15
11,Sun,4:05PM ET,1,0,3-7,0,New York Jets,34.0,28.0,28.0,376.0,347.0,29.0,1.0,20.0,292.0,196.0,96.0,1.0,16.66,-7.52,-3.42,2020,sdg,November,22,2020-11-22
12,Sun,1:00PM ET,0,0,3-8,1,Buffalo Bills,17.0,27.0,24.0,367.0,291.0,76.0,1.0,23.0,332.0,160.0,172.0,3.0,4.93,-5.65,-4.65,2020,sdg,November,29,2020-11-29
13,Sun,4:25PM ET,0,0,3-9,0,New England Patriots,0.0,45.0,17.0,258.0,188.0,70.0,2.0,22.0,291.0,126.0,165.0,0.0,-16.13,-9.66,-22.19,2020,sdg,December,6,2020-12-06
14,Sun,4:25PM ET,1,0,4-9,0,Atlanta Falcons,20.0,17.0,23.0,345.0,240.0,105.0,1.0,19.0,319.0,249.0,70.0,3.0,10.14,-5.82,-1.54,2020,sdg,December,13,2020-12-13
15,Thu,8:20PM ET,1,1,5-9,1,Las Vegas Raiders,30.0,27.0,27.0,402.0,306.0,96.0,0.0,27.0,449.0,276.0,173.0,1.0,23.38,-16.83,-4.42,2020,sdg,December,17,2020-12-17
16,Sun,4:05PM ET,1,0,6-9,0,Denver Broncos,19.0,16.0,16.0,316.0,227.0,89.0,0.0,23.0,396.0,263.0,133.0,2.0,1.63,-4.25,4.44,2020,sdg,December,27,2020-12-27
17,Sun,4:25PM ET,1,0,7-9,1,Kansas City Chiefs,38.0,21.0,29.0,416.0,281.0,135.0,0.0,18.0,268.0,217.0,51.0,1.0,25.49,-10.71,3.07,2020,sdg,January,3,2020-01-03
1,Sun,1:00PM ET,1,0,1-0,1,Washington Football Team,20.0,16.0,27.0,424.0,334.0,90.0,2.0,15.0,259.0,133.0,126.0,1.0,9.45,-1.45,-1.24,2021,sdg,September,12,2021-09-12
2,Sun,4:25PM ET,0,0,1-1,0,Dallas Cowboys,17.0,20.0,24.0,408.0,313.0,95.0,2.0,25.0,419.0,221.0,198.0,1.0,5.55,-17.5,-1.81,2021,sdg,September,19,2021-09-19
3,Sun,1:00PM ET,1,0,2-1,1,Kansas City Chiefs,30.0,24.0,21.0,352.0,275.0,77.0,0.0,33.0,437.0,251.0,186.0,4.0,16.65,-9.49,-3.01,2021,sdg,September,26,2021-09-26
4,Mon,8:15PM ET,1,0,3-1,0,Las Vegas Raiders,28.0,14.0,25.0,380.0,212.0,168.0,0.0,13.0,213.0,165.0,48.0,1.0,11.99,7.95,-2.22,2021,sdg,October,4,2021-10-04
5,Sun,4:05PM ET,1,0,4-1,0,Cleveland Browns,47.0,42.0,27.0,493.0,381.0,112.0,1.0,25.0,531.0,301.0,230.0,0.0,31.81,-22.52,-3.45,2021,sdg,October,10,2021-10-10
6,Sun,1:00PM ET,0,0,4-2,1,Baltimore Ravens,6.0,34.0,14.0,208.0,182.0,26.0,1.0,27.0,327.0,140.0,187.0,2.0,-13.93,-7.5,-4.48,2021,sdg,October,17,2021-10-17
8,Sun,4:05PM ET,0,0,4-3,0,New England Patriots,24.0,27.0,17.0,369.0,206.0,163.0,2.0,21.0,352.0,210.0,142.0,1.0,1.35,1.47,-9.98,2021,sdg,October,31,2021-10-31
9,Sun,4:05PM ET,1,0,5-3,1,Philadelphia Eagles,27.0,24.0,28.0,445.0,356.0,89.0,0.0,20.0,331.0,155.0,176.0,0.0,20.72,-17.56,-1.49,2021,sdg,November,7,2021-11-07
10,Sun,4:05PM ET,0,0,5-4,0,Minnesota Vikings,20.0,27.0,20.0,253.0,171.0,82.0,1.0,24.0,381.0,278.0,103.0,1.0,3.95,-8.75,-2.56,2021,sdg,November,14,2021-11-14
