W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Detroit Lions,52.0,38.0,20.0,30.0,186.0,2.0,2.0,0.0,0.0,6.2,6.2,66.7,77.9,37.0,193.0,5.2,2.0,1.0,1.0,7.0,7.0,7.0,344.0,2.0,12.0,1.0,1.0,32:11,2017,nor,2017-10-15,0.6
1,0,1,Green Bay Packers,26.0,17.0,27.0,38.0,324.0,1.0,2.0,1.0,7.0,8.7,8.3,71.1,83.7,36.0,161.0,4.5,2.0,2.0,2.0,2.0,3.0,2.0,78.0,8.0,15.0,1.0,1.0,36:56,2017,nor,2017-10-22,0.6666666666666666
1,0,0,Chicago Bears,20.0,12.0,23.0,28.0,286.0,0.0,0.0,2.0,13.0,10.7,9.5,82.1,109.2,30.0,101.0,3.4,2.0,2.0,2.0,2.0,2.0,4.0,204.0,2.0,9.0,0.0,0.0,31:23,2017,nor,2017-10-29,0.7142857142857143
1,0,0,Tampa Bay Buccaneers,30.0,10.0,22.0,27.0,256.0,2.0,0.0,1.0,7.0,9.7,9.1,81.5,130.9,32.0,151.0,4.7,1.0,1.0,2.0,3.0,4.0,2.0,91.0,7.0,13.0,0.0,0.0,32:18,2017,nor,2017-11-05,0.75
1,0,1,Buffalo Bills,47.0,10.0,18.0,25.0,184.0,0.0,0.0,0.0,0.0,7.4,7.4,72.0,92.7,48.0,298.0,6.2,6.0,2.0,2.0,5.0,6.0,0.0,0.0,6.0,12.0,2.0,2.0,41:23,2017,nor,2017-11-12,0.7777777777777778
1,1,0,Washington Redskins,34.0,31.0,29.0,41.0,375.0,2.0,1.0,2.0,10.0,9.4,8.7,70.7,105.2,23.0,160.0,7.0,1.0,4.0,4.0,2.0,2.0,3.0,119.0,4.0,12.0,1.0,1.0,30:24,2017,nor,2017-11-19,0.8
0,0,1,Los Angeles Rams,20.0,26.0,22.0,32.0,223.0,1.0,0.0,3.0,23.0,7.7,6.4,68.8,98.8,17.0,123.0,7.2,1.0,2.0,2.0,2.0,2.0,7.0,371.0,3.0,13.0,1.0,1.0,24:34,2017,nor,2017-11-26,0.7272727272727273
1,0,0,Carolina Panthers,31.0,21.0,25.0,34.0,252.0,1.0,0.0,2.0,17.0,7.9,7.0,73.5,104.0,28.0,148.0,5.3,3.0,1.0,2.0,4.0,4.0,4.0,184.0,6.0,15.0,1.0,1.0,33:21,2017,nor,2017-12-03,0.75
0,0,1,Atlanta Falcons,17.0,20.0,26.0,35.0,256.0,2.0,1.0,2.0,15.0,7.7,6.9,74.3,101.6,15.0,50.0,3.3,0.0,1.0,1.0,2.0,2.0,5.0,208.0,3.0,10.0,1.0,1.0,25:19,2017,nor,2017-12-07,0.6923076923076923
1,0,0,New York Jets,31.0,19.0,26.0,36.0,281.0,2.0,1.0,0.0,0.0,7.8,7.8,72.2,101.7,28.0,131.0,4.7,2.0,1.0,1.0,4.0,4.0,4.0,187.0,3.0,10.0,1.0,1.0,29:10,2017,nor,2017-12-17,0.7142857142857143
