W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,1,Dallas Cowboys,35.0,31.0,19.0,29.0,182.0,3.0,0.0,4.0,39.0,7.6,5.5,65.5,117.3,25.0,160.0,6.4,1.0,1.0,1.0,2.0,4.0,2.0,97.0,3.0,7.0,1.0,1.0,24:54,2017,gnb,2017-10-08,0.8
0,0,1,Minnesota Vikings,10.0,23.0,20.0,37.0,155.0,1.0,3.0,4.0,20.0,4.7,3.8,54.1,39.8,24.0,72.0,3.0,0.0,1.0,1.0,1.0,1.0,6.0,263.0,4.0,17.0,2.0,3.0,27:51,2017,gnb,2017-10-15,0.6666666666666666
0,0,0,New Orleans Saints,17.0,26.0,12.0,25.0,79.0,0.0,1.0,1.0,8.0,3.5,3.0,48.0,38.6,24.0,181.0,7.5,2.0,1.0,2.0,2.0,2.0,5.0,238.0,4.0,11.0,0.0,0.0,23:04,2017,gnb,2017-10-22,0.5714285714285714
0,0,0,Detroit Lions,17.0,30.0,26.0,38.0,233.0,0.0,0.0,3.0,12.0,6.4,5.7,68.4,84.6,17.0,78.0,4.6,2.0,1.0,2.0,2.0,2.0,3.0,128.0,2.0,9.0,0.0,2.0,23:05,2017,gnb,2017-11-06,0.5
1,0,1,Chicago Bears,23.0,16.0,18.0,25.0,182.0,1.0,0.0,3.0,30.0,8.5,6.5,72.0,105.7,37.0,160.0,4.3,1.0,3.0,4.0,2.0,2.0,4.0,160.0,7.0,16.0,1.0,1.0,33:53,2017,gnb,2017-11-12,0.5555555555555556
0,0,0,Baltimore Ravens,0.0,23.0,21.0,36.0,190.0,0.0,3.0,6.0,49.0,6.6,4.5,58.3,38.0,25.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,202.0,4.0,13.0,1.0,4.0,29:57,2017,gnb,2017-11-19,0.5
0,0,1,Pittsburgh Steelers,28.0,31.0,17.0,26.0,227.0,3.0,0.0,4.0,18.0,9.4,7.6,65.4,131.4,24.0,80.0,3.3,1.0,0.0,1.0,4.0,4.0,5.0,241.0,6.0,13.0,1.0,1.0,26:24,2017,gnb,2017-11-26,0.45454545454545453
1,1,0,Tampa Bay Buccaneers,26.0,20.0,13.0,22.0,77.0,0.0,1.0,2.0,7.0,3.8,3.2,59.1,47.0,29.0,199.0,6.9,2.0,2.0,2.0,2.0,2.0,4.0,181.0,5.0,12.0,0.0,0.0,26:44,2017,gnb,2017-12-03,0.5
1,1,1,Cleveland Browns,27.0,21.0,35.0,46.0,256.0,3.0,0.0,1.0,9.0,5.8,5.4,76.1,110.4,27.0,85.0,3.1,1.0,0.0,0.0,3.0,3.0,4.0,191.0,8.0,16.0,2.0,3.0,36:17,2017,gnb,2017-12-10,0.5384615384615384
0,0,1,Carolina Panthers,24.0,31.0,26.0,45.0,264.0,3.0,3.0,3.0,26.0,6.4,5.5,57.8,69.1,19.0,120.0,6.3,0.0,1.0,1.0,3.0,3.0,2.0,82.0,4.0,11.0,2.0,3.0,26:03,2017,gnb,2017-12-17,0.5
0,0,0,Minnesota Vikings,0.0,16.0,17.0,40.0,126.0,0.0,2.0,1.0,4.0,3.3,3.1,42.5,29.8,24.0,113.0,4.7,0.0,0.0,0.0,0.0,0.0,6.0,231.0,4.0,15.0,0.0,4.0,28:23,2017,gnb,2017-12-23,0.4666666666666667
0,0,1,Detroit Lions,11.0,35.0,20.0,32.0,153.0,1.0,2.0,4.0,40.0,6.0,4.3,62.5,58.5,27.0,103.0,3.8,0.0,1.0,1.0,0.0,0.0,6.0,269.0,4.0,14.0,1.0,2.0,31:47,2017,gnb,2017-12-31,0.4375
1,0,0,Chicago Bears,24.0,23.0,24.0,37.0,301.0,3.0,1.0,4.0,40.0,9.2,7.3,64.9,105.8,18.0,69.0,3.8,0.0,1.0,1.0,3.0,3.0,4.0,192.0,5.0,13.0,0.0,1.0,26:38,2018,gnb,2018-09-09,1.0
0,1,0,Minnesota Vikings,29.0,29.0,30.0,42.0,253.0,1.0,0.0,4.0,28.0,6.7,5.5,71.4,94.6,24.0,98.0,4.1,0.0,5.0,6.0,2.0,2.0,5.0,259.0,4.0,13.0,0.0,0.0,38:08,2018,gnb,2018-09-16,0.5
0,0,1,Washington Redskins,17.0,31.0,27.0,45.0,240.0,2.0,0.0,4.0,25.0,5.9,4.9,60.0,89.1,17.0,100.0,5.9,0.0,1.0,1.0,2.0,2.0,5.0,232.0,6.0,14.0,0.0,2.0,30:55,2018,gnb,2018-09-23,0.3333333333333333
