Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
12,Thu,12:30PM ET,1,0,8-3,1,Detroit Lions,23.0,16.0,19.0,264.0,226.0,38.0,1.0,17.0,333.0,222.0,111.0,2.0,1.31,2.71,0.91,2018,0.7272727272727273,chi,2018-11-22
13,Sun,1:00PM ET,0,1,8-4,1,New York Giants,27.0,30.0,23.0,376.0,258.0,118.0,3.0,18.0,338.0,197.0,141.0,1.0,-5.96,1.9,7.06,2018,0.6666666666666666,chi,2018-12-02
14,Sun,8:20PM ET,1,0,9-4,0,Los Angeles Rams,15.0,6.0,17.0,294.0,100.0,194.0,3.0,14.0,214.0,162.0,52.0,4.0,-15.04,21.99,-2.29,2018,0.6923076923076923,chi,2018-12-09
15,Sun,1:00PM ET,1,0,10-4,0,Green Bay Packers,24.0,17.0,19.0,332.0,232.0,100.0,1.0,19.0,323.0,235.0,88.0,1.0,6.61,1.33,-0.49,2018,0.7142857142857143,chi,2018-12-16
16,Sun,4:05PM ET,1,0,11-4,1,San Francisco 49ers,14.0,9.0,20.0,325.0,235.0,90.0,2.0,15.0,279.0,232.0,47.0,1.0,5.98,4.05,1.4,2018,0.7333333333333333,chi,2018-12-23
17,Sun,4:25PM ET,1,0,12-4,1,Minnesota Vikings,24.0,10.0,17.0,332.0,163.0,169.0,0.0,12.0,164.0,101.0,63.0,0.0,9.09,11.59,-6.78,2018,0.75,chi,2018-12-30
Wild Card,Sun,4:40PM ET,0,0,12-5,0,Philadelphia Eagles,15.0,16.0,17.0,356.0,291.0,65.0,0.0,21.0,300.0,258.0,42.0,2.0,5.47,-2.5,-10.43,2018,0.7058823529411765,chi,2018-01-06
1,Thu,8:20PM ET,0,0,0-1,0,Green Bay Packers,3.0,10.0,16.0,254.0,208.0,46.0,1.0,13.0,213.0,166.0,47.0,0.0,-20.02,9.57,-2.01,2019,0.0,chi,2019-09-05
2,Sun,4:25PM ET,1,0,1-1,1,Denver Broncos,16.0,14.0,18.0,273.0,120.0,153.0,0.0,27.0,372.0,282.0,90.0,1.0,4.12,-4.46,5.8,2019,0.5,chi,2019-09-15
3,Mon,8:15PM ET,1,0,2-1,1,Washington Redskins,31.0,15.0,21.0,298.0,208.0,90.0,1.0,25.0,356.0,287.0,69.0,5.0,9.23,11.86,-3.52,2019,0.6666666666666666,chi,2019-09-23
4,Sun,4:25PM ET,1,0,3-1,0,Minnesota Vikings,16.0,6.0,17.0,269.0,197.0,72.0,0.0,15.0,222.0,182.0,40.0,2.0,-2.85,10.79,1.53,2019,0.75,chi,2019-09-29
5,Sun,1:00PM ET,0,0,3-2,1,Oakland Raiders,21.0,24.0,15.0,236.0,194.0,42.0,2.0,25.0,398.0,229.0,169.0,2.0,-3.03,-2.24,-0.43,2019,0.6,chi,2019-10-06
7,Sun,4:25PM ET,0,0,3-3,0,New Orleans Saints,25.0,36.0,16.0,252.0,235.0,17.0,2.0,24.0,424.0,273.0,151.0,0.0,-12.36,-13.46,10.99,2019,0.5,chi,2019-10-20
8,Sun,1:00PM ET,0,0,3-4,0,Los Angeles Chargers,16.0,17.0,26.0,388.0,226.0,162.0,2.0,11.0,231.0,195.0,36.0,1.0,0.44,5.45,-6.02,2019,0.42857142857142855,chi,2019-10-27
9,Sun,1:00PM ET,0,0,3-5,1,Philadelphia Eagles,14.0,22.0,10.0,164.0,102.0,62.0,1.0,26.0,373.0,227.0,146.0,0.0,-4.78,-10.73,2.82,2019,0.375,chi,2019-11-03
10,Sun,1:00PM ET,1,0,4-5,0,Detroit Lions,20.0,13.0,13.0,226.0,145.0,81.0,0.0,21.0,357.0,259.0,98.0,1.0,-0.41,6.77,-2.1,2019,0.4444444444444444,chi,2019-11-10
11,Sun,8:20PM ET,0,0,4-6,1,Los Angeles Rams,7.0,17.0,17.0,267.0,193.0,74.0,1.0,13.0,283.0,173.0,110.0,2.0,-13.17,5.69,-5.08,2019,0.4,chi,2019-11-17
12,Sun,1:00PM ET,1,0,5-6,0,New York Giants,19.0,14.0,20.0,335.0,270.0,65.0,2.0,14.0,243.0,134.0,109.0,1.0,-7.02,12.48,-2.01,2019,0.45454545454545453,chi,2019-11-24
13,Thu,12:30PM ET,1,0,6-6,1,Detroit Lions,24.0,20.0,22.0,419.0,331.0,88.0,1.0,19.0,364.0,259.0,105.0,1.0,8.33,-6.28,0.13,2019,0.5,chi,2019-11-28
14,Thu,8:20PM ET,1,0,7-6,0,Dallas Cowboys,31.0,24.0,24.0,382.0,231.0,151.0,2.0,22.0,408.0,326.0,82.0,0.0,10.48,-10.67,8.71,2019,0.5384615384615384,chi,2019-12-05
15,Sun,1:00PM ET,0,0,7-7,1,Green Bay Packers,13.0,21.0,20.0,415.0,319.0,96.0,3.0,12.0,292.0,192.0,100.0,0.0,-4.89,2.97,-1.24,2019,0.5,chi,2019-12-15
16,Sun,8:20PM ET,0,0,7-8,0,Kansas City Chiefs,3.0,26.0,18.0,234.0,133.0,101.0,0.0,25.0,350.0,244.0,106.0,0.0,-6.38,-14.74,-1.09,2019,0.4666666666666667,chi,2019-12-22
17,Sun,1:00PM ET,1,0,8-8,1,Minnesota Vikings,21.0,19.0,24.0,337.0,179.0,158.0,1.0,14.0,300.0,126.0,174.0,3.0,1.26,-2.15,-1.08,2019,0.5,chi,2019-12-29
1,Sun,1:00PM ET,1,0,1-0,1,Detroit Lions,27.0,23.0,26.0,363.0,214.0,149.0,0.0,25.0,426.0,288.0,138.0,1.0,10.67,-7.96,0.12,2020,1.0,chi,2020-09-13
2,Sun,1:00PM ET,1,0,2-0,0,New York Giants,17.0,13.0,18.0,304.0,169.0,135.0,2.0,22.0,295.0,220.0,75.0,2.0,3.42,-0.28,-3.92,2020,1.0,chi,2020-09-20
3,Sun,1:00PM ET,1,0,3-0,1,Atlanta Falcons,30.0,26.0,24.0,437.0,307.0,130.0,2.0,22.0,371.0,227.0,144.0,1.0,2.87,-5.82,5.24,2020,1.0,chi,2020-09-27
4,Sun,1:00PM ET,0,0,3-1,0,Indianapolis Colts,11.0,19.0,16.0,269.0,241.0,28.0,1.0,18.0,289.0,186.0,103.0,0.0,-1.13,-2.28,-7.13,2020,0.75,chi,2020-10-04
5,Thu,8:20PM ET,1,0,4-1,0,Tampa Bay Buccaneers,20.0,19.0,18.0,243.0,208.0,35.0,1.0,18.0,339.0,233.0,106.0,1.0,-0.67,3.3,1.05,2020,0.8,chi,2020-10-08
6,Sun,1:00PM ET,1,0,5-1,1,Carolina Panthers,23.0,16.0,22.0,261.0,198.0,63.0,1.0,23.0,303.0,191.0,112.0,3.0,1.01,3.15,2.23,2020,0.8333333333333334,chi,2020-10-18
