Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
9,Sun,1:00PM ET,0,0,4-4,1,Carolina Panthers,17.0,20.0,17.0,355.0,302.0,53.0,1.0,20.0,330.0,129.0,201.0,2.0,-7.37,3.16,0.79,2017,0.5,atl,2017-11-05
10,Sun,4:25PM ET,1,0,5-4,0,Dallas Cowboys,27.0,7.0,22.0,336.0,204.0,132.0,1.0,18.0,233.0,126.0,107.0,2.0,7.61,9.4,2.02,2017,0.5555555555555556,atl,2017-11-12
11,Mon,8:30PM ET,1,0,6-4,1,Seattle Seahawks,34.0,31.0,22.0,279.0,190.0,89.0,1.0,26.0,360.0,224.0,136.0,2.0,13.29,-3.48,-6.1,2017,0.6,atl,2017-11-20
12,Sun,1:00PM ET,1,0,7-4,0,Tampa Bay Buccaneers,34.0,20.0,23.0,516.0,368.0,148.0,1.0,27.0,373.0,279.0,94.0,0.0,24.16,-11.26,-1.49,2017,0.6363636363636364,atl,2017-11-26
13,Sun,1:00PM ET,0,0,7-5,0,Minnesota Vikings,9.0,14.0,15.0,275.0,173.0,102.0,0.0,22.0,312.0,207.0,105.0,0.0,-0.67,-5.93,-1.97,2017,0.5833333333333334,atl,2017-12-03
14,Thu,8:25PM ET,1,0,8-5,0,New Orleans Saints,20.0,17.0,26.0,343.0,211.0,132.0,3.0,18.0,306.0,256.0,50.0,1.0,3.36,-3.22,-0.2,2017,0.6153846153846154,atl,2017-12-07
15,Mon,8:30PM ET,1,0,9-5,1,Tampa Bay Buccaneers,24.0,21.0,24.0,410.0,209.0,201.0,0.0,22.0,373.0,289.0,84.0,1.0,16.39,-13.66,2.69,2017,0.6428571428571429,atl,2017-12-18
16,Sun,1:00PM ET,0,0,9-6,1,New Orleans Saints,13.0,23.0,15.0,331.0,264.0,67.0,2.0,15.0,315.0,229.0,86.0,1.0,-13.63,6.78,-3.54,2017,0.6,atl,2017-12-24
17,Sun,4:25PM ET,1,0,10-6,0,Carolina Panthers,22.0,10.0,20.0,371.0,311.0,60.0,0.0,15.0,248.0,161.0,87.0,3.0,3.52,14.47,-3.81,2017,0.625,atl,2017-12-31
Wild Card,Sat,8:15PM ET,1,0,11-6,1,Los Angeles Rams,26.0,13.0,20.0,322.0,198.0,124.0,0.0,19.0,361.0,246.0,115.0,2.0,2.21,4.61,12.07,2017,0.6470588235294118,atl,2017-01-06
