W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
0,1,1,Indianapolis Colts,23.0,26.0,29.0,46.0,336.0,2.0,0.0,2.0,17.0,7.7,7.0,63.0,99.5,22.0,66.0,3.0,0.0,3.0,3.0,2.0,2.0,6.0,274.0,4.0,14.0,2.0,2.0,31:05,2017,sfo,2017-10-08,0.0
0,0,1,Washington Redskins,24.0,26.0,23.0,47.0,250.0,1.0,1.0,3.0,29.0,5.9,5.0,48.9,63.3,20.0,85.0,4.3,2.0,1.0,2.0,3.0,3.0,6.0,254.0,6.0,17.0,1.0,2.0,23:08,2017,sfo,2017-10-15,0.0
0,0,0,Dallas Cowboys,10.0,40.0,22.0,38.0,187.0,0.0,0.0,5.0,48.0,6.2,4.3,57.9,70.8,22.0,103.0,4.7,1.0,1.0,1.0,1.0,1.0,4.0,180.0,6.0,13.0,0.0,2.0,27:10,2017,sfo,2017-10-22,0.0
0,0,1,Philadelphia Eagles,10.0,33.0,17.0,36.0,144.0,1.0,2.0,4.0,23.0,4.6,3.6,47.2,44.2,24.0,94.0,3.9,0.0,1.0,2.0,1.0,1.0,8.0,364.0,3.0,15.0,0.0,0.0,27:03,2017,sfo,2017-10-29,0.0
0,0,0,Arizona Cardinals,10.0,20.0,24.0,51.0,266.0,0.0,1.0,5.0,28.0,5.8,4.8,47.1,54.9,17.0,63.0,3.7,1.0,1.0,1.0,1.0,1.0,8.0,352.0,6.0,17.0,0.0,2.0,23:38,2017,sfo,2017-11-05,0.0
1,0,0,New York Giants,31.0,21.0,19.0,25.0,288.0,2.0,1.0,0.0,0.0,11.5,11.5,76.0,123.4,33.0,186.0,5.6,2.0,1.0,1.0,4.0,4.0,1.0,45.0,8.0,12.0,0.0,1.0,29:00,2017,sfo,2017-11-12,0.1
0,0,0,Seattle Seahawks,13.0,24.0,24.0,40.0,196.0,1.0,1.0,3.0,23.0,5.5,4.6,60.0,70.4,24.0,84.0,3.5,0.0,2.0,2.0,1.0,1.0,9.0,342.0,5.0,16.0,1.0,1.0,30:29,2017,sfo,2017-11-26,0.09090909090909091
1,0,1,Chicago Bears,15.0,14.0,26.0,37.0,278.0,0.0,1.0,2.0,15.0,7.9,7.1,70.3,80.7,34.0,110.0,3.2,0.0,5.0,5.0,0.0,0.0,2.0,72.0,10.0,18.0,0.0,0.0,38:47,2017,sfo,2017-12-03,0.16666666666666666
1,0,1,Houston Texans,26.0,16.0,20.0,33.0,314.0,1.0,1.0,2.0,20.0,10.1,9.0,60.6,89.7,31.0,102.0,3.3,1.0,4.0,4.0,2.0,2.0,5.0,207.0,2.0,11.0,0.0,0.0,34:49,2017,sfo,2017-12-10,0.23076923076923078
1,0,0,Tennessee Titans,25.0,23.0,31.0,43.0,363.0,1.0,0.0,3.0,18.0,8.9,7.9,72.1,105.1,22.0,51.0,2.3,0.0,6.0,6.0,1.0,1.0,1.0,43.0,7.0,14.0,0.0,0.0,32:35,2017,sfo,2017-12-17,0.2857142857142857
1,0,0,Jacksonville Jaguars,44.0,33.0,21.0,30.0,238.0,2.0,1.0,1.0,4.0,8.1,7.7,70.0,101.8,35.0,131.0,3.7,3.0,1.0,1.0,5.0,6.0,3.0,131.0,10.0,15.0,0.0,0.0,29:11,2017,sfo,2017-12-24,0.3333333333333333
1,0,1,Los Angeles Rams,34.0,13.0,20.0,33.0,292.0,2.0,2.0,0.0,0.0,8.8,8.8,60.6,84.4,30.0,169.0,5.6,2.0,2.0,2.0,4.0,4.0,2.0,87.0,6.0,12.0,0.0,0.0,29:09,2017,sfo,2017-12-31,0.375
0,0,1,Minnesota Vikings,16.0,24.0,15.0,33.0,237.0,1.0,3.0,3.0,24.0,7.9,6.6,45.5,42.1,25.0,90.0,3.6,0.0,3.0,3.0,1.0,1.0,4.0,174.0,5.0,13.0,0.0,0.0,28:51,2018,sfo,2018-09-09,0.0
