Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
12,Sun,4:25PM ET,1,0,8-3,0,New Orleans Saints,26.0,20.0,24.0,415.0,327.0,88.0,1.0,14.0,346.0,223.0,123.0,0.0,11.8,-4.47,-3.72,2017,0.7272727272727273,ram,2017-11-26
13,Sun,4:25PM ET,1,0,9-3,1,Arizona Cardinals,32.0,16.0,18.0,303.0,213.0,90.0,1.0,19.0,305.0,187.0,118.0,2.0,2.4,8.56,3.31,2017,0.75,ram,2017-12-03
14,Sun,4:25PM ET,0,0,9-4,0,Philadelphia Eagles,35.0,43.0,17.0,307.0,198.0,109.0,2.0,29.0,455.0,316.0,139.0,1.0,2.69,-15.32,5.62,2017,0.6923076923076923,ram,2017-12-10
15,Sun,4:05PM ET,1,0,10-4,1,Seattle Seahawks,42.0,7.0,19.0,352.0,108.0,244.0,1.0,11.0,149.0,71.0,78.0,2.0,4.78,20.02,6.47,2017,0.7142857142857143,ram,2017-12-17
16,Sun,1:00PM ET,1,0,11-4,1,Tennessee Titans,27.0,23.0,20.0,402.0,286.0,116.0,1.0,19.0,366.0,269.0,97.0,1.0,8.64,-0.11,-4.53,2017,0.7333333333333333,ram,2017-12-24
17,Sun,4:25PM ET,0,0,11-5,0,San Francisco 49ers,13.0,34.0,15.0,251.0,149.0,102.0,2.0,25.0,461.0,292.0,169.0,3.0,-8.87,-9.97,-1.57,2017,0.6875,ram,2017-12-31
Wild Card,Sat,8:15PM ET,0,0,11-6,0,Atlanta Falcons,13.0,26.0,19.0,361.0,246.0,115.0,2.0,20.0,322.0,198.0,124.0,0.0,-4.61,-2.21,-12.07,2017,0.6470588235294118,ram,2017-01-06
1,Mon,10:20PM ET,1,0,1-0,1,Oakland Raiders,33.0,13.0,23.0,365.0,225.0,140.0,0.0,20.0,395.0,300.0,95.0,3.0,16.1,6.75,-5.9,2018,1.0,ram,2018-09-10
2,Sun,4:05PM ET,1,0,2-0,0,Arizona Cardinals,34.0,0.0,24.0,432.0,342.0,90.0,1.0,5.0,137.0,83.0,54.0,1.0,18.11,17.5,-3.56,2018,1.0,ram,2018-09-16
3,Sun,4:05PM ET,1,0,3-0,0,Los Angeles Chargers,35.0,23.0,33.0,521.0,350.0,171.0,2.0,16.0,356.0,215.0,141.0,2.0,24.39,-10.0,-0.42,2018,1.0,ram,2018-09-23
4,Thu,8:20PM ET,1,0,4-0,0,Minnesota Vikings,38.0,31.0,25.0,556.0,456.0,100.0,0.0,25.0,446.0,392.0,54.0,1.0,33.75,-15.88,-6.96,2018,1.0,ram,2018-09-27
5,Sun,4:25PM ET,1,0,5-0,1,Seattle Seahawks,33.0,31.0,30.0,468.0,313.0,155.0,2.0,20.0,373.0,183.0,190.0,0.0,21.36,-19.11,0.12,2018,1.0,ram,2018-10-07
6,Sun,4:05PM ET,1,0,6-0,1,Denver Broncos,23.0,20.0,24.0,444.0,174.0,270.0,1.0,23.0,357.0,297.0,60.0,1.0,11.09,-6.06,-0.02,2018,1.0,ram,2018-10-14
7,Sun,4:25PM ET,1,0,7-0,1,San Francisco 49ers,39.0,10.0,20.0,339.0,193.0,146.0,0.0,16.0,228.0,121.0,107.0,4.0,10.86,19.69,-5.98,2018,1.0,ram,2018-10-21
8,Sun,4:25PM ET,1,0,8-0,0,Green Bay Packers,29.0,27.0,23.0,416.0,281.0,135.0,0.0,16.0,359.0,253.0,106.0,1.0,7.93,-14.06,8.28,2018,1.0,ram,2018-10-28
9,Sun,4:25PM ET,0,0,8-1,1,New Orleans Saints,35.0,45.0,23.0,483.0,391.0,92.0,1.0,31.0,487.0,346.0,141.0,1.0,20.09,-29.05,-8.53,2018,0.8888888888888888,ram,2018-11-04
10,Sun,4:25PM ET,1,0,9-1,0,Seattle Seahawks,36.0,31.0,25.0,456.0,307.0,149.0,0.0,29.0,414.0,141.0,273.0,1.0,22.36,-15.66,-1.89,2018,0.9,ram,2018-11-11
11,Mon,8:15PM ET,1,0,10-1,0,Kansas City Chiefs,54.0,51.0,29.0,455.0,379.0,76.0,2.0,27.0,546.0,448.0,98.0,5.0,15.93,-10.02,-2.52,2018,0.9090909090909091,ram,2018-11-19
13,Sun,1:00PM ET,1,0,11-1,1,Detroit Lions,30.0,16.0,24.0,344.0,195.0,149.0,2.0,23.0,310.0,208.0,102.0,2.0,6.09,5.26,1.34,2018,0.9166666666666666,ram,2018-12-02
14,Sun,8:20PM ET,0,0,11-2,1,Chicago Bears,6.0,15.0,14.0,214.0,162.0,52.0,4.0,17.0,294.0,100.0,194.0,3.0,-21.99,15.04,2.29,2018,0.8461538461538461,ram,2018-12-09
15,Sun,8:20PM ET,0,0,11-3,0,Philadelphia Eagles,23.0,30.0,23.0,407.0,325.0,82.0,3.0,17.0,381.0,270.0,111.0,1.0,1.52,-1.68,-3.79,2018,0.7857142857142857,ram,2018-12-16
16,Sun,4:05PM ET,1,0,12-3,1,Arizona Cardinals,31.0,9.0,33.0,461.0,192.0,269.0,1.0,15.0,263.0,159.0,104.0,0.0,24.42,4.01,-5.46,2018,0.8,ram,2018-12-23
17,Sun,4:25PM ET,1,0,13-3,0,San Francisco 49ers,48.0,32.0,28.0,377.0,222.0,155.0,0.0,22.0,391.0,264.0,127.0,4.0,16.59,-1.86,-3.88,2018,0.8125,ram,2018-12-30
Division,Sat,8:15PM ET,1,0,14-3,0,Dallas Cowboys,30.0,22.0,30.0,459.0,186.0,273.0,0.0,19.0,308.0,258.0,50.0,0.0,24.75,-13.46,-0.14,2018,0.8235294117647058,ram,2018-01-12
Conf. Champ.,Sun,3:05PM ET,1,1,15-3,1,New Orleans Saints,26.0,23.0,19.0,378.0,301.0,77.0,1.0,19.0,290.0,242.0,48.0,1.0,3.02,-2.51,2.95,2018,0.8333333333333334,ram,2018-01-20
SuperBowl,Sun,6:30PM ET,0,0,15-4,0,New England Patriots,3.0,13.0,14.0,260.0,198.0,62.0,1.0,22.0,407.0,253.0,154.0,1.0,-11.82,-2.46,4.34,2018,0.7894736842105263,ram,2018-02-03
1,Sun,1:00PM ET,1,0,1-0,1,Carolina Panthers,30.0,27.0,22.0,349.0,183.0,166.0,1.0,21.0,343.0,216.0,127.0,3.0,4.57,3.24,-3.39,2019,1.0,ram,2019-09-08
2,Sun,4:25PM ET,1,0,2-0,0,New Orleans Saints,27.0,9.0,20.0,380.0,265.0,115.0,1.0,15.0,244.0,187.0,57.0,1.0,7.63,13.12,-6.34,2019,1.0,ram,2019-09-15
3,Sun,8:20PM ET,1,0,3-0,1,Cleveland Browns,20.0,13.0,20.0,344.0,254.0,90.0,3.0,18.0,270.0,175.0,95.0,1.0,1.06,8.89,-3.41,2019,1.0,ram,2019-09-22
4,Sun,4:05PM ET,0,0,3-1,0,Tampa Bay Buccaneers,40.0,55.0,36.0,518.0,490.0,28.0,4.0,27.0,464.0,376.0,88.0,1.0,4.47,-22.76,4.04,2019,0.75,ram,2019-09-29
5,Thu,8:20PM ET,0,0,3-2,1,Seattle Seahawks,29.0,30.0,24.0,477.0,395.0,82.0,2.0,25.0,429.0,262.0,167.0,1.0,9.94,-12.97,1.58,2019,0.6,ram,2019-10-03
6,Sun,4:05PM ET,0,0,3-3,0,San Francisco 49ers,7.0,20.0,10.0,157.0,48.0,109.0,1.0,22.0,331.0,232.0,99.0,2.0,-25.23,3.54,5.01,2019,0.5,ram,2019-10-13
7,Sun,1:00PM ET,1,0,4-3,1,Atlanta Falcons,37.0,10.0,23.0,381.0,291.0,90.0,0.0,14.0,224.0,186.0,38.0,3.0,8.61,10.97,7.98,2019,0.5714285714285714,ram,2019-10-20
8,Sun,1:00PM ET,1,0,5-3,0,Cincinnati Bengals,24.0,10.0,19.0,470.0,372.0,98.0,0.0,24.0,401.0,297.0,104.0,0.0,18.42,-3.84,1.27,2019,0.625,ram,2019-10-27
10,Sun,4:25PM ET,0,0,5-4,1,Pittsburgh Steelers,12.0,17.0,16.0,306.0,218.0,88.0,4.0,15.0,273.0,231.0,42.0,2.0,-27.02,17.68,4.1,2019,0.5555555555555556,ram,2019-11-10
11,Sun,8:20PM ET,1,0,6-4,0,Chicago Bears,17.0,7.0,13.0,283.0,173.0,110.0,2.0,17.0,267.0,193.0,74.0,1.0,-5.69,13.17,5.08,2019,0.6,ram,2019-11-17
12,Mon,8:15PM ET,0,0,6-5,0,Baltimore Ravens,6.0,45.0,14.0,221.0,199.0,22.0,2.0,31.0,480.0,195.0,285.0,0.0,-8.52,-32.32,4.27,2019,0.5454545454545454,ram,2019-11-25
13,Sun,4:05PM ET,1,0,7-5,1,Arizona Cardinals,34.0,7.0,27.0,549.0,417.0,132.0,0.0,13.0,198.0,124.0,74.0,1.0,18.95,16.98,-10.38,2019,0.5833333333333334,ram,2019-12-01
14,Sun,8:20PM ET,1,0,8-5,0,Seattle Seahawks,28.0,12.0,26.0,455.0,293.0,162.0,2.0,16.0,308.0,202.0,106.0,1.0,13.97,7.74,-4.96,2019,0.6153846153846154,ram,2019-12-08
15,Sun,4:25PM ET,0,0,8-6,1,Dallas Cowboys,21.0,44.0,23.0,289.0,267.0,22.0,1.0,25.0,475.0,212.0,263.0,0.0,-3.54,-26.77,5.18,2019,0.5714285714285714,ram,2019-12-15
16,Sat,8:15PM ET,0,0,8-7,1,San Francisco 49ers,31.0,34.0,24.0,395.0,323.0,72.0,1.0,19.0,334.0,215.0,119.0,2.0,3.16,-3.67,-1.84,2019,0.5333333333333333,ram,2019-12-21
17,Sun,4:25PM ET,1,0,9-7,0,Arizona Cardinals,31.0,24.0,25.0,424.0,311.0,113.0,0.0,22.0,393.0,322.0,71.0,5.0,16.31,-3.53,-5.85,2019,0.5625,ram,2019-12-29
1,Sun,8:20PM ET,1,0,1-0,0,Dallas Cowboys,20.0,17.0,23.0,422.0,269.0,153.0,1.0,24.0,380.0,244.0,136.0,0.0,12.62,-3.18,-1.54,2020,1.0,ram,2020-09-13
2,Sun,1:00PM ET,1,0,2-0,1,Philadelphia Eagles,37.0,19.0,30.0,449.0,258.0,191.0,1.0,25.0,363.0,242.0,121.0,3.0,27.57,0.85,-8.25,2020,1.0,ram,2020-09-20
3,Sun,1:00PM ET,0,0,2-1,1,Buffalo Bills,32.0,35.0,28.0,478.0,311.0,167.0,2.0,23.0,375.0,274.0,101.0,2.0,19.86,-17.83,-6.79,2020,0.6666666666666666,ram,2020-09-27
4,Sun,4:05PM ET,1,0,3-1,0,New York Giants,17.0,9.0,15.0,240.0,182.0,58.0,1.0,19.0,295.0,159.0,136.0,1.0,1.88,8.39,-3.27,2020,0.75,ram,2020-10-04
5,Sun,1:00PM ET,1,0,4-1,1,Washington Football Team,30.0,10.0,20.0,429.0,300.0,129.0,1.0,10.0,108.0,70.0,38.0,0.0,12.32,15.55,-9.05,2020,0.8,ram,2020-10-11
6,Sun,8:20PM ET,0,0,4-2,1,San Francisco 49ers,16.0,24.0,17.0,311.0,198.0,113.0,1.0,24.0,390.0,268.0,122.0,0.0,2.05,-12.69,2.53,2020,0.6666666666666666,ram,2020-10-18
7,Mon,8:15PM ET,1,0,5-2,0,Chicago Bears,24.0,10.0,24.0,371.0,211.0,160.0,1.0,14.0,279.0,230.0,49.0,2.0,3.2,17.34,-5.7,2020,0.7142857142857143,ram,2020-10-26
8,Sun,1:00PM ET,0,0,5-3,1,Miami Dolphins,17.0,28.0,31.0,471.0,340.0,131.0,4.0,8.0,145.0,90.0,55.0,2.0,-18.41,21.63,-12.41,2020,0.625,ram,2020-11-01
10,Sun,4:25PM ET,1,0,6-3,0,Seattle Seahawks,23.0,16.0,24.0,389.0,283.0,106.0,1.0,20.0,333.0,220.0,113.0,3.0,11.84,3.08,-6.89,2020,0.6666666666666666,ram,2020-11-15
11,Mon,8:15PM ET,1,0,7-3,1,Tampa Bay Buccaneers,27.0,24.0,22.0,413.0,376.0,37.0,2.0,20.0,251.0,209.0,42.0,2.0,5.08,1.67,-2.02,2020,0.7,ram,2020-11-23
12,Sun,4:05PM ET,0,0,7-4,0,San Francisco 49ers,20.0,23.0,14.0,308.0,182.0,126.0,4.0,18.0,345.0,233.0,112.0,3.0,-19.57,14.81,2.68,2020,0.6363636363636364,ram,2020-11-29
13,Sun,4:05PM ET,1,0,8-4,1,Arizona Cardinals,38.0,28.0,30.0,463.0,344.0,119.0,1.0,18.0,232.0,140.0,92.0,2.0,18.92,0.6,-6.43,2020,0.6666666666666666,ram,2020-12-06
14,Thu,8:20PM ET,1,0,9-4,0,New England Patriots,24.0,3.0,17.0,318.0,132.0,186.0,1.0,10.0,220.0,113.0,107.0,1.0,1.19,29.77,-8.58,2020,0.6923076923076923,ram,2020-12-10
15,Sun,4:05PM ET,0,0,9-5,0,New York Jets,20.0,23.0,16.0,303.0,189.0,114.0,1.0,17.0,289.0,196.0,93.0,0.0,-2.53,-0.42,-0.32,2020,0.6428571428571429,ram,2020-12-20
16,Sun,4:25PM ET,0,0,9-6,1,Seattle Seahawks,9.0,20.0,20.0,334.0,216.0,118.0,1.0,15.0,292.0,197.0,95.0,0.0,-11.28,-1.46,0.5,2020,0.6,ram,2020-12-27
17,Sun,4:25PM ET,1,0,10-6,0,Arizona Cardinals,18.0,7.0,21.0,333.0,223.0,110.0,2.0,15.0,214.0,166.0,48.0,1.0,-6.77,13.48,2.44,2020,0.625,ram,2020-01-03
Wild Card,Sat,4:40PM ET,1,0,11-6,1,Seattle Seahawks,30.0,20.0,16.0,333.0,169.0,164.0,0.0,11.0,278.0,142.0,136.0,2.0,-3.67,18.04,-1.48,2020,0.6470588235294118,ram,2020-01-09
Division,Sat,4:35PM ET,0,0,11-7,1,Green Bay Packers,18.0,32.0,17.0,244.0,148.0,96.0,0.0,28.0,484.0,296.0,188.0,0.0,2.94,-23.74,5.23,2020,0.6111111111111112,ram,2020-01-16
1,Sun,8:20PM ET,1,0,1-0,0,Chicago Bears,34.0,14.0,18.0,386.0,312.0,74.0,0.0,24.0,322.0,188.0,134.0,2.0,21.58,0.85,-0.52,2021,1.0,ram,2021-09-12
2,Sun,1:00PM ET,1,0,2-0,1,Indianapolis Colts,27.0,24.0,21.0,371.0,270.0,101.0,2.0,22.0,354.0,245.0,109.0,2.0,7.11,-1.29,-3.09,2021,1.0,ram,2021-09-19
3,Sun,4:25PM ET,1,0,3-0,0,Tampa Bay Buccaneers,34.0,24.0,22.0,407.0,331.0,76.0,0.0,27.0,446.0,411.0,35.0,0.0,20.56,-15.15,3.43,2021,1.0,ram,2021-09-26
4,Sun,4:05PM ET,0,0,3-1,0,Arizona Cardinals,20.0,37.0,24.0,401.0,280.0,121.0,2.0,27.0,465.0,249.0,216.0,0.0,8.94,-21.72,-2.64,2021,0.75,ram,2021-10-03
5,Thu,8:20PM ET,1,0,4-1,1,Seattle Seahawks,26.0,17.0,24.0,476.0,358.0,118.0,1.0,22.0,354.0,262.0,92.0,2.0,13.76,-6.71,-0.05,2021,0.8,ram,2021-10-07
6,Sun,1:00PM ET,1,0,5-1,1,New York Giants,38.0,11.0,22.0,365.0,234.0,131.0,2.0,21.0,261.0,201.0,60.0,4.0,7.63,19.06,-0.96,2021,0.8333333333333334,ram,2021-10-17
7,Sun,4:05PM ET,1,0,6-1,0,Detroit Lions,28.0,19.0,22.0,374.0,327.0,47.0,0.0,19.0,415.0,278.0,137.0,2.0,20.08,-3.32,-6.99,2021,0.8571428571428571,ram,2021-10-24
8,Sun,1:00PM ET,1,0,7-1,1,Houston Texans,38.0,22.0,26.0,467.0,302.0,165.0,0.0,18.0,323.0,279.0,44.0,1.0,22.2,-1.75,-8.01,2021,0.875,ram,2021-10-31
9,Sun,8:20PM ET,0,0,7-2,0,Tennessee Titans,16.0,28.0,22.0,347.0,253.0,94.0,2.0,16.0,194.0,125.0,69.0,1.0,-11.78,-1.15,-0.53,2021,0.7777777777777778,ram,2021-11-07
10,Mon,8:15PM ET,0,0,7-3,1,San Francisco 49ers,10.0,31.0,16.0,278.0,226.0,52.0,2.0,20.0,335.0,179.0,156.0,0.0,-7.18,-11.33,-0.7,2021,0.7,ram,2021-11-15
