PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Timestamp,Week,Day,Time,W/L,OT,Record,@,Opp,TmScore,OppScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,Team,Year,month,year,Avg3Game,Avg6Game,Win%
14.0,27.0,175.0,3.0,1.0,2.0,22.0,7.3,51.9,93.9,34.0,227.0,6.7,1.0,2.0,2.0,4.0,5.0,6.0,258.0,4.0,13.0,0.0,0.0,30:09,2018-12-09,14,Sun,1:00PM ET,1,0,5-8,1,Washington Redskins,40.0,16.0,19.0,402.0,175.0,227.0,1.0,12.0,288.0,204.0,84.0,3.0,10.27,19.48,-9.84,nyg,2018,12,2018,30.666666666666668,28.333333333333332,0.38461538461538464
21.0,44.0,213.0,0.0,1.0,3.0,16.0,5.2,47.7,52.6,16.0,47.0,2.9,0.0,0.0,0.0,0.0,0.0,6.0,237.0,3.0,16.0,2.0,3.0,24:39,2018-12-16,15,Sun,1:00PM ET,0,0,5-9,0,Tennessee Titans,0.0,17.0,15.0,260.0,213.0,47.0,2.0,22.0,301.0,86.0,215.0,0.0,-16.42,-4.8,6.32,nyg,2018,12,2018,23.333333333333332,26.166666666666668,0.35714285714285715
25.0,33.0,309.0,1.0,1.0,0.0,0.0,9.4,75.8,101.7,29.0,83.0,2.9,2.0,2.0,2.0,3.0,3.0,3.0,145.0,7.0,12.0,0.0,0.0,31:41,2018-12-23,16,Sun,1:00PM ET,0,0,5-10,1,Indianapolis Colts,27.0,28.0,22.0,392.0,309.0,83.0,1.0,27.0,402.0,353.0,49.0,1.0,16.7,-18.72,-0.88,nyg,2018,12,2018,22.333333333333332,26.166666666666668,0.3333333333333333
24.0,41.0,298.0,2.0,1.0,1.0,3.0,7.3,58.5,87.2,25.0,143.0,5.7,2.0,2.0,2.0,3.0,3.0,2.0,94.0,7.0,15.0,2.0,3.0,29:08,2018-12-30,17,Sun,1:00PM ET,0,0,5-11,0,Dallas Cowboys,35.0,36.0,20.0,441.0,298.0,143.0,2.0,23.0,419.0,368.0,51.0,1.0,10.28,-21.03,8.93,nyg,2018,12,2018,20.666666666666668,25.666666666666668,0.3125
33.0,48.0,319.0,1.0,0.0,1.0,4.0,6.7,68.8,94.0,17.0,151.0,8.9,1.0,1.0,1.0,2.0,2.0,4.0,166.0,2.0,11.0,1.0,3.0,27:42,2019-09-08,1,Sun,4:25PM ET,0,0,0-1,1,Dallas Cowboys,17.0,35.0,25.0,470.0,319.0,151.0,2.0,23.0,494.0,405.0,89.0,0.0,10.91,-26.91,-0.11,nyg,2019,9,2019,,,0.0
26.0,45.0,241.0,1.0,2.0,1.0,9.0,5.6,57.8,61.4,20.0,129.0,6.5,1.0,0.0,1.0,2.0,2.0,5.0,242.0,3.0,12.0,1.0,2.0,27:22,2019-09-15,2,Sun,1:00PM ET,0,0,0-2,0,Buffalo Bills,14.0,28.0,21.0,370.0,241.0,129.0,2.0,24.0,388.0,237.0,151.0,0.0,-2.11,-6.57,-3.56,nyg,2019,9,2019,,,0.0
23.0,36.0,312.0,2.0,0.0,5.0,24.0,9.3,63.9,110.0,19.0,72.0,3.8,2.0,1.0,1.0,3.0,3.0,5.0,244.0,6.0,13.0,1.0,1.0,26:48,2019-09-22,3,Sun,4:05PM ET,1,0,1-2,1,Tampa Bay Buccaneers,32.0,31.0,17.0,384.0,312.0,72.0,2.0,24.0,499.0,355.0,144.0,1.0,8.02,-14.58,6.08,nyg,2019,9,2019,21.0,,0.3333333333333333
23.0,31.0,225.0,1.0,2.0,0.0,0.0,7.3,74.2,78.0,37.0,164.0,4.4,1.0,1.0,1.0,3.0,3.0,3.0,165.0,8.0,13.0,1.0,1.0,36:09,2019-09-29,4,Sun,1:00PM ET,1,0,2-2,0,Washington Redskins,24.0,3.0,24.0,389.0,225.0,164.0,4.0,8.0,176.0,121.0,55.0,4.0,0.43,25.74,-4.64,nyg,2019,9,2019,23.333333333333332,,0.5
21.0,38.0,147.0,1.0,1.0,4.0,35.0,4.8,55.3,62.1,20.0,64.0,3.2,0.0,1.0,1.0,1.0,1.0,3.0,134.0,8.0,16.0,0.0,3.0,27:20,2019-10-06,5,Sun,1:00PM ET,0,0,2-3,0,Minnesota Vikings,10.0,28.0,18.0,211.0,147.0,64.0,1.0,22.0,490.0,279.0,211.0,1.0,-8.73,-16.93,0.4,nyg,2019,10,2019,22.0,,0.4
15.0,31.0,161.0,1.0,3.0,1.0,0.0,5.2,48.4,35.2,16.0,52.0,3.3,0.0,0.0,0.0,2.0,2.0,6.0,196.0,2.0,10.0,0.0,1.0,20:24,2019-10-10,6,Thu,8:20PM ET,0,0,2-4,1,New England Patriots,14.0,35.0,10.0,213.0,161.0,52.0,4.0,27.0,427.0,313.0,114.0,2.0,-24.29,0.69,-1.1,nyg,2019,10,2019,16.0,18.5,0.3333333333333333
22.0,35.0,156.0,1.0,1.0,8.0,67.0,6.4,62.9,70.7,22.0,107.0,4.9,1.0,0.0,1.0,3.0,3.0,3.0,112.0,4.0,12.0,1.0,3.0,30:01,2019-10-20,7,Sun,1:00PM ET,0,0,2-5,0,Arizona Cardinals,21.0,27.0,21.0,263.0,156.0,107.0,3.0,18.0,245.0,89.0,156.0,0.0,-8.02,-3.73,2.98,nyg,2019,10,2019,15.0,19.166666666666668,0.2857142857142857
28.0,41.0,290.0,4.0,0.0,3.0,32.0,7.9,68.3,121.0,24.0,80.0,3.3,0.0,0.0,0.0,2.0,3.0,3.0,135.0,7.0,12.0,0.0,2.0,30:47,2019-10-27,8,Sun,1:00PM ET,0,0,2-6,1,Detroit Lions,26.0,31.0,24.0,370.0,290.0,80.0,1.0,17.0,375.0,316.0,59.0,2.0,6.34,-7.67,-5.39,nyg,2019,10,2019,20.333333333333332,21.166666666666668,0.25
26.0,41.0,171.0,1.0,1.0,5.0,39.0,5.1,63.4,70.3,22.0,100.0,4.5,0.0,4.0,4.0,0.0,1.0,3.0,142.0,5.0,16.0,1.0,1.0,31:56,2019-11-04,9,Mon,8:15PM ET,0,0,2-7,0,Dallas Cowboys,18.0,37.0,20.0,271.0,171.0,100.0,3.0,24.0,429.0,257.0,172.0,2.0,-12.66,-10.68,5.61,nyg,2019,11,2019,21.666666666666668,18.833333333333332,0.2222222222222222
26.0,40.0,258.0,4.0,0.0,6.0,50.0,7.7,65.0,116.5,17.0,23.0,1.4,0.0,0.0,0.0,1.0,2.0,6.0,322.0,8.0,18.0,1.0,2.0,29:16,2019-11-10,10,Sun,1:00PM ET,0,0,2-8,1,New York Jets,27.0,34.0,15.0,281.0,258.0,23.0,2.0,18.0,294.0,218.0,76.0,0.0,-2.96,-6.97,0.39,nyg,2019,11,2019,23.666666666666668,19.333333333333332,0.2
21.0,36.0,134.0,2.0,0.0,1.0,16.0,4.2,58.3,84.7,21.0,109.0,5.2,0.0,0.0,2.0,2.0,2.0,5.0,257.0,1.0,12.0,2.0,4.0,26:49,2019-11-24,12,Sun,1:00PM ET,0,0,2-9,1,Chicago Bears,14.0,19.0,14.0,243.0,134.0,109.0,1.0,20.0,335.0,270.0,65.0,2.0,-12.48,7.02,2.01,nyg,2019,11,2019,19.666666666666668,20.0,0.18181818181818182
20.0,37.0,240.0,1.0,3.0,0.0,0.0,6.5,54.1,49.4,27.0,95.0,3.5,0.0,2.0,2.0,1.0,1.0,1.0,47.0,5.0,14.0,3.0,4.0,31:17,2019-12-01,13,Sun,1:00PM ET,0,0,2-10,0,Green Bay Packers,13.0,31.0,20.0,335.0,240.0,95.0,3.0,19.0,322.0,243.0,79.0,0.0,0.75,-15.72,-0.67,nyg,2019,12,2019,18.0,19.833333333333332,0.16666666666666666
15.0,30.0,182.0,2.0,0.0,2.0,21.0,6.8,50.0,91.2,20.0,73.0,3.7,0.0,1.0,1.0,2.0,2.0,9.0,415.0,2.0,12.0,0.0,0.0,21:59,2019-12-09,14,Mon,8:15PM ET,0,1,2-11,1,Philadelphia Eagles,17.0,23.0,11.0,255.0,182.0,73.0,0.0,27.0,418.0,300.0,118.0,1.0,-4.47,-3.0,0.47,nyg,2019,12,2019,14.666666666666666,19.166666666666668,0.15384615384615385
21.0,29.0,274.0,2.0,3.0,1.0,10.0,9.8,72.4,85.2,33.0,138.0,4.2,3.0,0.0,0.0,4.0,5.0,5.0,209.0,5.0,11.0,0.0,0.0,31:07,2019-12-15,15,Sun,1:00PM ET,1,0,3-11,0,Miami Dolphins,36.0,20.0,24.0,412.0,274.0,138.0,3.0,22.0,384.0,262.0,122.0,1.0,13.11,-0.43,4.97,nyg,2019,12,2019,22.0,20.833333333333332,0.21428571428571427
28.0,42.0,346.0,5.0,0.0,1.0,6.0,8.4,66.7,131.5,26.0,206.0,7.9,1.0,0.0,1.0,5.0,5.0,4.0,135.0,8.0,14.0,0.0,0.0,31:57,2019-12-22,16,Sun,1:00PM ET,1,1,4-11,1,Washington Redskins,41.0,35.0,28.0,552.0,346.0,206.0,0.0,25.0,361.0,281.0,80.0,0.0,32.47,-18.07,-7.97,nyg,2019,12,2019,31.333333333333332,24.666666666666668,0.26666666666666666
28.0,47.0,275.0,1.0,1.0,4.0,26.0,6.4,59.6,74.3,21.0,122.0,5.8,1.0,1.0,1.0,2.0,2.0,6.0,257.0,5.0,16.0,2.0,4.0,28:35,2019-12-29,17,Sun,4:25PM ET,0,0,4-12,0,Philadelphia Eagles,17.0,34.0,19.0,397.0,275.0,122.0,2.0,25.0,400.0,279.0,121.0,0.0,-6.61,-6.3,0.16,nyg,2019,12,2019,31.333333333333332,23.0,0.25
26.0,41.0,262.0,2.0,2.0,3.0,17.0,6.8,63.4,77.5,20.0,29.0,1.5,0.0,1.0,1.0,1.0,1.0,5.0,193.0,8.0,15.0,1.0,1.0,28:16,2020-09-14,1,Mon,7:15PM ET,0,0,0-1,0,Pittsburgh Steelers,16.0,26.0,20.0,291.0,262.0,29.0,2.0,19.0,349.0,208.0,141.0,1.0,-6.06,-13.2,5.36,nyg,2020,9,2020,,,0.0
25.0,40.0,220.0,0.0,1.0,4.0,21.0,6.0,62.5,66.7,18.0,75.0,4.2,1.0,2.0,3.0,1.0,1.0,3.0,174.0,3.0,13.0,3.0,3.0,25:31,2020-09-20,2,Sun,1:00PM ET,0,0,0-2,1,Chicago Bears,13.0,17.0,22.0,295.0,220.0,75.0,2.0,18.0,304.0,169.0,135.0,2.0,0.28,-3.42,3.92,nyg,2020,9,2020,,,0.0
17.0,32.0,165.0,0.0,1.0,2.0,14.0,5.6,53.1,54.8,15.0,66.0,4.4,0.0,3.0,3.0,0.0,0.0,1.0,54.0,4.0,10.0,1.0,2.0,20:16,2020-09-27,3,Sun,1:00PM ET,0,0,0-3,0,San Francisco 49ers,9.0,36.0,13.0,231.0,165.0,66.0,3.0,29.0,420.0,327.0,93.0,0.0,-10.86,-18.53,8.05,nyg,2020,9,2020,12.666666666666666,,0.0
23.0,36.0,159.0,0.0,1.0,5.0,31.0,5.3,63.9,62.2,25.0,136.0,5.4,0.0,3.0,3.0,0.0,0.0,5.0,216.0,4.0,13.0,1.0,2.0,33:18,2020-10-04,4,Sun,4:05PM ET,0,0,0-4,1,Los Angeles Rams,9.0,17.0,19.0,295.0,159.0,136.0,1.0,15.0,240.0,182.0,58.0,1.0,-8.39,-1.88,3.27,nyg,2020,10,2020,10.333333333333334,,0.0
20.0,33.0,211.0,0.0,0.0,2.0,11.0,6.7,60.6,79.2,27.0,89.0,3.3,2.0,4.0,4.0,2.0,2.0,2.0,104.0,7.0,13.0,0.0,0.0,32:22,2020-10-11,5,Sun,4:25PM ET,0,0,0-5,1,Dallas Cowboys,34.0,37.0,20.0,300.0,211.0,89.0,1.0,28.0,402.0,276.0,126.0,2.0,-0.61,-11.9,7.75,nyg,2020,10,2020,17.333333333333332,,0.0
12.0,19.0,108.0,1.0,1.0,1.0,4.0,5.9,63.2,74.0,26.0,132.0,5.1,0.0,2.0,2.0,2.0,2.0,2.0,70.0,7.0,11.0,0.0,0.0,26:30,2020-10-18,6,Sun,1:00PM ET,1,0,1-5,0,Washington Football Team,20.0,19.0,16.0,240.0,108.0,132.0,1.0,24.0,337.0,251.0,86.0,2.0,4.14,-1.78,2.48,nyg,2020,10,2020,21.0,16.833333333333332,0.16666666666666666
20.0,30.0,165.0,2.0,1.0,3.0,22.0,6.2,66.7,88.9,22.0,160.0,7.3,1.0,0.0,0.0,3.0,3.0,6.0,265.0,3.0,10.0,0.0,0.0,27:22,2020-10-22,7,Thu,8:20PM ET,0,0,1-6,1,Philadelphia Eagles,21.0,22.0,17.0,325.0,165.0,160.0,3.0,27.0,442.0,346.0,96.0,1.0,-1.65,-2.8,1.27,nyg,2020,10,2020,25.0,17.666666666666668,0.14285714285714285
26.0,42.0,256.0,2.0,2.0,3.0,18.0,6.5,61.9,75.1,24.0,101.0,4.2,1.0,1.0,1.0,2.0,2.0,4.0,144.0,4.0,11.0,2.0,2.0,29:50,2020-11-02,8,Mon,8:15PM ET,0,0,1-7,0,Tampa Bay Buccaneers,23.0,25.0,24.0,357.0,256.0,101.0,2.0,23.0,344.0,263.0,81.0,1.0,3.57,-5.01,-2.61,nyg,2020,11,2020,21.333333333333332,19.333333333333332,0.125
