Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
5,Sun,October 6,1:00PM ET,boxscore,1,0,5-0,1,Washington Redskins,33.0,7.0,23.0,442.0,312.0,130.0,1.0,11.0,223.0,78.0,145.0,2.0,9.23,20.78,-6.54,2019,nwe,October,6,2019/October/6,2019-10-06
6,Thu,October 10,8:20PM ET,boxscore,1,0,6-0,0,New York Giants,35.0,14.0,27.0,427.0,313.0,114.0,2.0,10.0,213.0,161.0,52.0,4.0,-0.69,24.29,1.1,2019,nwe,October,10,2019/October/10,2019-10-10
7,Mon,October 21,8:15PM ET,boxscore,1,0,7-0,1,New York Jets,33.0,0.0,22.0,323.0,249.0,74.0,1.0,12.0,154.0,73.0,81.0,6.0,2.21,28.37,1.82,2019,nwe,October,21,2019/October/21,2019-10-21
8,Sun,October 27,4:25PM ET,boxscore,1,0,8-0,0,Cleveland Browns,27.0,13.0,19.0,318.0,239.0,79.0,0.0,15.0,310.0,151.0,159.0,3.0,4.62,19.38,-7.91,2019,nwe,October,27,2019/October/27,2019-10-27
9,Sun,November 3,8:20PM ET,boxscore,0,0,8-1,1,Baltimore Ravens,20.0,37.0,22.0,342.0,268.0,74.0,2.0,26.0,372.0,162.0,210.0,2.0,-5.25,-14.46,5.09,2019,nwe,November,3,2019/November/3,2019-11-03
11,Sun,November 17,4:25PM ET,boxscore,1,0,9-1,1,Philadelphia Eagles,17.0,10.0,19.0,298.0,224.0,74.0,0.0,21.0,255.0,174.0,81.0,1.0,-4.83,9.17,0.43,2019,nwe,November,17,2019/November/17,2019-11-17
12,Sun,November 24,4:25PM ET,boxscore,1,0,10-1,0,Dallas Cowboys,13.0,9.0,17.0,282.0,181.0,101.0,0.0,16.0,321.0,212.0,109.0,1.0,-7.59,7.56,4.62,2019,nwe,November,24,2019/November/24,2019-11-24
13,Sun,December 1,8:20PM ET,boxscore,0,0,10-2,1,Houston Texans,22.0,28.0,29.0,448.0,303.0,145.0,1.0,16.0,276.0,224.0,52.0,0.0,9.51,-10.32,-6.77,2019,nwe,December,1,2019/December/1,2019-12-01
14,Sun,December 8,4:25PM ET,boxscore,0,0,10-3,0,Kansas City Chiefs,16.0,23.0,17.0,278.0,184.0,94.0,1.0,20.0,346.0,271.0,75.0,2.0,-5.79,1.14,-1.25,2019,nwe,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,1,0,11-3,1,Cincinnati Bengals,34.0,13.0,19.0,291.0,116.0,175.0,0.0,19.0,315.0,151.0,164.0,5.0,2.27,12.48,6.29,2019,nwe,December,15,2019/December/15,2019-12-15
