Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
10,Sun,1:00PM ET,0,0,6-4,1,Tennessee Titans,32.0,35.0,28.0,530.0,433.0,97.0,1.0,19.0,371.0,146.0,225.0,1.0,13.98,-11.07,-3.81,2019,kan,November,10,2019-11-10
11,Mon,8:15PM ET,1,0,7-4,1,Los Angeles Chargers,24.0,17.0,18.0,310.0,180.0,130.0,1.0,23.0,438.0,345.0,93.0,4.0,4.13,1.36,2.05,2019,kan,November,18,2019-11-18
13,Sun,4:25PM ET,1,0,8-4,0,Oakland Raiders,40.0,9.0,22.0,259.0,163.0,96.0,0.0,19.0,332.0,210.0,122.0,3.0,14.17,3.44,11.19,2019,kan,December,1,2019-12-01
14,Sun,4:25PM ET,1,0,9-4,1,New England Patriots,23.0,16.0,20.0,346.0,271.0,75.0,2.0,17.0,278.0,184.0,94.0,1.0,-1.14,5.79,1.25,2019,kan,December,8,2019-12-08
15,Sun,1:00PM ET,1,0,10-4,0,Denver Broncos,23.0,3.0,27.0,419.0,327.0,92.0,1.0,15.0,251.0,199.0,52.0,1.0,15.31,9.67,-4.87,2019,kan,December,15,2019-12-15
16,Sun,8:20PM ET,1,0,11-4,1,Chicago Bears,26.0,3.0,25.0,350.0,244.0,106.0,0.0,18.0,234.0,133.0,101.0,0.0,14.74,6.38,1.09,2019,kan,December,22,2019-12-22
17,Sun,1:00PM ET,1,0,12-4,0,Los Angeles Chargers,31.0,21.0,16.0,336.0,174.0,162.0,1.0,25.0,366.0,258.0,108.0,2.0,13.59,-9.18,7.29,2019,kan,December,29,2019-12-29
Division,Sun,3:05PM ET,1,0,13-4,0,Houston Texans,51.0,31.0,29.0,434.0,316.0,118.0,1.0,23.0,442.0,348.0,94.0,1.0,28.73,-5.46,-6.77,2019,kan,January,12,2019-01-12
Conf. Champ.,Sun,3:05PM ET,1,0,14-4,0,Tennessee Titans,35.0,24.0,27.0,404.0,292.0,112.0,0.0,20.0,295.0,210.0,85.0,0.0,29.52,-5.92,-9.99,2019,kan,January,19,2019-01-19
SuperBowl,Sun,6:30PM ET,1,0,15-4,0,San Francisco 49ers,31.0,20.0,26.0,397.0,268.0,129.0,2.0,21.0,351.0,210.0,141.0,2.0,18.54,-5.19,-1.58,2019,kan,February,2,2019-02-02
1,Thu,8:20PM ET,1,0,1-0,0,Houston Texans,34.0,20.0,28.0,369.0,203.0,166.0,0.0,21.0,360.0,242.0,118.0,1.0,22.94,-8.16,1.59,2020,kan,September,10,2020-09-10
2,Sun,4:25PM ET,1,1,2-0,1,Los Angeles Chargers,23.0,20.0,23.0,414.0,289.0,125.0,0.0,28.0,479.0,296.0,183.0,1.0,10.92,-13.33,3.8,2020,kan,September,20,2020-09-20
3,Mon,8:15PM ET,1,0,3-0,1,Baltimore Ravens,34.0,20.0,29.0,517.0,385.0,132.0,1.0,16.0,228.0,70.0,158.0,1.0,26.62,4.74,-17.39,2020,kan,September,28,2020-09-28
4,Mon,7:05PM ET,1,0,4-0,0,New England Patriots,26.0,10.0,19.0,323.0,229.0,94.0,1.0,21.0,357.0,172.0,185.0,4.0,5.72,10.82,-3.78,2020,kan,October,5,2020-10-05
5,Sun,1:00PM ET,0,0,4-1,0,Las Vegas Raiders,32.0,40.0,21.0,413.0,333.0,80.0,1.0,22.0,490.0,346.0,144.0,1.0,10.45,-22.81,0.4,2020,kan,October,11,2020-10-11
