Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 8,1:00PM ET,boxscore,1,0,1-0,0,Atlanta Falcons,28.0,12.0,18.0,269.0,97.0,172.0,0.0,27.0,345.0,272.0,73.0,3.0,11.05,1.83,4.34,2019,min,September,8,2019/September/8,2019-09-08
2,Sun,September 15,1:00PM ET,boxscore,0,0,1-1,1,Green Bay Packers,16.0,21.0,15.0,421.0,223.0,198.0,4.0,20.0,335.0,191.0,144.0,2.0,-6.94,7.02,-5.3,2019,min,September,15,2019/September/15,2019-09-15
3,Sun,September 22,1:00PM ET,boxscore,1,0,2-1,0,Oakland Raiders,34.0,14.0,23.0,385.0,174.0,211.0,0.0,17.0,302.0,214.0,88.0,1.0,20.43,-1.77,0.15,2019,min,September,22,2019/September/22,2019-09-22
4,Sun,September 29,4:25PM ET,boxscore,0,0,2-2,1,Chicago Bears,6.0,16.0,15.0,222.0,182.0,40.0,2.0,17.0,269.0,197.0,72.0,0.0,-10.79,2.85,-1.53,2019,min,September,29,2019/September/29,2019-09-29
5,Sun,October 6,1:00PM ET,boxscore,1,0,3-2,1,New York Giants,28.0,10.0,22.0,490.0,279.0,211.0,1.0,18.0,211.0,147.0,64.0,1.0,16.93,8.73,-0.4,2019,min,October,6,2019/October/6,2019-10-06
6,Sun,October 13,1:00PM ET,boxscore,1,0,4-2,0,Philadelphia Eagles,38.0,20.0,26.0,447.0,325.0,122.0,2.0,19.0,400.0,292.0,108.0,3.0,17.04,-2.18,-0.52,2019,min,October,13,2019/October/13,2019-10-13
7,Sun,October 20,1:00PM ET,boxscore,1,0,5-2,1,Detroit Lions,42.0,30.0,32.0,504.0,338.0,166.0,0.0,26.0,433.0,352.0,81.0,1.0,35.6,-18.28,-2.59,2019,min,October,20,2019/October/20,2019-10-20
8,Thu,October 24,8:20PM ET,boxscore,1,0,6-2,0,Washington Redskins,19.0,9.0,22.0,434.0,273.0,161.0,1.0,14.0,216.0,131.0,85.0,2.0,6.29,5.06,-2.48,2019,min,October,24,2019/October/24,2019-10-24
9,Sun,November 3,1:00PM ET,boxscore,0,0,6-3,1,Kansas City Chiefs,23.0,26.0,17.0,308.0,212.0,96.0,0.0,17.0,377.0,230.0,147.0,1.0,3.06,-7.56,0.23,2019,min,November,3,2019/November/3,2019-11-03
10,Sun,November 10,8:20PM ET,boxscore,1,0,7-3,1,Dallas Cowboys,28.0,24.0,27.0,364.0,211.0,153.0,0.0,24.0,443.0,393.0,50.0,1.0,18.73,-18.62,2.89,2019,min,November,10,2019/November/10,2019-11-10
11,Sun,November 17,1:00PM ET,boxscore,1,0,8-3,0,Denver Broncos,27.0,23.0,19.0,321.0,284.0,37.0,2.0,20.0,394.0,270.0,124.0,1.0,8.51,-4.61,-2.33,2019,min,November,17,2019/November/17,2019-11-17
13,Mon,December 2,8:15PM ET,boxscore,0,0,8-4,1,Seattle Seahawks,30.0,37.0,17.0,354.0,276.0,78.0,3.0,24.0,444.0,226.0,218.0,2.0,6.46,-5.79,-10.5,2019,min,December,2,2019/December/2,2019-12-02
