Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
8,Sun,October 27,1:00PM ET,boxscore,0,0,3-4-1,1,New Orleans Saints,9.0,31.0,10.0,237.0,197.0,40.0,0.0,28.0,510.0,373.0,137.0,1.0,-11.97,-24.66,9.91,2019,crd,October,27,2019/October/27,2019-10-27
9,Thu,October 31,8:20PM ET,boxscore,0,0,3-5-1,0,San Francisco 49ers,25.0,28.0,19.0,357.0,204.0,153.0,0.0,21.0,411.0,310.0,101.0,0.0,13.71,-18.45,-0.88,2019,crd,October,31,2019/October/31,2019-10-31
10,Sun,November 10,1:00PM ET,boxscore,0,0,3-6-1,1,Tampa Bay Buccaneers,27.0,30.0,20.0,417.0,342.0,75.0,2.0,26.0,457.0,339.0,118.0,3.0,1.71,-9.52,3.53,2019,crd,November,10,2019/November/10,2019-11-10
11,Sun,November 17,4:05PM ET,boxscore,0,0,3-7-1,1,San Francisco 49ers,26.0,36.0,21.0,266.0,131.0,135.0,2.0,26.0,442.0,408.0,34.0,2.0,0.09,-8.92,-1.17,2019,crd,November,17,2019/November/17,2019-11-17
13,Sun,December 1,4:05PM ET,boxscore,0,0,3-8-1,0,Los Angeles Rams,7.0,34.0,13.0,198.0,124.0,74.0,1.0,27.0,549.0,417.0,132.0,0.0,-16.98,-18.95,10.38,2019,crd,December,1,2019/December/1,2019-12-01
14,Sun,December 8,4:25PM ET,boxscore,0,0,3-9-1,0,Pittsburgh Steelers,17.0,23.0,17.0,236.0,165.0,71.0,3.0,20.0,275.0,135.0,140.0,2.0,-5.35,-5.34,2.85,2019,crd,December,8,2019/December/8,2019-12-08
15,Sun,December 15,4:05PM ET,boxscore,1,0,4-9-1,0,Cleveland Browns,38.0,24.0,26.0,445.0,219.0,226.0,1.0,25.0,393.0,241.0,152.0,2.0,24.27,-10.72,1.61,2019,crd,December,15,2019/December/15,2019-12-15
16,Sun,December 22,4:25PM ET,boxscore,1,0,5-9-1,1,Seattle Seahawks,27.0,13.0,21.0,412.0,159.0,253.0,0.0,13.0,224.0,133.0,91.0,1.0,10.12,13.87,-6.82,2019,crd,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,0,0,5-10-1,1,Los Angeles Rams,24.0,31.0,22.0,393.0,322.0,71.0,5.0,25.0,424.0,311.0,113.0,0.0,3.53,-16.31,5.85,2019,crd,December,29,2019/December/29,2019-12-29
1,Sun,September 13,4:25PM ET,boxscore,1,0,1-0,1,San Francisco 49ers,24.0,20.0,29.0,404.0,224.0,180.0,1.0,18.0,366.0,243.0,123.0,0.0,6.46,-3.88,-0.46,2020,crd,September,13,2020/September/13,2020-09-13
2,Sun,September 20,4:05PM ET,boxscore,1,0,2-0,0,Washington Football Team,30.0,15.0,22.0,438.0,278.0,160.0,1.0,19.0,316.0,199.0,117.0,2.0,8.92,0.18,6.91,2020,crd,September,20,2020/September/20,2020-09-20
3,Sun,September 27,4:25PM ET,boxscore,0,0,2-1,0,Detroit Lions,23.0,26.0,28.0,377.0,268.0,109.0,3.0,22.0,322.0,232.0,90.0,0.0,8.07,-8.15,-2.46,2020,crd,September,27,2020/September/27,2020-09-27
4,Sun,October 4,1:00PM ET,boxscore,0,0,2-2,1,Carolina Panthers,21.0,31.0,21.0,262.0,133.0,129.0,1.0,30.0,444.0,276.0,168.0,1.0,8.53,-23.36,3.47,2020,crd,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,1,0,3-2,1,New York Jets,30.0,10.0,28.0,496.0,369.0,127.0,1.0,21.0,285.0,162.0,123.0,0.0,17.2,4.27,-3.61,2020,crd,October,11,2020/October/11,2020-10-11
6,Mon,October 19,8:15PM ET,boxscore,1,0,4-2,1,Dallas Cowboys,38.0,10.0,22.0,438.0,177.0,261.0,0.0,27.0,344.0,247.0,97.0,4.0,23.56,3.91,-0.53,2020,crd,October,19,2020/October/19,2020-10-19
7,Sun,October 25,8:20PM ET,boxscore,1,1,5-2,0,Seattle Seahawks,37.0,34.0,31.0,519.0,360.0,159.0,2.0,33.0,572.0,372.0,200.0,3.0,13.97,-11.75,0.78,2020,crd,October,25,2020/October/25,2020-10-25
9,Sun,November 8,4:25PM ET,boxscore,0,0,5-3,0,Miami Dolphins,31.0,34.0,26.0,442.0,264.0,178.0,1.0,24.0,312.0,221.0,91.0,0.0,17.94,-15.28,-6.36,2020,crd,November,8,2020/November/8,2020-11-08
10,Sun,November 15,4:05PM ET,boxscore,1,0,6-3,0,Buffalo Bills,32.0,30.0,26.0,453.0,236.0,217.0,2.0,22.0,369.0,296.0,73.0,2.0,8.17,-3.67,-4.77,2020,crd,November,15,2020/November/15,2020-11-15
11,Thu,November 19,8:20PM ET,boxscore,0,0,6-4,1,Seattle Seahawks,21.0,28.0,24.0,314.0,257.0,57.0,0.0,22.0,347.0,182.0,165.0,0.0,8.96,-16.03,-0.39,2020,crd,November,19,2020/November/19,2020-11-19
12,Sun,November 29,1:00PM ET,boxscore,0,0,6-5,1,New England Patriots,17.0,20.0,23.0,298.0,160.0,138.0,1.0,16.0,179.0,69.0,110.0,2.0,0.0,4.68,-9.06,2020,crd,November,29,2020/November/29,2020-11-29
13,Sun,December 6,4:05PM ET,boxscore,0,0,6-6,0,Los Angeles Rams,28.0,38.0,18.0,232.0,140.0,92.0,2.0,30.0,463.0,344.0,119.0,1.0,-0.6,-18.92,6.43,2020,crd,December,6,2020/December/6,2020-12-06
14,Sun,December 13,1:00PM ET,boxscore,1,0,7-6,1,New York Giants,26.0,7.0,22.0,390.0,231.0,159.0,0.0,10.0,159.0,81.0,78.0,3.0,1.35,18.89,1.81,2020,crd,December,13,2020/December/13,2020-12-13
15,Sun,December 20,4:05PM ET,boxscore,1,0,8-6,0,Philadelphia Eagles,33.0,26.0,26.0,526.0,423.0,103.0,3.0,26.0,422.0,305.0,117.0,0.0,4.72,-10.01,12.58,2020,crd,December,20,2020/December/20,2020-12-20
16,Sat,December 26,4:30PM ET,boxscore,0,0,8-7,0,San Francisco 49ers,12.0,20.0,20.0,350.0,230.0,120.0,2.0,22.0,398.0,171.0,227.0,1.0,-10.15,-9.69,10.68,2020,crd,December,26,2020/December/26,2020-12-26
17,Sun,January 3,4:25PM ET,boxscore,0,0,8-8,1,Los Angeles Rams,7.0,18.0,15.0,214.0,166.0,48.0,1.0,21.0,333.0,223.0,110.0,2.0,-13.48,6.77,-2.44,2020,crd,January,3,2020/January/3,2020-01-03
1,Sun,September 12,1:00PM ET,boxscore,1,0,1-0,1,Tennessee Titans,38.0,13.0,22.0,416.0,280.0,136.0,1.0,17.0,248.0,162.0,86.0,3.0,8.83,14.48,1.57,2021,crd,September,12,2021/September/12,2021-09-12
2,Sun,September 19,4:05PM ET,boxscore,1,0,2-0,0,Minnesota Vikings,34.0,33.0,21.0,474.0,371.0,103.0,2.0,22.0,419.0,242.0,177.0,0.0,11.99,-12.56,0.9,2021,crd,September,19,2021/September/19,2021-09-19
3,Sun,September 26,1:00PM ET,boxscore,1,0,3-0,1,Jacksonville Jaguars,31.0,19.0,23.0,407.0,316.0,91.0,1.0,20.0,361.0,202.0,159.0,4.0,13.26,7.87,-9.13,2021,crd,September,26,2021/September/26,2021-09-26
4,Sun,October 3,4:05PM ET,boxscore,1,0,4-0,1,Los Angeles Rams,37.0,20.0,27.0,465.0,249.0,216.0,0.0,24.0,401.0,280.0,121.0,2.0,21.72,-8.94,2.64,2021,crd,October,3,2021/October/3,2021-10-03
5,Sun,October 10,4:25PM ET,boxscore,1,0,5-0,0,San Francisco 49ers,17.0,10.0,20.0,304.0,210.0,94.0,1.0,19.0,338.0,186.0,152.0,1.0,1.74,6.53,0.47,2021,crd,October,10,2021/October/10,2021-10-10
6,Sun,October 17,4:05PM ET,boxscore,1,0,6-0,1,Cleveland Browns,37.0,14.0,24.0,352.0,208.0,144.0,0.0,16.0,290.0,217.0,73.0,3.0,16.91,10.01,-1.93,2021,crd,October,17,2021/October/17,2021-10-17
7,Sun,October 24,4:25PM ET,boxscore,1,0,7-0,0,Houston Texans,31.0,5.0,24.0,397.0,225.0,172.0,1.0,8.0,160.0,118.0,42.0,1.0,13.37,23.71,-10.47,2021,crd,October,24,2021/October/24,2021-10-24
8,Thu,October 28,8:20PM ET,boxscore,0,0,7-1,0,Green Bay Packers,21.0,24.0,22.0,334.0,260.0,74.0,3.0,24.0,335.0,184.0,151.0,0.0,9.86,-7.88,-6.65,2021,crd,October,28,2021/October/28,2021-10-28
9,Sun,November 7,4:25PM ET,boxscore,1,0,8-1,1,San Francisco 49ers,31.0,17.0,22.0,437.0,274.0,163.0,0.0,22.0,337.0,298.0,39.0,3.0,17.45,-2.1,-2.39,2021,crd,November,7,2021/November/7,2021-11-07
10,Sun,November 14,4:05PM ET,boxscore,0,0,8-2,0,Carolina Panthers,10.0,34.0,11.0,169.0,104.0,65.0,2.0,24.0,341.0,175.0,166.0,2.0,-19.35,-2.27,-1.02,2021,crd,November,14,2021/November/14,2021-11-14
