Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
9,Sun,November 3,1:00PM ET,boxscore,1,0,4-4,0,Indianapolis Colts,26.0,24.0,17.0,273.0,183.0,90.0,2.0,22.0,328.0,189.0,139.0,3.0,-3.46,0.41,5.69,2019,pit,November,3,2019/November/3,2019-11-03
10,Sun,November 10,4:25PM ET,boxscore,1,0,5-4,0,Los Angeles Rams,17.0,12.0,15.0,273.0,231.0,42.0,2.0,16.0,306.0,218.0,88.0,4.0,-17.68,27.02,-4.1,2019,pit,November,10,2019/November/10,2019-11-10
11,Thu,November 14,8:20PM ET,boxscore,0,0,5-5,1,Cleveland Browns,7.0,21.0,18.0,236.0,178.0,58.0,4.0,17.0,293.0,189.0,104.0,0.0,-24.63,1.33,6.48,2019,pit,November,14,2019/November/14,2019-11-14
12,Sun,November 24,1:00PM ET,boxscore,1,0,6-5,1,Cincinnati Bengals,16.0,10.0,16.0,338.0,179.0,159.0,1.0,11.0,244.0,158.0,86.0,2.0,-4.31,15.56,-2.52,2019,pit,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,1,0,7-5,0,Cleveland Browns,20.0,13.0,18.0,323.0,199.0,124.0,1.0,19.0,279.0,173.0,106.0,2.0,2.57,2.6,1.39,2019,pit,December,1,2019/December/1,2019-12-01
14,Sun,December 8,4:25PM ET,boxscore,1,0,8-5,1,Arizona Cardinals,23.0,17.0,20.0,275.0,135.0,140.0,2.0,17.0,236.0,165.0,71.0,3.0,5.34,5.35,-2.85,2019,pit,December,8,2019/December/8,2019-12-08
15,Sun,December 15,8:20PM ET,boxscore,0,0,8-6,0,Buffalo Bills,10.0,17.0,15.0,229.0,178.0,51.0,5.0,17.0,261.0,131.0,130.0,2.0,-17.22,6.56,3.78,2019,pit,December,15,2019/December/15,2019-12-15
16,Sun,December 22,1:00PM ET,boxscore,0,0,8-7,1,New York Jets,10.0,16.0,16.0,260.0,185.0,75.0,2.0,14.0,259.0,174.0,85.0,1.0,-11.79,8.44,-5.1,2019,pit,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,0,0,8-8,1,Baltimore Ravens,10.0,28.0,10.0,168.0,77.0,91.0,2.0,19.0,304.0,81.0,223.0,2.0,-11.07,4.16,-8.63,2019,pit,December,29,2019/December/29,2019-12-29
1,Mon,September 14,7:15PM ET,boxscore,1,0,1-0,1,New York Giants,26.0,16.0,19.0,349.0,208.0,141.0,1.0,20.0,291.0,262.0,29.0,2.0,13.2,6.06,-5.36,2020,pit,September,14,2020/September/14,2020-09-14
2,Sun,September 20,1:00PM ET,boxscore,1,0,2-0,0,Denver Broncos,26.0,21.0,19.0,410.0,301.0,109.0,2.0,23.0,319.0,215.0,104.0,2.0,-0.36,6.02,3.9,2020,pit,September,20,2020/September/20,2020-09-20
