Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 8,1:00PM ET,boxscore,1,0,1-0,1,Cleveland Browns,43.0,13.0,21.0,339.0,216.0,123.0,0.0,19.0,346.0,244.0,102.0,3.0,11.1,19.89,1.22,2019,oti,September,8,2019/September/8,2019-09-08
2,Sun,September 15,1:00PM ET,boxscore,0,0,1-1,0,Indianapolis Colts,17.0,19.0,18.0,243.0,119.0,124.0,0.0,21.0,288.0,121.0,167.0,2.0,-3.74,-5.07,3.24,2019,oti,September,15,2019/September/15,2019-09-15
3,Thu,September 19,8:20PM ET,boxscore,0,0,1-2,1,Jacksonville Jaguars,7.0,20.0,21.0,340.0,249.0,91.0,1.0,12.0,292.0,204.0,88.0,0.0,-6.44,1.2,-5.28,2019,oti,September,19,2019/September/19,2019-09-19
4,Sun,September 29,1:00PM ET,boxscore,1,0,2-2,1,Atlanta Falcons,24.0,10.0,22.0,365.0,227.0,138.0,0.0,24.0,422.0,364.0,58.0,1.0,10.78,-1.83,3.8,2019,oti,September,29,2019/September/29,2019-09-29
5,Sun,October 6,1:00PM ET,boxscore,0,0,2-3,0,Buffalo Bills,7.0,14.0,14.0,252.0,150.0,102.0,0.0,18.0,313.0,204.0,109.0,1.0,-3.6,1.16,-8.64,2019,oti,October,6,2019/October/6,2019-10-06
6,Sun,October 13,4:25PM ET,boxscore,0,0,2-4,1,Denver Broncos,0.0,16.0,12.0,204.0,165.0,39.0,3.0,11.0,270.0,167.0,103.0,1.0,-25.18,10.82,-1.34,2019,oti,October,13,2019/October/13,2019-10-13
7,Sun,October 20,4:05PM ET,boxscore,1,0,3-4,0,Los Angeles Chargers,23.0,20.0,22.0,403.0,306.0,97.0,1.0,24.0,365.0,326.0,39.0,1.0,10.83,-8.93,0.57,2019,oti,October,20,2019/October/20,2019-10-20
8,Sun,October 27,1:00PM ET,boxscore,1,0,4-4,0,Tampa Bay Buccaneers,27.0,23.0,16.0,246.0,174.0,72.0,1.0,23.0,389.0,283.0,106.0,4.0,-2.72,6.92,1.66,2019,oti,October,27,2019/October/27,2019-10-27
9,Sun,November 3,1:00PM ET,boxscore,0,0,4-5,1,Carolina Panthers,20.0,30.0,24.0,431.0,310.0,121.0,3.0,22.0,370.0,214.0,156.0,1.0,5.05,-9.15,-4.67,2019,oti,November,3,2019/November/3,2019-11-03
10,Sun,November 10,1:00PM ET,boxscore,1,0,5-5,0,Kansas City Chiefs,35.0,32.0,19.0,371.0,146.0,225.0,1.0,28.0,530.0,433.0,97.0,1.0,11.07,-13.98,3.81,2019,oti,November,10,2019/November/10,2019-11-10
12,Sun,November 24,4:05PM ET,boxscore,1,0,6-5,0,Jacksonville Jaguars,42.0,20.0,21.0,471.0,252.0,219.0,2.0,23.0,369.0,252.0,117.0,1.0,20.75,-1.2,2.59,2019,oti,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,1,0,7-5,1,Indianapolis Colts,31.0,17.0,15.0,292.0,138.0,154.0,2.0,22.0,391.0,309.0,82.0,3.0,-1.94,1.63,12.84,2019,oti,December,1,2019/December/1,2019-12-01
14,Sun,December 8,4:25PM ET,boxscore,1,0,8-5,1,Oakland Raiders,42.0,21.0,26.0,552.0,391.0,161.0,1.0,22.0,355.0,258.0,97.0,1.0,29.61,-2.19,-5.43,2019,oti,December,8,2019/December/8,2019-12-08
