Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
3,Mon,8:15PM ET,1,0,2-1,1,Washington Redskins,31.0,15.0,21.0,298.0,208.0,90.0,1.0,25.0,356.0,287.0,69.0,5.0,9.23,11.86,-3.52,2019,chi,September,23,2019-09-23
4,Sun,4:25PM ET,1,0,3-1,0,Minnesota Vikings,16.0,6.0,17.0,269.0,197.0,72.0,0.0,15.0,222.0,182.0,40.0,2.0,-2.85,10.79,1.53,2019,chi,September,29,2019-09-29
5,Sun,1:00PM ET,0,0,3-2,1,Oakland Raiders,21.0,24.0,15.0,236.0,194.0,42.0,2.0,25.0,398.0,229.0,169.0,2.0,-3.03,-2.24,-0.43,2019,chi,October,6,2019-10-06
7,Sun,4:25PM ET,0,0,3-3,0,New Orleans Saints,25.0,36.0,16.0,252.0,235.0,17.0,2.0,24.0,424.0,273.0,151.0,0.0,-12.36,-13.46,10.99,2019,chi,October,20,2019-10-20
8,Sun,1:00PM ET,0,0,3-4,0,Los Angeles Chargers,16.0,17.0,26.0,388.0,226.0,162.0,2.0,11.0,231.0,195.0,36.0,1.0,0.44,5.45,-6.02,2019,chi,October,27,2019-10-27
9,Sun,1:00PM ET,0,0,3-5,1,Philadelphia Eagles,14.0,22.0,10.0,164.0,102.0,62.0,1.0,26.0,373.0,227.0,146.0,0.0,-4.78,-10.73,2.82,2019,chi,November,3,2019-11-03
10,Sun,1:00PM ET,1,0,4-5,0,Detroit Lions,20.0,13.0,13.0,226.0,145.0,81.0,0.0,21.0,357.0,259.0,98.0,1.0,-0.41,6.77,-2.1,2019,chi,November,10,2019-11-10
11,Sun,8:20PM ET,0,0,4-6,1,Los Angeles Rams,7.0,17.0,17.0,267.0,193.0,74.0,1.0,13.0,283.0,173.0,110.0,2.0,-13.17,5.69,-5.08,2019,chi,November,17,2019-11-17
12,Sun,1:00PM ET,1,0,5-6,0,New York Giants,19.0,14.0,20.0,335.0,270.0,65.0,2.0,14.0,243.0,134.0,109.0,1.0,-7.02,12.48,-2.01,2019,chi,November,24,2019-11-24
13,Thu,12:30PM ET,1,0,6-6,1,Detroit Lions,24.0,20.0,22.0,419.0,331.0,88.0,1.0,19.0,364.0,259.0,105.0,1.0,8.33,-6.28,0.13,2019,chi,November,28,2019-11-28
14,Thu,8:20PM ET,1,0,7-6,0,Dallas Cowboys,31.0,24.0,24.0,382.0,231.0,151.0,2.0,22.0,408.0,326.0,82.0,0.0,10.48,-10.67,8.71,2019,chi,December,5,2019-12-05
15,Sun,1:00PM ET,0,0,7-7,1,Green Bay Packers,13.0,21.0,20.0,415.0,319.0,96.0,3.0,12.0,292.0,192.0,100.0,0.0,-4.89,2.97,-1.24,2019,chi,December,15,2019-12-15
16,Sun,8:20PM ET,0,0,7-8,0,Kansas City Chiefs,3.0,26.0,18.0,234.0,133.0,101.0,0.0,25.0,350.0,244.0,106.0,0.0,-6.38,-14.74,-1.09,2019,chi,December,22,2019-12-22
17,Sun,1:00PM ET,1,0,8-8,1,Minnesota Vikings,21.0,19.0,24.0,337.0,179.0,158.0,1.0,14.0,300.0,126.0,174.0,3.0,1.26,-2.15,-1.08,2019,chi,December,29,2019-12-29
1,Sun,1:00PM ET,1,0,1-0,1,Detroit Lions,27.0,23.0,26.0,363.0,214.0,149.0,0.0,25.0,426.0,288.0,138.0,1.0,10.67,-7.96,0.12,2020,chi,September,13,2020-09-13
2,Sun,1:00PM ET,1,0,2-0,0,New York Giants,17.0,13.0,18.0,304.0,169.0,135.0,2.0,22.0,295.0,220.0,75.0,2.0,3.42,-0.28,-3.92,2020,chi,September,20,2020-09-20
3,Sun,1:00PM ET,1,0,3-0,1,Atlanta Falcons,30.0,26.0,24.0,437.0,307.0,130.0,2.0,22.0,371.0,227.0,144.0,1.0,2.87,-5.82,5.24,2020,chi,September,27,2020-09-27
4,Sun,1:00PM ET,0,0,3-1,0,Indianapolis Colts,11.0,19.0,16.0,269.0,241.0,28.0,1.0,18.0,289.0,186.0,103.0,0.0,-1.13,-2.28,-7.13,2020,chi,October,4,2020-10-04
