Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
9,Thu,October 31,8:20PM ET,boxscore,1,0,8-0,1,Arizona Cardinals,28.0,25.0,21.0,411.0,310.0,101.0,0.0,19.0,357.0,204.0,153.0,0.0,18.45,-13.71,0.88,2019,sfo,October,31,2019/October/31,2019-10-31
10,Mon,November 11,8:15PM ET,boxscore,0,1,8-1,0,Seattle Seahawks,24.0,27.0,21.0,302.0,215.0,87.0,3.0,19.0,336.0,189.0,147.0,4.0,-17.73,17.69,-4.23,2019,sfo,November,11,2019/November/11,2019-11-11
11,Sun,November 17,4:05PM ET,boxscore,1,0,9-1,0,Arizona Cardinals,36.0,26.0,26.0,442.0,408.0,34.0,2.0,21.0,266.0,131.0,135.0,2.0,8.92,-0.09,1.17,2019,sfo,November,17,2019/November/17,2019-11-17
12,Sun,November 24,8:20PM ET,boxscore,1,0,10-1,0,Green Bay Packers,37.0,8.0,16.0,339.0,227.0,112.0,0.0,19.0,198.0,81.0,117.0,1.0,10.66,14.62,0.67,2019,sfo,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,0,0,10-2,1,Baltimore Ravens,17.0,20.0,15.0,331.0,157.0,174.0,1.0,21.0,283.0,105.0,178.0,1.0,6.2,-6.4,-1.2,2019,sfo,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,1,0,11-2,1,New Orleans Saints,48.0,46.0,25.0,516.0,354.0,162.0,1.0,28.0,465.0,349.0,116.0,1.0,27.42,-21.97,-3.51,2019,sfo,December,8,2019/December/8,2019-12-08
15,Sun,December 15,4:25PM ET,boxscore,0,0,11-3,0,Atlanta Falcons,22.0,29.0,20.0,313.0,193.0,120.0,2.0,20.0,290.0,201.0,89.0,1.0,2.84,-7.04,-2.73,2019,sfo,December,15,2019/December/15,2019-12-15
16,Sat,December 21,8:15PM ET,boxscore,1,0,12-3,0,Los Angeles Rams,34.0,31.0,19.0,334.0,215.0,119.0,2.0,24.0,395.0,323.0,72.0,1.0,3.67,-3.16,1.84,2019,sfo,December,21,2019/December/21,2019-12-21
17,Sun,December 29,8:20PM ET,boxscore,1,0,13-3,1,Seattle Seahawks,26.0,21.0,18.0,398.0,270.0,128.0,0.0,27.0,348.0,223.0,125.0,0.0,17.28,-10.85,-3.02,2019,sfo,December,29,2019/December/29,2019-12-29
Division,Sat,January 11,4:35PM ET,boxscore,1,0,14-3,0,Minnesota Vikings,27.0,10.0,21.0,308.0,122.0,186.0,2.0,7.0,147.0,126.0,21.0,2.0,0.66,16.91,-0.78,2019,sfo,January,11,2019/January/11,2019-01-11
