Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
8,Sun,October 27,8:20PM ET,boxscore,1,0,7-1,1,Kansas City Chiefs,31.0,24.0,21.0,374.0,256.0,118.0,0.0,21.0,337.0,249.0,88.0,1.0,17.67,-11.4,-0.68,2019,gnb,October,27,2019/October/27,2019-10-27
9,Sun,November 3,4:25PM ET,boxscore,0,0,7-2,1,Los Angeles Chargers,11.0,26.0,13.0,184.0,139.0,45.0,0.0,24.0,442.0,283.0,159.0,0.0,-5.74,-16.68,6.12,2019,gnb,November,3,2019/November/3,2019-11-03
10,Sun,November 10,4:25PM ET,boxscore,1,0,8-2,0,Carolina Panthers,24.0,16.0,23.0,388.0,225.0,163.0,0.0,26.0,401.0,281.0,120.0,2.0,17.83,-8.55,-0.11,2019,gnb,November,10,2019/November/10,2019-11-10
12,Sun,November 24,8:20PM ET,boxscore,0,0,8-3,1,San Francisco 49ers,8.0,37.0,19.0,198.0,81.0,117.0,1.0,16.0,339.0,227.0,112.0,0.0,-14.62,-10.66,-0.67,2019,gnb,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,1,0,9-3,1,New York Giants,31.0,13.0,19.0,322.0,243.0,79.0,0.0,20.0,335.0,240.0,95.0,3.0,15.72,-0.75,0.67,2019,gnb,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,1,0,10-3,0,Washington Redskins,20.0,15.0,18.0,341.0,167.0,174.0,1.0,18.0,262.0,141.0,121.0,1.0,5.07,1.04,0.91,2019,gnb,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,1,0,11-3,0,Chicago Bears,21.0,13.0,12.0,292.0,192.0,100.0,0.0,20.0,415.0,319.0,96.0,3.0,-2.97,4.89,1.24,2019,gnb,December,15,2019/December/15,2019-12-15
16,Mon,December 23,8:15PM ET,boxscore,1,0,12-3,1,Minnesota Vikings,23.0,10.0,22.0,383.0,199.0,184.0,3.0,7.0,139.0,82.0,57.0,1.0,-5.18,25.86,-6.94,2019,gnb,December,23,2019/December/23,2019-12-23
17,Sun,December 29,1:00PM ET,boxscore,1,0,13-3,1,Detroit Lions,23.0,20.0,25.0,432.0,312.0,120.0,1.0,17.0,305.0,134.0,171.0,1.0,8.54,-1.53,-4.01,2019,gnb,December,29,2019/December/29,2019-12-29
Division,Sun,January 12,6:40PM ET,boxscore,1,0,14-3,0,Seattle Seahawks,28.0,23.0,22.0,344.0,235.0,109.0,0.0,23.0,375.0,265.0,110.0,0.0,18.63,-15.53,1.8,2019,gnb,January,12,2019/January/12,2019-01-12
