Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
8,Thu,October 24,8:20PM ET,boxscore,0,0,1-7,1,Minnesota Vikings,9.0,19.0,14.0,216.0,131.0,85.0,2.0,22.0,434.0,273.0,161.0,1.0,-5.06,-6.29,2.48,2019,was,October,24,2019/October/24,2019-10-24
9,Sun,November 3,1:00PM ET,boxscore,0,0,1-8,1,Buffalo Bills,9.0,24.0,12.0,243.0,116.0,127.0,0.0,18.0,268.0,146.0,122.0,0.0,-6.04,-5.68,-4.24,2019,was,November,3,2019/November/3,2019-11-03
11,Sun,November 17,1:00PM ET,boxscore,0,0,1-9,0,New York Jets,17.0,34.0,13.0,225.0,171.0,54.0,1.0,23.0,400.0,285.0,115.0,2.0,-18.32,-10.08,9.2,2019,was,November,17,2019/November/17,2019-11-17
12,Sun,November 24,1:00PM ET,boxscore,1,0,2-9,0,Detroit Lions,19.0,16.0,13.0,230.0,144.0,86.0,2.0,21.0,364.0,189.0,175.0,4.0,-13.57,8.85,10.88,2019,was,November,24,2019/November/24,2019-11-24
13,Sun,December 1,1:00PM ET,boxscore,1,0,3-9,1,Carolina Panthers,29.0,21.0,20.0,362.0,114.0,248.0,0.0,22.0,278.0,213.0,65.0,2.0,2.59,4.35,0.75,2019,was,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,0,0,3-10,1,Green Bay Packers,15.0,20.0,18.0,262.0,141.0,121.0,1.0,18.0,341.0,167.0,174.0,1.0,-1.04,-5.07,-0.91,2019,was,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,0,0,3-11,0,Philadelphia Eagles,27.0,37.0,19.0,352.0,251.0,101.0,1.0,27.0,415.0,258.0,157.0,1.0,5.52,-19.99,3.89,2019,was,December,15,2019/December/15,2019-12-15
16,Sun,December 22,1:00PM ET,boxscore,0,1,3-12,0,New York Giants,35.0,41.0,25.0,361.0,281.0,80.0,0.0,28.0,552.0,346.0,206.0,0.0,18.07,-32.47,7.97,2019,was,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,0,0,3-13,1,Dallas Cowboys,16.0,47.0,13.0,271.0,183.0,88.0,2.0,22.0,517.0,294.0,223.0,1.0,-18.31,-17.75,5.03,2019,was,December,29,2019/December/29,2019-12-29
1,Sun,September 13,1:00PM ET,boxscore,1,0,1-0,0,Philadelphia Eagles,27.0,17.0,18.0,239.0,159.0,80.0,0.0,19.0,265.0,208.0,57.0,3.0,-6.28,16.45,-1.28,2020,was,September,13,2020/September/13,2020-09-13
2,Sun,September 20,4:05PM ET,boxscore,0,0,1-1,1,Arizona Cardinals,15.0,30.0,19.0,316.0,199.0,117.0,2.0,22.0,438.0,278.0,160.0,1.0,-0.18,-8.92,-6.91,2020,was,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,0,0,1-2,1,Cleveland Browns,20.0,34.0,19.0,309.0,206.0,103.0,5.0,19.0,300.0,142.0,158.0,0.0,-4.68,-8.28,-1.14,2020,was,September,27,2020/September/27,2020-09-27
4,Sun,October 4,1:00PM ET,boxscore,0,0,1-3,0,Baltimore Ravens,17.0,31.0,24.0,343.0,274.0,69.0,1.0,18.0,350.0,206.0,144.0,2.0,2.58,-8.74,-9.39,2020,was,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,0,0,1-4,0,Los Angeles Rams,10.0,30.0,10.0,108.0,70.0,38.0,0.0,20.0,429.0,300.0,129.0,1.0,-15.55,-12.32,9.05,2020,was,October,11,2020/October/11,2020-10-11
6,Sun,October 18,1:00PM ET,boxscore,0,0,1-5,1,New York Giants,19.0,20.0,24.0,337.0,251.0,86.0,2.0,16.0,240.0,108.0,132.0,1.0,1.78,-4.14,-2.48,2020,was,October,18,2020/October/18,2020-10-18
7,Sun,October 25,1:00PM ET,boxscore,1,0,2-5,0,Dallas Cowboys,25.0,3.0,21.0,397.0,189.0,208.0,0.0,12.0,142.0,59.0,83.0,1.0,15.64,14.88,-10.05,2020,was,October,25,2020/October/25,2020-10-25
9,Sun,November 8,1:00PM ET,boxscore,0,0,2-6,0,New York Giants,20.0,23.0,19.0,402.0,365.0,37.0,5.0,22.0,350.0,184.0,166.0,0.0,2.73,-1.55,-4.12,2020,was,November,8,2020/November/8,2020-11-08
10,Sun,November 15,1:00PM ET,boxscore,0,0,2-7,1,Detroit Lions,27.0,30.0,34.0,464.0,375.0,89.0,1.0,21.0,372.0,267.0,105.0,0.0,19.77,-15.43,-6.95,2020,was,November,15,2020/November/15,2020-11-15
11,Sun,November 22,1:00PM ET,boxscore,1,0,3-7,0,Cincinnati Bengals,20.0,9.0,20.0,325.0,161.0,164.0,1.0,18.0,272.0,202.0,70.0,2.0,-0.93,11.45,-0.86,2020,was,November,22,2020/November/22,2020-11-22
12,Thu,November 26,4:30PM ET,boxscore,1,0,4-7,1,Dallas Cowboys,41.0,16.0,22.0,338.0,156.0,182.0,1.0,13.0,247.0,187.0,60.0,2.0,8.38,17.92,1.4,2020,was,November,26,2020/November/26,2020-11-26
13,Mon,December 7,5:00PM ET,boxscore,1,0,5-7,1,Pittsburgh Steelers,23.0,17.0,18.0,318.0,273.0,45.0,0.0,17.0,326.0,305.0,21.0,1.0,-7.02,5.7,3.99,2020,was,December,7,2020/December/7,2020-12-07
14,Sun,December 13,4:25PM ET,boxscore,1,0,6-7,1,San Francisco 49ers,23.0,15.0,12.0,193.0,95.0,98.0,1.0,21.0,344.0,236.0,108.0,3.0,-19.42,25.61,0.12,2020,was,December,13,2020/December/13,2020-12-13
15,Sun,December 20,1:00PM ET,boxscore,0,0,6-8,0,Seattle Seahawks,15.0,20.0,26.0,353.0,269.0,84.0,2.0,16.0,302.0,121.0,181.0,1.0,1.41,-3.17,-4.4,2020,was,December,20,2020/December/20,2020-12-20
16,Sun,December 27,4:05PM ET,boxscore,0,0,6-9,0,Carolina Panthers,13.0,20.0,20.0,386.0,278.0,108.0,4.0,19.0,280.0,167.0,113.0,2.0,-5.49,5.85,-7.24,2020,was,December,27,2020/December/27,2020-12-27
17,Sun,January 3,8:20PM ET,boxscore,1,0,7-9,1,Philadelphia Eagles,20.0,14.0,16.0,248.0,145.0,103.0,2.0,16.0,216.0,98.0,118.0,3.0,-8.33,11.71,3.56,2020,was,January,3,2020/January/3,2020-01-03
Wild Card,Sat,January 9,8:15PM ET,boxscore,0,0,7-10,0,Tampa Bay Buccaneers,23.0,31.0,23.0,375.0,289.0,86.0,1.0,26.0,507.0,365.0,142.0,1.0,5.16,-14.51,1.49,2020,was,January,9,2020/January/9,2020-01-09
1,Sun,September 12,1:00PM ET,boxscore,0,0,0-1,0,Los Angeles Chargers,16.0,20.0,15.0,259.0,133.0,126.0,1.0,27.0,424.0,334.0,90.0,2.0,1.45,-9.45,1.24,2021,was,September,12,2021/September/12,2021-09-12
2,Thu,September 16,8:20PM ET,boxscore,1,0,1-1,0,New York Giants,30.0,29.0,25.0,407.0,320.0,87.0,1.0,21.0,391.0,228.0,163.0,0.0,12.19,-10.45,-0.6,2021,was,September,16,2021/September/16,2021-09-16
3,Sun,September 26,1:00PM ET,boxscore,0,0,1-2,1,Buffalo Bills,21.0,43.0,13.0,290.0,212.0,78.0,3.0,29.0,481.0,359.0,122.0,0.0,-8.27,-20.55,7.29,2021,was,September,26,2021/September/26,2021-09-26
4,Sun,October 3,1:00PM ET,boxscore,1,0,2-2,1,Atlanta Falcons,34.0,30.0,26.0,412.0,290.0,122.0,0.0,24.0,374.0,275.0,99.0,0.0,18.15,-19.36,3.26,2021,was,October,3,2021/October/3,2021-10-03
5,Sun,October 10,1:00PM ET,boxscore,0,0,2-3,0,New Orleans Saints,22.0,33.0,26.0,373.0,242.0,131.0,2.0,18.0,369.0,271.0,98.0,2.0,-7.31,-8.56,3.41,2021,was,October,10,2021/October/10,2021-10-10
6,Sun,October 17,1:00PM ET,boxscore,0,0,2-4,0,Kansas City Chiefs,13.0,31.0,15.0,276.0,182.0,94.0,2.0,29.0,499.0,390.0,109.0,3.0,-5.66,-9.15,-1.44,2021,was,October,17,2021/October/17,2021-10-17
7,Sun,October 24,1:00PM ET,boxscore,0,0,2-5,1,Green Bay Packers,10.0,24.0,25.0,430.0,235.0,195.0,2.0,19.0,304.0,247.0,57.0,1.0,-0.39,-8.64,-3.31,2021,was,October,24,2021/October/24,2021-10-24
8,Sun,October 31,4:25PM ET,boxscore,0,0,2-6,1,Denver Broncos,10.0,17.0,21.0,342.0,230.0,112.0,2.0,17.0,273.0,190.0,83.0,1.0,1.75,-5.1,-2.71,2021,was,October,31,2021/October/31,2021-10-31
10,Sun,November 14,1:00PM ET,boxscore,1,0,3-6,0,Tampa Bay Buccaneers,29.0,19.0,23.0,320.0,226.0,94.0,1.0,14.0,273.0,220.0,53.0,2.0,10.01,-3.21,0.67,2021,was,November,14,2021/November/14,2021-11-14
