Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
16,Sun,4:25PM ET,0,0,8-6-1,1,New Orleans Saints,28.0,31.0,26.0,429.0,364.0,65.0,2.0,24.0,370.0,313.0,57.0,1.0,14.44,-18.48,0.77,2018,0.5333333333333333,pit,2018-12-23
17,Sun,4:25PM ET,1,0,9-6-1,0,Cincinnati Bengals,16.0,13.0,18.0,343.0,278.0,65.0,1.0,9.0,196.0,71.0,125.0,0.0,-6.63,10.88,0.17,2018,0.5625,pit,2018-12-30
1,Sun,8:20PM ET,0,0,0-1,1,New England Patriots,3.0,33.0,15.0,308.0,276.0,32.0,1.0,24.0,465.0,366.0,99.0,0.0,-9.5,-18.24,0.8,2019,0.0,pit,2019-09-08
2,Sun,1:00PM ET,0,0,0-2,0,Seattle Seahawks,26.0,28.0,17.0,261.0,180.0,81.0,1.0,25.0,425.0,274.0,151.0,2.0,0.23,-5.07,-1.28,2019,0.0,pit,2019-09-15
3,Sun,4:25PM ET,0,0,0-3,1,San Francisco 49ers,20.0,24.0,11.0,239.0,160.0,79.0,2.0,26.0,436.0,268.0,168.0,5.0,-10.2,3.72,-0.12,2019,0.0,pit,2019-09-22
4,Mon,8:15PM ET,1,0,1-3,0,Cincinnati Bengals,27.0,3.0,20.0,326.0,260.0,66.0,1.0,16.0,175.0,102.0,73.0,2.0,6.93,16.54,-0.04,2019,0.25,pit,2019-09-30
5,Sun,1:00PM ET,0,1,1-4,0,Baltimore Ravens,23.0,26.0,18.0,269.0,192.0,77.0,2.0,22.0,277.0,139.0,138.0,3.0,-1.8,4.12,-5.32,2019,0.2,pit,2019-10-06
6,Sun,8:20PM ET,1,0,2-4,1,Los Angeles Chargers,24.0,17.0,18.0,256.0,132.0,124.0,1.0,23.0,348.0,316.0,32.0,3.0,5.45,2.12,4.54,2019,0.3333333333333333,pit,2019-10-13
8,Mon,8:15PM ET,1,0,3-4,0,Miami Dolphins,27.0,14.0,21.0,394.0,236.0,158.0,1.0,16.0,230.0,170.0,60.0,4.0,5.58,12.16,-3.84,2019,0.42857142857142855,pit,2019-10-28
9,Sun,1:00PM ET,1,0,4-4,0,Indianapolis Colts,26.0,24.0,17.0,273.0,183.0,90.0,2.0,22.0,328.0,189.0,139.0,3.0,-3.46,0.41,5.69,2019,0.5,pit,2019-11-03
10,Sun,4:25PM ET,1,0,5-4,0,Los Angeles Rams,17.0,12.0,15.0,273.0,231.0,42.0,2.0,16.0,306.0,218.0,88.0,4.0,-17.68,27.02,-4.1,2019,0.5555555555555556,pit,2019-11-10
11,Thu,8:20PM ET,0,0,5-5,1,Cleveland Browns,7.0,21.0,18.0,236.0,178.0,58.0,4.0,17.0,293.0,189.0,104.0,0.0,-24.63,1.33,6.48,2019,0.5,pit,2019-11-14
12,Sun,1:00PM ET,1,0,6-5,1,Cincinnati Bengals,16.0,10.0,16.0,338.0,179.0,159.0,1.0,11.0,244.0,158.0,86.0,2.0,-4.31,15.56,-2.52,2019,0.5454545454545454,pit,2019-11-24
13,Sun,1:00PM ET,1,0,7-5,0,Cleveland Browns,20.0,13.0,18.0,323.0,199.0,124.0,1.0,19.0,279.0,173.0,106.0,2.0,2.57,2.6,1.39,2019,0.5833333333333334,pit,2019-12-01
14,Sun,4:25PM ET,1,0,8-5,1,Arizona Cardinals,23.0,17.0,20.0,275.0,135.0,140.0,2.0,17.0,236.0,165.0,71.0,3.0,5.34,5.35,-2.85,2019,0.6153846153846154,pit,2019-12-08
15,Sun,8:20PM ET,0,0,8-6,0,Buffalo Bills,10.0,17.0,15.0,229.0,178.0,51.0,5.0,17.0,261.0,131.0,130.0,2.0,-17.22,6.56,3.78,2019,0.5714285714285714,pit,2019-12-15
16,Sun,1:00PM ET,0,0,8-7,1,New York Jets,10.0,16.0,16.0,260.0,185.0,75.0,2.0,14.0,259.0,174.0,85.0,1.0,-11.79,8.44,-5.1,2019,0.5333333333333333,pit,2019-12-22
17,Sun,4:25PM ET,0,0,8-8,1,Baltimore Ravens,10.0,28.0,10.0,168.0,77.0,91.0,2.0,19.0,304.0,81.0,223.0,2.0,-11.07,4.16,-8.63,2019,0.5,pit,2019-12-29
1,Mon,7:15PM ET,1,0,1-0,1,New York Giants,26.0,16.0,19.0,349.0,208.0,141.0,1.0,20.0,291.0,262.0,29.0,2.0,13.2,6.06,-5.36,2020,1.0,pit,2020-09-14
2,Sun,1:00PM ET,1,0,2-0,0,Denver Broncos,26.0,21.0,19.0,410.0,301.0,109.0,2.0,23.0,319.0,215.0,104.0,2.0,-0.36,6.02,3.9,2020,1.0,pit,2020-09-20
3,Sun,1:00PM ET,1,0,3-0,0,Houston Texans,28.0,21.0,25.0,387.0,218.0,169.0,0.0,13.0,260.0,231.0,29.0,1.0,15.39,-4.41,-2.08,2020,1.0,pit,2020-09-27
