Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
11,Sun,1:00PM ET,1,0,8-2,1,Tampa Bay Buccaneers,34.0,17.0,21.0,328.0,219.0,109.0,0.0,21.0,334.0,298.0,36.0,4.0,12.23,1.16,-0.13,2019,nor,November,17,2019-11-17
12,Sun,1:00PM ET,1,0,9-2,0,Carolina Panthers,34.0,31.0,23.0,418.0,300.0,118.0,1.0,26.0,351.0,230.0,121.0,1.0,15.06,-16.55,5.89,2019,nor,November,24,2019-11-24
13,Thu,8:20PM ET,1,0,10-2,1,Atlanta Falcons,26.0,18.0,14.0,279.0,184.0,95.0,0.0,27.0,348.0,259.0,89.0,3.0,1.68,5.43,4.87,2019,nor,November,28,2019-11-28
14,Sun,1:00PM ET,0,0,10-3,0,San Francisco 49ers,46.0,48.0,28.0,465.0,349.0,116.0,1.0,25.0,516.0,354.0,162.0,1.0,21.97,-27.42,3.51,2019,nor,December,8,2019-12-08
15,Mon,8:15PM ET,1,0,11-3,0,Indianapolis Colts,34.0,7.0,27.0,424.0,307.0,117.0,0.0,16.0,205.0,159.0,46.0,0.0,23.61,2.27,0.53,2019,nor,December,16,2019-12-16
16,Sun,1:00PM ET,1,0,12-3,1,Tennessee Titans,38.0,28.0,23.0,377.0,275.0,102.0,0.0,17.0,397.0,248.0,149.0,1.0,13.33,-4.25,2.33,2019,nor,December,22,2019-12-22
17,Sun,1:00PM ET,1,0,13-3,1,Carolina Panthers,42.0,10.0,25.0,379.0,264.0,115.0,0.0,16.0,329.0,288.0,41.0,3.0,17.52,14.97,-2.88,2019,nor,December,29,2019-12-29
Wild Card,Sun,1:05PM ET,0,1,13-4,0,Minnesota Vikings,20.0,26.0,19.0,324.0,227.0,97.0,2.0,22.0,362.0,226.0,136.0,1.0,1.72,-3.22,-3.43,2019,nor,January,5,2019-01-05
1,Sun,4:25PM ET,1,0,1-0,0,Tampa Bay Buccaneers,34.0,23.0,18.0,271.0,189.0,82.0,0.0,23.0,310.0,224.0,86.0,3.0,1.98,-0.48,11.57,2020,nor,September,13,2020-09-13
2,Mon,8:15PM ET,0,0,1-1,1,Las Vegas Raiders,24.0,34.0,26.0,424.0,312.0,112.0,1.0,28.0,377.0,261.0,116.0,1.0,13.97,-22.48,0.31,2020,nor,September,21,2020-09-21
3,Sun,8:20PM ET,0,0,1-2,0,Green Bay Packers,30.0,37.0,21.0,397.0,275.0,122.0,1.0,24.0,369.0,271.0,98.0,0.0,14.59,-19.67,-5.23,2020,nor,September,27,2020-09-27
4,Sun,1:00PM ET,1,0,2-2,1,Detroit Lions,35.0,29.0,29.0,392.0,228.0,164.0,1.0,18.0,281.0,191.0,90.0,1.0,23.24,-11.85,-5.65,2020,nor,October,4,2020-10-04
5,Mon,8:15PM ET,1,1,3-2,0,Los Angeles Chargers,30.0,27.0,23.0,408.0,313.0,95.0,1.0,19.0,350.0,239.0,111.0,0.0,3.09,-6.8,7.44,2020,nor,October,12,2020-10-12
7,Sun,1:00PM ET,1,0,4-2,0,Carolina Panthers,27.0,24.0,26.0,415.0,277.0,138.0,1.0,18.0,283.0,246.0,37.0,0.0,21.29,-17.99,1.07,2020,nor,October,25,2020-10-25
8,Sun,4:25PM ET,1,1,5-2,1,Chicago Bears,26.0,23.0,23.0,394.0,272.0,122.0,0.0,18.0,329.0,233.0,96.0,1.0,6.13,-0.1,-4.3,2020,nor,November,1,2020-11-01
9,Sun,8:20PM ET,1,0,6-2,1,Tampa Bay Buccaneers,38.0,3.0,27.0,420.0,282.0,138.0,2.0,13.0,194.0,186.0,8.0,3.0,13.73,19.57,-0.26,2020,nor,November,8,2020-11-08
10,Sun,4:25PM ET,1,0,7-2,0,San Francisco 49ers,27.0,13.0,17.0,237.0,123.0,114.0,2.0,21.0,281.0,232.0,49.0,4.0,-2.66,8.03,6.47,2020,nor,November,15,2020-11-15
11,Sun,1:00PM ET,1,0,8-2,0,Atlanta Falcons,24.0,9.0,24.0,376.0,210.0,166.0,1.0,14.0,248.0,196.0,52.0,2.0,12.49,4.08,-8.6,2020,nor,November,22,2020-11-22
12,Sun,4:05PM ET,1,0,9-2,1,Denver Broncos,31.0,3.0,19.0,292.0,63.0,229.0,1.0,6.0,112.0,12.0,100.0,3.0,4.99,26.81,-4.76,2020,nor,November,29,2020-11-29
13,Sun,1:00PM ET,1,0,10-2,1,Atlanta Falcons,21.0,16.0,23.0,424.0,217.0,207.0,1.0,21.0,332.0,262.0,70.0,1.0,8.37,0.46,-6.27,2020,nor,December,6,2020-12-06
14,Sun,4:25PM ET,0,0,10-3,1,Philadelphia Eagles,21.0,24.0,20.0,358.0,262.0,96.0,2.0,21.0,413.0,167.0,246.0,1.0,4.23,-6.77,-1.33,2020,nor,December,13,2020-12-13
15,Sun,4:25PM ET,0,0,10-4,0,Kansas City Chiefs,29.0,32.0,15.0,285.0,225.0,60.0,1.0,34.0,411.0,232.0,179.0,1.0,0.3,-12.26,8.71,2020,nor,December,20,2020-12-20
16,Fri,4:30PM ET,1,0,11-4,0,Minnesota Vikings,52.0,33.0,36.0,583.0,319.0,264.0,2.0,25.0,364.0,274.0,90.0,0.0,35.03,-16.7,0.55,2020,nor,December,25,2020-12-25
17,Sun,4:25PM ET,1,0,12-4,1,Carolina Panthers,33.0,7.0,20.0,347.0,191.0,156.0,0.0,17.0,320.0,246.0,74.0,5.0,10.71,14.42,0.09,2020,nor,January,3,2020-01-03
Wild Card,Sun,4:40PM ET,1,0,13-4,0,Chicago Bears,21.0,9.0,27.0,385.0,262.0,123.0,1.0,11.0,239.0,191.0,48.0,0.0,11.98,7.56,-9.21,2020,nor,January,10,2020-01-10
Division,Sun,6:40PM ET,0,0,13-5,0,Tampa Bay Buccaneers,20.0,30.0,20.0,294.0,190.0,104.0,4.0,20.0,316.0,189.0,127.0,0.0,-6.52,-5.85,0.63,2020,nor,January,17,2020-01-17
1,Sun,4:25PM ET,1,0,1-0,0,Green Bay Packers,38.0,3.0,22.0,322.0,151.0,171.0,0.0,14.0,229.0,186.0,43.0,3.0,20.22,14.83,-1.59,2021,nor,September,12,2021-09-12
2,Sun,1:00PM ET,0,0,1-1,1,Carolina Panthers,7.0,26.0,6.0,128.0,80.0,48.0,2.0,28.0,383.0,294.0,89.0,1.0,-21.2,-12.61,12.63,2021,nor,September,19,2021-09-19
3,Sun,1:00PM ET,1,0,2-1,1,New England Patriots,28.0,13.0,19.0,252.0,110.0,142.0,0.0,16.0,300.0,251.0,49.0,3.0,3.67,16.39,-5.4,2021,nor,September,26,2021-09-26
4,Sun,1:00PM ET,0,1,2-2,0,New York Giants,21.0,27.0,21.0,405.0,235.0,170.0,1.0,21.0,485.0,402.0,83.0,1.0,9.0,-15.58,1.58,2021,nor,October,3,2021-10-03
5,Sun,1:00PM ET,1,0,3-2,1,Washington Football Team,33.0,22.0,18.0,369.0,271.0,98.0,2.0,26.0,373.0,242.0,131.0,2.0,8.56,7.31,-3.41,2021,nor,October,10,2021-10-10
7,Mon,8:15PM ET,1,0,4-2,1,Seattle Seahawks,13.0,10.0,21.0,304.0,210.0,94.0,1.0,14.0,219.0,129.0,90.0,0.0,-3.46,6.87,5.19,2021,nor,October,25,2021-10-25
8,Sun,4:25PM ET,1,0,5-2,0,Tampa Bay Buccaneers,36.0,27.0,26.0,361.0,209.0,152.0,0.0,16.0,421.0,350.0,71.0,3.0,12.99,-0.98,1.1,2021,nor,October,31,2021-10-31
9,Sun,1:00PM ET,0,0,5-3,0,Atlanta Falcons,25.0,27.0,26.0,376.0,267.0,109.0,1.0,18.0,366.0,332.0,34.0,0.0,1.35,-7.33,3.25,2021,nor,November,7,2021-11-07
10,Sun,1:00PM ET,0,0,5-4,1,Tennessee Titans,21.0,23.0,22.0,373.0,287.0,86.0,1.0,17.0,264.0,198.0,66.0,0.0,12.34,-1.15,-13.69,2021,nor,November,14,2021-11-14
