Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
8,Sun,October 27,1:00PM ET,boxscore,0,0,2-6,1,Indianapolis Colts,13.0,15.0,21.0,279.0,166.0,113.0,0.0,19.0,318.0,191.0,127.0,1.0,-2.39,-0.95,1.85,2019,den,October,27,2019/October/27,2019-10-27
9,Sun,November 3,4:25PM ET,boxscore,1,0,3-6,0,Cleveland Browns,24.0,19.0,13.0,302.0,175.0,127.0,1.0,21.0,351.0,261.0,90.0,0.0,5.66,-2.24,0.78,2019,den,November,3,2019/November/3,2019-11-03
11,Sun,November 17,1:00PM ET,boxscore,0,0,3-7,1,Minnesota Vikings,23.0,27.0,20.0,394.0,270.0,124.0,1.0,19.0,321.0,284.0,37.0,2.0,4.61,-8.51,2.33,2019,den,November,17,2019/November/17,2019-11-17
12,Sun,November 24,1:00PM ET,boxscore,0,0,3-8,1,Buffalo Bills,3.0,20.0,9.0,134.0,49.0,85.0,1.0,22.0,424.0,180.0,244.0,1.0,-14.64,-8.5,3.59,2019,den,November,24,2019/November/24,2019-11-24
13,Sun,December 1,4:25PM ET,boxscore,1,0,4-8,0,Los Angeles Chargers,23.0,20.0,13.0,218.0,134.0,84.0,1.0,17.0,359.0,244.0,115.0,2.0,-2.73,-1.4,11.44,2019,den,December,1,2019/December/1,2019-12-01
14,Sun,December 8,1:00PM ET,boxscore,1,0,5-8,1,Houston Texans,38.0,24.0,22.0,391.0,301.0,90.0,1.0,26.0,414.0,280.0,134.0,3.0,18.37,-1.1,-3.75,2019,den,December,8,2019/December/8,2019-12-08
15,Sun,December 15,1:00PM ET,boxscore,0,0,5-9,1,Kansas City Chiefs,3.0,23.0,15.0,251.0,199.0,52.0,1.0,27.0,419.0,327.0,92.0,1.0,-9.67,-15.31,4.87,2019,den,December,15,2019/December/15,2019-12-15
16,Sun,December 22,4:05PM ET,boxscore,1,0,6-9,0,Detroit Lions,27.0,17.0,25.0,348.0,198.0,150.0,0.0,13.0,191.0,95.0,96.0,0.0,12.95,4.32,-4.08,2019,den,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,1,0,7-9,0,Oakland Raiders,16.0,15.0,16.0,238.0,168.0,70.0,1.0,18.0,477.0,380.0,97.0,1.0,-8.2,0.3,10.2,2019,den,December,29,2019/December/29,2019-12-29
1,Mon,September 14,10:10PM ET,boxscore,0,0,0-1,0,Tennessee Titans,14.0,16.0,19.0,323.0,216.0,107.0,1.0,26.0,377.0,247.0,130.0,0.0,3.03,-12.3,11.9,2020,den,September,14,2020/September/14,2020-09-14
2,Sun,September 20,1:00PM ET,boxscore,0,0,0-2,1,Pittsburgh Steelers,21.0,26.0,23.0,319.0,215.0,104.0,2.0,19.0,410.0,301.0,109.0,2.0,-6.02,0.36,-3.9,2020,den,September,20,2020/September/20,2020-09-20
3,Sun,September 27,4:25PM ET,boxscore,0,0,0-3,0,Tampa Bay Buccaneers,10.0,28.0,13.0,226.0,184.0,42.0,2.0,17.0,353.0,285.0,68.0,0.0,-10.72,-7.71,-0.99,2020,den,September,27,2020/September/27,2020-09-27
4,Thu,October 1,8:20PM ET,boxscore,1,0,1-3,1,New York Jets,37.0,28.0,21.0,359.0,242.0,117.0,3.0,18.0,321.0,192.0,129.0,0.0,7.81,6.47,-0.72,2020,den,October,1,2020/October/1,2020-10-01
6,Sun,October 18,1:00PM ET,boxscore,1,0,2-3,1,New England Patriots,18.0,12.0,15.0,299.0,164.0,135.0,2.0,14.0,288.0,171.0,117.0,3.0,-6.67,13.3,-1.59,2020,den,October,18,2020/October/18,2020-10-18
7,Sun,October 25,4:25PM ET,boxscore,0,0,2-4,0,Kansas City Chiefs,16.0,43.0,24.0,411.0,234.0,177.0,4.0,17.0,286.0,185.0,101.0,1.0,-15.83,-3.75,-6.31,2020,den,October,25,2020/October/25,2020-10-25
8,Sun,November 1,4:05PM ET,boxscore,1,0,3-4,0,Los Angeles Chargers,31.0,30.0,17.0,351.0,243.0,108.0,1.0,28.0,485.0,275.0,210.0,2.0,8.64,-9.03,1.18,2020,den,November,1,2020/November/1,2020-11-01
9,Sun,November 8,1:00PM ET,boxscore,0,0,3-5,1,Atlanta Falcons,27.0,34.0,23.0,405.0,302.0,103.0,1.0,23.0,363.0,271.0,92.0,1.0,4.44,-14.27,-0.15,2020,den,November,8,2020/November/8,2020-11-08
10,Sun,November 15,4:05PM ET,boxscore,0,0,3-6,1,Las Vegas Raiders,12.0,37.0,20.0,313.0,247.0,66.0,5.0,21.0,357.0,154.0,203.0,0.0,-17.38,-10.76,3.35,2020,den,November,15,2020/November/15,2020-11-15
11,Sun,November 22,4:05PM ET,boxscore,1,0,4-6,0,Miami Dolphins,20.0,13.0,19.0,459.0,270.0,189.0,2.0,17.0,223.0,167.0,56.0,1.0,9.2,6.76,-4.92,2020,den,November,22,2020/November/22,2020-11-22
12,Sun,November 29,4:05PM ET,boxscore,0,0,4-7,0,New Orleans Saints,3.0,31.0,6.0,112.0,12.0,100.0,3.0,19.0,292.0,63.0,229.0,1.0,-26.81,-4.99,4.76,2020,den,November,29,2020/November/29,2020-11-29
13,Sun,December 6,8:20PM ET,boxscore,0,0,4-8,1,Kansas City Chiefs,16.0,22.0,19.0,330.0,151.0,179.0,2.0,25.0,447.0,313.0,134.0,0.0,6.11,-14.55,-0.21,2020,den,December,6,2020/December/6,2020-12-06
14,Sun,December 13,1:00PM ET,boxscore,1,0,5-8,1,Carolina Panthers,32.0,27.0,23.0,365.0,269.0,96.0,1.0,22.0,370.0,245.0,125.0,0.0,8.51,-7.47,5.3,2020,den,December,13,2020/December/13,2020-12-13
15,Sat,December 19,4:30PM ET,boxscore,0,0,5-9,0,Buffalo Bills,19.0,48.0,19.0,255.0,115.0,140.0,1.0,29.0,534.0,352.0,182.0,1.0,-3.55,-28.8,0.71,2020,den,December,19,2020/December/19,2020-12-19
16,Sun,December 27,4:05PM ET,boxscore,0,0,5-10,1,Los Angeles Chargers,16.0,19.0,23.0,396.0,263.0,133.0,2.0,16.0,316.0,227.0,89.0,0.0,4.25,-1.63,-4.44,2020,den,December,27,2020/December/27,2020-12-27
17,Sun,January 3,4:25PM ET,boxscore,0,0,5-11,0,Las Vegas Raiders,31.0,32.0,24.0,446.0,324.0,122.0,0.0,22.0,465.0,359.0,106.0,4.0,13.17,-4.45,-8.91,2020,den,January,3,2020/January/3,2020-01-03
1,Sun,September 12,4:25PM ET,boxscore,1,0,1-0,1,New York Giants,27.0,13.0,24.0,420.0,255.0,165.0,1.0,19.0,314.0,254.0,60.0,1.0,20.31,-3.89,-3.35,2021,den,September,12,2021/September/12,2021-09-12
2,Sun,September 19,1:00PM ET,boxscore,1,0,2-0,1,Jacksonville Jaguars,23.0,13.0,22.0,398.0,302.0,96.0,0.0,12.0,189.0,114.0,75.0,2.0,13.99,2.8,2.29,2021,den,September,19,2021/September/19,2021-09-19
3,Sun,September 26,4:05PM ET,boxscore,1,0,3-0,0,New York Jets,26.0,0.0,23.0,343.0,223.0,120.0,1.0,11.0,162.0,119.0,43.0,2.0,4.68,27.58,-1.98,2021,den,September,26,2021/September/26,2021-09-26
4,Sun,October 3,4:25PM ET,boxscore,0,0,3-1,0,Baltimore Ravens,7.0,23.0,15.0,254.0,148.0,106.0,1.0,20.0,406.0,304.0,102.0,0.0,-10.92,-3.9,-1.59,2021,den,October,3,2021/October/3,2021-10-03
5,Sun,October 10,1:00PM ET,boxscore,0,0,3-2,1,Pittsburgh Steelers,19.0,27.0,17.0,374.0,268.0,106.0,1.0,19.0,391.0,244.0,147.0,1.0,5.37,-11.44,-1.98,2021,den,October,10,2021/October/10,2021-10-10
6,Sun,October 17,4:25PM ET,boxscore,0,0,3-3,0,Las Vegas Raiders,24.0,34.0,25.0,421.0,309.0,112.0,4.0,16.0,426.0,340.0,86.0,0.0,2.97,-16.95,1.18,2021,den,October,17,2021/October/17,2021-10-17
7,Thu,October 21,8:20PM ET,boxscore,0,0,3-4,1,Cleveland Browns,14.0,17.0,15.0,223.0,182.0,41.0,1.0,23.0,376.0,194.0,182.0,0.0,4.39,-13.24,1.9,2021,den,October,21,2021/October/21,2021-10-21
8,Sun,October 31,4:25PM ET,boxscore,1,0,4-4,0,Washington Football Team,17.0,10.0,17.0,273.0,190.0,83.0,1.0,21.0,342.0,230.0,112.0,2.0,5.1,-1.75,2.71,2021,den,October,31,2021/October/31,2021-10-31
9,Sun,November 7,1:00PM ET,boxscore,1,0,5-4,1,Dallas Cowboys,30.0,16.0,23.0,407.0,217.0,190.0,0.0,14.0,290.0,212.0,78.0,2.0,12.79,5.92,-1.79,2021,den,November,7,2021/November/7,2021-11-07
10,Sun,November 14,4:25PM ET,boxscore,0,0,5-5,0,Philadelphia Eagles,13.0,30.0,17.0,308.0,212.0,96.0,1.0,22.0,386.0,172.0,214.0,1.0,-6.62,-8.45,0.91,2021,den,November,14,2021/November/14,2021-11-14
