Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
6,Sun,October 13,4:25PM ET,boxscore,0,0,3-3,1,New York Jets,22.0,24.0,26.0,399.0,270.0,129.0,0.0,20.0,382.0,326.0,56.0,1.0,11.13,-10.83,-3.11,2019,dal,October,13,2019/October/13,2019-10-13
7,Sun,October 20,8:20PM ET,boxscore,1,0,4-3,0,Philadelphia Eagles,37.0,10.0,23.0,402.0,213.0,189.0,1.0,16.0,283.0,168.0,115.0,4.0,15.32,10.92,-0.53,2019,dal,October,20,2019/October/20,2019-10-20
9,Mon,November 4,8:15PM ET,boxscore,1,0,5-3,1,New York Giants,37.0,18.0,24.0,429.0,257.0,172.0,2.0,20.0,271.0,171.0,100.0,3.0,10.68,12.66,-5.61,2019,dal,November,4,2019/November/4,2019-11-04
10,Sun,November 10,8:20PM ET,boxscore,0,0,5-4,0,Minnesota Vikings,24.0,28.0,24.0,443.0,393.0,50.0,1.0,27.0,364.0,211.0,153.0,0.0,18.62,-18.73,-2.89,2019,dal,November,10,2019/November/10,2019-11-10
11,Sun,November 17,1:00PM ET,boxscore,1,0,6-4,1,Detroit Lions,35.0,27.0,26.0,509.0,434.0,75.0,1.0,19.0,312.0,191.0,121.0,0.0,22.23,-7.7,-6.35,2019,dal,November,17,2019/November/17,2019-11-17
12,Sun,November 24,4:25PM ET,boxscore,0,0,6-5,1,New England Patriots,9.0,13.0,16.0,321.0,212.0,109.0,1.0,17.0,282.0,181.0,101.0,0.0,-7.56,7.59,-4.62,2019,dal,November,24,2019/November/24,2019-11-24
13,Thu,November 28,4:30PM ET,boxscore,0,0,6-6,0,Buffalo Bills,15.0,26.0,32.0,426.0,323.0,103.0,2.0,22.0,356.0,232.0,124.0,0.0,7.13,-17.02,-5.01,2019,dal,November,28,2019/November/28,2019-11-28
14,Thu,December 5,8:20PM ET,boxscore,0,0,6-7,1,Chicago Bears,24.0,31.0,22.0,408.0,326.0,82.0,0.0,24.0,382.0,231.0,151.0,2.0,10.67,-10.48,-8.71,2019,dal,December,5,2019/December/5,2019-12-05
15,Sun,December 15,4:25PM ET,boxscore,1,0,7-7,0,Los Angeles Rams,44.0,21.0,25.0,475.0,212.0,263.0,0.0,23.0,289.0,267.0,22.0,1.0,26.77,3.54,-5.18,2019,dal,December,15,2019/December/15,2019-12-15
16,Sun,December 22,4:25PM ET,boxscore,0,0,7-8,1,Philadelphia Eagles,9.0,17.0,16.0,311.0,257.0,54.0,1.0,23.0,431.0,313.0,118.0,0.0,-6.26,-8.73,3.16,2019,dal,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,1,0,8-8,0,Washington Redskins,47.0,16.0,22.0,517.0,294.0,223.0,1.0,13.0,271.0,183.0,88.0,2.0,17.75,18.31,-5.03,2019,dal,December,29,2019/December/29,2019-12-29
1,Sun,September 13,8:20PM ET,boxscore,0,0,0-1,1,Los Angeles Rams,17.0,20.0,24.0,380.0,244.0,136.0,0.0,23.0,422.0,269.0,153.0,1.0,3.18,-12.62,1.54,2020,dal,September,13,2020/September/13,2020-09-13
2,Sun,September 20,1:00PM ET,boxscore,1,0,1-1,0,Atlanta Falcons,40.0,39.0,33.0,570.0,445.0,125.0,3.0,22.0,380.0,267.0,113.0,0.0,17.31,-13.66,-1.38,2020,dal,September,20,2020/September/20,2020-09-20
3,Sun,September 27,4:25PM ET,boxscore,0,0,1-2,1,Seattle Seahawks,31.0,38.0,27.0,522.0,461.0,61.0,3.0,23.0,412.0,295.0,117.0,1.0,9.84,-11.85,-4.6,2020,dal,September,27,2020/September/27,2020-09-27
4,Sun,October 4,1:00PM ET,boxscore,0,0,1-3,0,Cleveland Browns,38.0,49.0,35.0,566.0,481.0,85.0,3.0,33.0,508.0,201.0,307.0,0.0,19.85,-29.43,-1.81,2020,dal,October,4,2020/October/4,2020-10-04
5,Sun,October 11,4:25PM ET,boxscore,1,0,2-3,0,New York Giants,37.0,34.0,28.0,402.0,276.0,126.0,2.0,20.0,300.0,211.0,89.0,1.0,11.9,0.61,-7.75,2020,dal,October,11,2020/October/11,2020-10-11
6,Mon,October 19,8:15PM ET,boxscore,0,0,2-4,0,Arizona Cardinals,10.0,38.0,27.0,344.0,247.0,97.0,4.0,22.0,438.0,177.0,261.0,0.0,-3.91,-23.56,0.53,2020,dal,October,19,2020/October/19,2020-10-19
7,Sun,October 25,1:00PM ET,boxscore,0,0,2-5,1,Washington Football Team,3.0,25.0,12.0,142.0,59.0,83.0,1.0,21.0,397.0,189.0,208.0,0.0,-14.88,-15.64,10.05,2020,dal,October,25,2020/October/25,2020-10-25
8,Sun,November 1,8:20PM ET,boxscore,0,0,2-6,1,Philadelphia Eagles,9.0,23.0,21.0,265.0,132.0,133.0,2.0,18.0,222.0,103.0,119.0,4.0,-21.74,11.99,1.73,2020,dal,November,1,2020/November/1,2020-11-01
9,Sun,November 8,4:25PM ET,boxscore,0,0,2-7,0,Pittsburgh Steelers,19.0,24.0,19.0,364.0,220.0,144.0,2.0,20.0,355.0,309.0,46.0,0.0,-3.09,-4.51,5.6,2020,dal,November,8,2020/November/8,2020-11-08
11,Sun,November 22,4:25PM ET,boxscore,1,0,3-7,1,Minnesota Vikings,31.0,28.0,24.0,376.0,196.0,180.0,1.0,24.0,430.0,305.0,125.0,2.0,15.61,-9.0,-2.73,2020,dal,November,22,2020/November/22,2020-11-22
12,Thu,November 26,4:30PM ET,boxscore,0,0,3-8,0,Washington Football Team,16.0,41.0,13.0,247.0,187.0,60.0,2.0,22.0,338.0,156.0,182.0,1.0,-17.92,-8.38,-1.4,2020,dal,November,26,2020/November/26,2020-11-26
13,Tue,December 8,8:05PM ET,boxscore,0,0,3-9,1,Baltimore Ravens,17.0,34.0,29.0,388.0,277.0,111.0,1.0,19.0,401.0,107.0,294.0,1.0,10.45,-19.5,-3.43,2020,dal,December,8,2020/December/8,2020-12-08
