Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
11,Sun,1:00PM ET,0,0,6-4,1,Detroit Lions,19.0,20.0,20.0,387.0,331.0,56.0,1.0,20.0,309.0,215.0,94.0,0.0,11.72,-3.68,-12.13,2018,0.6,car,2018-11-18
12,Sun,1:00PM ET,0,0,6-5,0,Seattle Seahawks,27.0,30.0,26.0,476.0,256.0,220.0,1.0,21.0,397.0,322.0,75.0,0.0,18.96,-17.77,-10.19,2018,0.5454545454545454,car,2018-11-25
13,Sun,1:00PM ET,0,0,6-6,1,Tampa Bay Buccaneers,17.0,24.0,27.0,444.0,276.0,168.0,4.0,18.0,315.0,220.0,95.0,1.0,0.03,-4.28,-1.17,2018,0.5,car,2018-12-02
14,Sun,1:00PM ET,0,0,6-7,1,Cleveland Browns,20.0,26.0,22.0,393.0,297.0,96.0,1.0,12.0,348.0,232.0,116.0,2.0,0.14,-4.41,-2.47,2018,0.46153846153846156,car,2018-12-09
15,Mon,8:15PM ET,0,0,6-8,0,New Orleans Saints,9.0,12.0,13.0,247.0,149.0,98.0,2.0,21.0,346.0,191.0,155.0,2.0,-9.06,4.68,-4.46,2018,0.42857142857142855,car,2018-12-17
16,Sun,1:00PM ET,0,0,6-9,0,Atlanta Falcons,10.0,24.0,29.0,436.0,295.0,141.0,4.0,16.0,427.0,233.0,194.0,2.0,-10.77,-9.76,2.58,2018,0.4,car,2018-12-23
17,Sun,1:00PM ET,1,0,7-9,1,New Orleans Saints,33.0,14.0,25.0,374.0,263.0,111.0,0.0,17.0,294.0,110.0,184.0,1.0,19.43,-1.59,-0.9,2018,0.4375,car,2018-12-30
1,Sun,1:00PM ET,0,0,0-1,0,Los Angeles Rams,27.0,30.0,21.0,343.0,216.0,127.0,3.0,22.0,349.0,183.0,166.0,1.0,-3.24,-4.57,3.39,2019,0.0,car,2019-09-08
2,Thu,8:20PM ET,0,0,0-2,0,Tampa Bay Buccaneers,14.0,20.0,20.0,352.0,313.0,39.0,1.0,16.0,289.0,189.0,100.0,0.0,-14.8,2.31,8.98,2019,0.0,car,2019-09-12
3,Sun,4:05PM ET,1,0,1-2,1,Arizona Cardinals,38.0,20.0,21.0,413.0,240.0,173.0,1.0,21.0,248.0,127.0,121.0,2.0,19.08,3.15,-3.46,2019,0.3333333333333333,car,2019-09-22
4,Sun,1:00PM ET,1,0,2-2,1,Houston Texans,16.0,10.0,19.0,297.0,203.0,94.0,3.0,18.0,264.0,128.0,136.0,2.0,-5.69,9.25,-1.44,2019,0.5,car,2019-09-29
5,Sun,1:00PM ET,1,0,3-2,0,Jacksonville Jaguars,34.0,27.0,22.0,445.0,160.0,285.0,0.0,28.0,507.0,358.0,149.0,3.0,16.1,-5.62,-6.41,2019,0.6,car,2019-10-06
6,Sun,9:30AM ET,1,0,4-2,1,Tampa Bay Buccaneers,37.0,26.0,17.0,268.0,209.0,59.0,1.0,23.0,407.0,365.0,42.0,7.0,-2.76,14.39,-0.09,2019,0.6666666666666666,car,2019-10-13
8,Sun,4:05PM ET,0,0,4-3,1,San Francisco 49ers,13.0,51.0,12.0,230.0,100.0,130.0,3.0,24.0,388.0,156.0,232.0,1.0,-30.05,-15.84,7.14,2019,0.5714285714285714,car,2019-10-27
