Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
12,Mon,8:15PM ET,1,0,9-2,1,Los Angeles Rams,45.0,6.0,31.0,480.0,195.0,285.0,0.0,14.0,221.0,199.0,22.0,2.0,32.32,8.52,-4.27,2019,rav,November,25,2019-11-25
13,Sun,1:00PM ET,1,0,10-2,0,San Francisco 49ers,20.0,17.0,21.0,283.0,105.0,178.0,1.0,15.0,331.0,157.0,174.0,1.0,6.4,-6.2,1.2,2019,rav,December,1,2019-12-01
14,Sun,1:00PM ET,1,0,11-2,1,Buffalo Bills,24.0,17.0,18.0,257.0,139.0,118.0,1.0,16.0,209.0,105.0,104.0,1.0,-0.75,10.78,-2.47,2019,rav,December,8,2019-12-08
15,Thu,8:20PM ET,1,0,12-2,0,New York Jets,42.0,21.0,23.0,430.0,212.0,218.0,0.0,13.0,310.0,207.0,103.0,2.0,25.99,6.5,-9.13,2019,rav,December,12,2019-12-12
16,Sun,1:00PM ET,1,0,13-2,1,Cleveland Browns,31.0,15.0,31.0,481.0,238.0,243.0,1.0,17.0,241.0,184.0,57.0,1.0,21.45,0.38,-4.46,2019,rav,December,22,2019-12-22
17,Sun,4:25PM ET,1,0,14-2,0,Pittsburgh Steelers,28.0,10.0,19.0,304.0,81.0,223.0,2.0,10.0,168.0,77.0,91.0,2.0,-4.16,11.07,8.63,2019,rav,December,29,2019-12-29
Division,Sat,8:15PM ET,0,0,14-3,0,Tennessee Titans,12.0,28.0,29.0,530.0,345.0,185.0,3.0,15.0,300.0,83.0,217.0,0.0,-4.11,-10.45,-1.35,2019,rav,January,11,2019-01-11
1,Sun,1:00PM ET,1,0,1-0,0,Cleveland Browns,38.0,6.0,23.0,381.0,270.0,111.0,1.0,20.0,306.0,168.0,138.0,3.0,16.62,8.32,8.64,2020,rav,September,13,2020-09-13
2,Sun,4:25PM ET,1,0,2-0,1,Houston Texans,33.0,16.0,23.0,407.0,177.0,230.0,0.0,18.0,304.0,253.0,51.0,2.0,15.93,5.68,-3.2,2020,rav,September,20,2020-09-20
3,Mon,8:15PM ET,0,0,2-1,0,Kansas City Chiefs,20.0,34.0,16.0,228.0,70.0,158.0,1.0,29.0,517.0,385.0,132.0,1.0,-4.74,-26.62,17.39,2020,rav,September,28,2020-09-28
4,Sun,1:00PM ET,1,0,3-1,1,Washington Football Team,31.0,17.0,18.0,350.0,206.0,144.0,2.0,24.0,343.0,274.0,69.0,1.0,8.74,-2.58,9.39,2020,rav,October,4,2020-10-04
5,Sun,1:00PM ET,1,0,4-1,0,Cincinnati Bengals,27.0,3.0,17.0,332.0,171.0,161.0,1.0,12.0,205.0,135.0,70.0,3.0,2.28,28.69,-3.99,2020,rav,October,11,2020-10-11
6,Sun,1:00PM ET,1,0,5-1,1,Philadelphia Eagles,30.0,28.0,17.0,355.0,173.0,182.0,0.0,19.0,364.0,170.0,194.0,1.0,-0.7,-1.83,9.68,2020,rav,October,18,2020-10-18
