Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
14,Sun,December 8,8:20PM ET,boxscore,1,0,8-5,0,Seattle Seahawks,28.0,12.0,26.0,455.0,293.0,162.0,2.0,16.0,308.0,202.0,106.0,1.0,13.97,7.74,-4.96,2019,ram,December,8,2019/December/8,2019-12-08
15,Sun,December 15,4:25PM ET,boxscore,0,0,8-6,1,Dallas Cowboys,21.0,44.0,23.0,289.0,267.0,22.0,1.0,25.0,475.0,212.0,263.0,0.0,-3.54,-26.77,5.18,2019,ram,December,15,2019/December/15,2019-12-15
16,Sat,December 21,8:15PM ET,boxscore,0,0,8-7,1,San Francisco 49ers,31.0,34.0,24.0,395.0,323.0,72.0,1.0,19.0,334.0,215.0,119.0,2.0,3.16,-3.67,-1.84,2019,ram,December,21,2019/December/21,2019-12-21
17,Sun,December 29,4:25PM ET,boxscore,1,0,9-7,0,Arizona Cardinals,31.0,24.0,25.0,424.0,311.0,113.0,0.0,22.0,393.0,322.0,71.0,5.0,16.31,-3.53,-5.85,2019,ram,December,29,2019/December/29,2019-12-29
1,Sun,September 13,8:20PM ET,boxscore,1,0,1-0,0,Dallas Cowboys,20.0,17.0,23.0,422.0,269.0,153.0,1.0,24.0,380.0,244.0,136.0,0.0,12.62,-3.18,-1.54,2020,ram,September,13,2020/September/13,2020-09-13
2,Sun,September 20,1:00PM ET,boxscore,1,0,2-0,1,Philadelphia Eagles,37.0,19.0,30.0,449.0,258.0,191.0,1.0,25.0,363.0,242.0,121.0,3.0,27.57,0.85,-8.25,2020,ram,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,0,0,2-1,1,Buffalo Bills,32.0,35.0,28.0,478.0,311.0,167.0,2.0,23.0,375.0,274.0,101.0,2.0,19.86,-17.83,-6.79,2020,ram,September,27,2020/September/27,2020-09-27
4,Sun,October 4,4:05PM ET,boxscore,1,0,3-1,0,New York Giants,17.0,9.0,15.0,240.0,182.0,58.0,1.0,19.0,295.0,159.0,136.0,1.0,1.88,8.39,-3.27,2020,ram,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,1,0,4-1,1,Washington Football Team,30.0,10.0,20.0,429.0,300.0,129.0,1.0,10.0,108.0,70.0,38.0,0.0,12.32,15.55,-9.05,2020,ram,October,11,2020/October/11,2020-10-11
6,Sun,October 18,8:20PM ET,boxscore,0,0,4-2,1,San Francisco 49ers,16.0,24.0,17.0,311.0,198.0,113.0,1.0,24.0,390.0,268.0,122.0,0.0,2.05,-12.69,2.53,2020,ram,October,18,2020/October/18,2020-10-18
