iter	RMSE
126	4.431313385
127	4.39770522
128	4.372456677
129	4.346490078
130	4.313612196
131	4.290439683
132	4.263131509
133	4.232528081
134	4.205463265
135	4.173641308
136	4.153207946
137	4.126992061
138	4.100846227
139	4.071837754
140	4.045486638
141	4.016772443
142	3.993754422
143	3.966146001
144	3.938746555
145	3.914847134
146	3.886842116
147	3.866656567
148	3.840412468
149	3.818027865
150	3.795081894
151	3.773908777
152	3.748687177
153	3.725551391
154	3.704311059
155	3.681492559
156	3.658511601
157	3.632983354
158	3.597325979
159	3.579470388
160	3.550910826
161	3.526810268
162	3.49818215
163	3.479815049
164	3.457589452
165	3.438124943
166	3.413886314
167	3.396177772
168	3.376089208
169	3.355454617
170	3.336431026
171	3.310428239
172	3.28842969
173	3.265941459
174	3.239854549
175	3.215109431
176	3.196457094
177	3.176235598
178	3.152760527
179	3.129392108
180	3.10514785
181	3.085777422
182	3.063153851
183	3.044005927
184	3.023342022
185	3.003928846
186	2.985374657
187	2.964587269
188	2.948574715
189	2.931073127
190	2.914010559
191	2.895163494
192	2.875802886
193	2.859421417
194	2.841210366
195	2.822306453
196	2.802374907
197	2.78557004
198	2.763534566
199	2.747008735
200	2.727815536
201	2.716469904
202	2.700454031
203	2.682025709
204	2.664807229
205	2.649442322
206	2.627496552
207	2.61222303
208	2.595550772
209	2.575943277
210	2.556812822
211	2.543278021
212	2.527042074
213	2.505614928
214	2.490668991
215	2.47553604
216	2.459426565
217	2.442610344
218	2.424461563
219	2.40567615
220	2.389726916
221	2.374747409
222	2.35873229
223	2.34400968
224	2.32580844
225	2.308287727
226	2.293752547
227	2.279472603
228	2.262730191
229	2.245423235
230	2.230322026
231	2.218796841
232	2.204197115
233	2.18975871
234	2.174098587
235	2.159068525
236	2.143322235
237	2.128292768
238	2.112277921
239	2.096746937
240	2.084512829
241	2.07339602
242	2.060796607
243	2.046698939
244	2.03181632
245	2.021644902
246	2.009382713
247	1.994198737
248	1.986016902
249	1.971396273
250	1.958994806
251	1.94499484
252	1.931852114
253	1.919703005
254	1.905249427
255	1.894471274
256	1.880763856
257	1.865783077
258	1.853604871
259	1.840133401
260	1.828037803
261	1.814493896
262	1.801418884
263	1.788191209
264	1.777783949
265	1.765493388
266	1.753430193
267	1.743286245
268	1.731104861
269	1.719126188
270	1.708596821
271	1.696531947
272	1.688072982
273	1.681365503
274	1.671981063
275	1.660552541
276	1.650122377
277	1.639426563
278	1.628769909
279	1.617257713
280	1.607492163
281	1.598288779
282	1.587631094
283	1.577782743
284	1.569148944
285	1.559115841
286	1.550313196
287	1.541038005
288	1.530785906
289	1.520734496
290	1.512914552
291	1.502476408
292	1.493271344
293	1.486423165
294	1.478764525
295	1.47058664
296	1.461253496
297	1.453509294
298	1.445681513
299	1.437618278
300	1.426322228
301	1.418410158
302	1.411430247
303	1.402788656
304	1.397564897
305	1.390800355
306	1.384133427
307	1.376567301
308	1.370050034
309	1.365117855
310	1.358754844
311	1.352484264
312	1.346947772
313	1.338619538
314	1.331624328
315	1.324461633
316	1.317382051
317	1.310384618
318	1.304497193
319	1.296902786
320	1.290081528
321	1.278797148
322	1.271542576
323	1.258854712
324	1.249135239
325	1.242549794
326	1.235538831
327	1.228936846
328	1.224694188
329	1.218228267
330	1.211287363
331	1.204979747
332	1.198776924
333	1.192677252
334	1.186679115
335	1.180046984
336	1.171752407
337	1.162795125
338	1.157009505
339	1.151320224
340	1.145985886
341	1.140716151
342	1.135510305
343	1.130367643
344	1.125287468
345	1.11975131
346	1.114307464
347	1.109311755
348	1.10437692
349	1.099046059
350	1.094182373
351	1.088951353
352	1.083807783
353	1.079024819
354	1.074300398
355	1.069633869
356	1.061779994
357	1.056778627
358	1.052215399
359	1.047307721
360	1.039662929
361	1.034861289
362	1.030140032
363	1.022418451
364	1.017801419
365	1.013406984
366	1.008876624
367	1.001517462
368	0.9970750427
369	0.9897553285
370	0.985417276
371	0.981151978
372	0.9769079766
373	0.9697692208
374	0.9627248417
375	0.9557810997
376	0.9488355585
377	0.9419842295
378	0.9351970971
379	0.9293773283
380	0.9227082459
381	0.9166424573
382	0.9126737146
383	0.9075532884
384	0.9025189366
385	0.8986448518
386	0.893063464
387	0.8872551782
388	0.8823613908
389	0.8760369239
390	0.8712537392
391	0.8673415292
392	0.8611653668
393	0.8573258144
394	0.8535397904
395	0.8484881301
396	0.8435030267
397	0.8375289461
398	0.8331037339
399	0.8282572348
400	0.8234925594
401	0.8183389276
402	0.81369534
403	0.8074185744
404	0.801244934
405	0.7951728565
406	0.7892008022
407	0.7833272532
408	0.7781827485
409	0.7734606203
410	0.7677717035
411	0.7621769627
412	0.7573141279
413	0.7524082152
414	0.7471381386
415	0.7424325327
416	0.7371651287
417	0.7320963156
418	0.7274026203
419	0.7227801965
420	0.7178583908
421	0.7133387694
422	0.7093523049
423	0.7050313655
424	0.7011521447
425	0.6969218345
426	0.6931467886
427	0.6894456787
428	0.68581704
429	0.6819021184
430	0.6780839414
431	0.6742082054
432	0.6704215197
433	0.6667219209
434	0.6631074817
435	0.6585738679
436	0.6541145303
437	0.6494057545
438	0.6460114125
439	0.6425965546
440	0.6382923176
441	0.633745986
442	0.6292850072
443	0.6260779873
444	0.6229225523
445	0.6187231049
446	0.6156590411
447	0.6113614835
448	0.6086120491
449	0.604405763
450	0.6014697158
451	0.5975327043
452	0.5934575518
453	0.5906048028
454	0.5869378762
455	0.5833239884
456	0.5795264463
457	0.5757872127
458	0.5730229133
459	0.56982583
460	0.5671206518
461	0.5639712231
462	0.5613238135
463	0.5582213309
464	0.554847879
465	0.5522702676
466	0.5492447095
467	0.5462593701
468	0.5437417327
469	0.5408011285
470	0.5381078852
471	0.5356679365
472	0.5329964394
473	0.5301195863
474	0.5277527581
475	0.52396335
476	0.5202639185
477	0.517718333
478	0.5154375965
479	0.5118481874
480	0.5092066124
481	0.5066175264
482	0.5039155167
483	0.5017362717
484	0.4992266514
485	0.4966057092
486	0.4940944518
487	0.492000014
488	0.4892723283
489	0.4874816167
490	0.4850692953
491	0.4825786429
492	0.4805710084
493	0.4788468151
494	0.4778354068
495	0.4768363804
496	0.475849579
497	0.4748748482
498	0.4739120357
499	0.4729609914
500	0.4720215673
501	0.4710936172
502	0.4701769973
503	0.4693642227
504	0.4684667824
505	0.4676708201
506	0.4650231338
507	0.4641540134
508	0.4612891685
509	0.4605242357
510	0.4577124268
511	0.4551863312
512	0.4520339056
513	0.4488436846
514	0.4462035148
515	0.4435298627
516	0.4409378858
517	0.4380470344
518	0.4354451985
519	0.4329224344
520	0.4302896374
521	0.4275001819
522	0.4246638333
523	0.4219953719
524	0.420309345
525	0.4177444737
526	0.4152989453
527	0.4125601262
528	0.4100646611
529	0.4076786868
530	0.4051140399
531	0.4025152249
532	0.3999521362
533	0.3973343348
534	0.3949409947
535	0.3926774167
536	0.3903062684
537	0.3878461984
538	0.3853267175
539	0.3830197834
540	0.3806187761
541	0.378359375
542	0.376221429
543	0.3737926
544	0.3714727633
545	0.3692842496
546	0.3671311988
547	0.3650791915
548	0.3628333949
549	0.3606069661
550	0.3584038687
551	0.3562284726
552	0.3540671111
553	0.3518008947
554	0.3498736798
555	0.3477744366
556	0.3456882738
557	0.3436305822
558	0.341590065
559	0.339571039
560	0.3374205169
561	0.3356099021
562	0.3336738961
563	0.3317233003
564	0.3297809957
565	0.327866872
566	0.3259686862
567	0.3240902089
568	0.3220598004
569	0.3203672893
570	0.3184900336
571	0.3166716744
572	0.3147033565
573	0.3129209618
574	0.3111403645
575	0.3095297623
576	0.3077292891
577	0.3058310992
578	0.3041129547
579	0.3017025435
580	0.2999598993
581	0.2975955716
582	0.2952652856
583	0.2929686216
584	0.29129096
585	0.2890383893
586	0.2868184397
587	0.284630707
588	0.2826939576
589	0.2807808862
590	0.2788911815
591	0.2770245367
592	0.2751806495
593	0.2733592221
594	0.2715599609
595	0.269782577
596	0.2688474613
597	0.2670964205
598	0.2661782519
599	0.2652721267
600	0.2632744371
601	0.2623833159
602	0.2615039101
603	0.2601907495
604	0.2582366873
605	0.2569562529
606	0.2550388297
607	0.2534005618
608	0.2517820624
609	0.249920855
610	0.2483719795
611	0.2468430376
612	0.2456250949
613	0.2441190059
614	0.2426322851
615	0.2414432055
616	0.2399787153
617	0.2388802544
618	0.2374364421
619	0.2362878072
620	0.2355234412
621	0.2344689804
622	0.2330510119
623	0.232310998
624	0.2312121469
625	0.2298177509
626	0.2288070258
627	0.2278599948
628	0.2268199392
629	0.22580124
630	0.2243483022
631	0.222913373
632	0.2217419346
633	0.2203345374
634	0.2191840423
635	0.2178036666
636	0.2165617437
637	0.2151385602
638	0.2137326778
639	0.2125237693
640	0.2111447686
641	0.2097825819
642	0.2084370222
643	0.2071256385
644	0.2058455535
645	0.2045808139
646	0.2033323612
647	0.2027093483
648	0.2017375621
649	0.2005135981
650	0.1994356727
651	0.198383656
652	0.1973569747
653	0.1964692397
654	0.1956427182
655	0.194653731
656	0.1934766398
657	0.1928935743
658	0.1920959191
659	0.1909375038
660	0.1901558027
661	0.1893005943
662	0.1885244018
663	0.1873895779
664	0.1866360541
665	0.1858958609
666	0.185328831
667	0.184111549
668	0.1830033438
669	0.1822874703
670	0.1811140528
671	0.1799797873
672	0.1793068345
673	0.1781581747
674	0.1770508286
675	0.1763760812
676	0.1755615747
677	0.1745076764
678	0.1738264353
679	0.1728805282
680	0.1719557749
681	0.170611088
682	0.1695095214
683	0.168493736
684	0.1677297417
685	0.1667323725
686	0.1658553312
687	0.164997846
688	0.1643905869
689	0.1634171468
690	0.162733624
691	0.1614656197
692	0.1602122733
693	0.1589734161
694	0.1580356957
695	0.1572301507
696	0.1564425435
697	0.1552370233
698	0.1540454593
699	0.1528676912
700	0.1519695317
701	0.1514293405
702	0.1505454516
703	0.1499146819
704	0.1490459464
705	0.1485231732
706	0.1476609013
707	0.1470468783
708	0.1462251288
709	0.1451082643
710	0.1440043156
711	0.1429131346
712	0.1418345752
713	0.14101231
714	0.1405163225
715	0.1398278048
716	0.1391471601
717	0.1386634477
718	0.1381788591
719	0.1375068416
720	0.136842524
721	0.1361858287
722	0.1357137323
723	0.135240262
724	0.1345918833
725	0.1339509591
726	0.1334870285
727	0.1328539836
728	0.1322282349
729	0.1317718075
730	0.1311537545
731	0.1307357996
732	0.1301256433
733	0.1295501103
734	0.1291420756
735	0.1285417479
736	0.1279483773
737	0.127361893
738	0.1269271111
739	0.1263478505
740	0.1260136617
741	0.1254417251
742	0.1248959509
743	0.1244751587
744	0.1239121808
745	0.1235897567
746	0.1230338828
747	0.1223933052
748	0.121757013
749	0.1214412933
750	0.1208172756
751	0.1202025104
752	0.1195847165
753	0.119277206
754	0.1187595714
755	0.1184543315
756	0.1179308635
757	0.1173286954
758	0.1170292708
759	0.1163462253
760	0.1157561126
761	0.1150882772
762	0.1146806314
763	0.1141039441
764	0.1135357579
765	0.1131634782
766	0.1124582627
767	0.1120926474
768	0.1114937306
769	0.1108048939
770	0.1104715385
771	0.1098850243
772	0.1095319741
773	0.1088600438
774	0.1085376312
775	0.1079643043
776	0.1074289684
777	0.10708701
778	0.1065607132
779	0.1062472034
780	0.1056008979
781	0.1051422981
782	0.1045057323
783	0.1041997131
784	0.103655663
785	0.1031590962
786	0.1028549294
787	0.1023679635
788	0.1017518332
789	0.1014585229
790	0.1009301548
791	0.1004955211
792	0.1000184607
793	0.09954772248
794	0.09907905638
795	0.09879150629
796	0.09833020044
797	0.09787393472
798	0.09742071284
799	0.09697447916
800	0.09652915997
801	0.09608989181
802	0.09569557649
803	0.09526324444
804	0.09499584236
805	0.09461170643
806	0.09418766376
807	0.09381159278
808	0.09339418281
809	0.0930259841
810	0.09261507507
811	0.09225456076
812	0.09185002395
813	0.09149701088
814	0.09107856043
815	0.09078390673
816	0.09038857976
817	0.09009867549
818	0.08969214448
819	0.0892579151
820	0.08897499886
821	0.08859050257
822	0.08821116916
823	0.08793284909
824	0.08754261309
825	0.08726961392
826	0.08682911942
827	0.08656204193
828	0.08605951526
829	0.08565269016
830	0.08539207172
831	0.08499295603
832	0.08464428629
833	0.08428287341
834	0.08403107393
835	0.08367454201
836	0.08332278789
837	0.08307493737
838	0.08272791187
839	0.08211794392
840	0.08190085255
841	0.08143068767
842	0.0811895603
843	0.08095215436
844	0.08061539192
845	0.08038164472
846	0.08001368316
847	0.07955974524
848	0.07933125849
849	0.07896732081
850	0.07874353198
851	0.07816307692
852	0.07759155718
853	0.07702883938
854	0.07647479211
855	0.07627405279
856	0.07572993088
857	0.07553336998
858	0.07533956604
859	0.07490421384
860	0.07449124768
861	0.07418383354
862	0.07397182682
863	0.07363528176
864	0.07311255312
865	0.07292719718
866	0.07272086244
867	0.0723853539
868	0.07187478972
869	0.07169445903
870	0.0711171186
871	0.07054723602
872	0.06998471659
873	0.06942946686
874	0.06888139462
875	0.06834040886
876	0.06785072987
877	0.06732189676
878	0.06684373509
879	0.0663267844
880	0.0658598665
881	0.0653545347
882	0.06485575769
883	0.06438505569
884	0.06393910085
885	0.06345619597
886	0.06297956912
887	0.0625295366
888	0.0622174961
889	0.06177513955
890	0.06135576623
891	0.06090158104
892	0.06047436306
893	0.06035786969
894	0.05991457792
895	0.05949772065
896	0.05938359533
897	0.05897269913
898	0.05886021563
899	0.05843232405
900	0.05803135004
901	0.05792111609
902	0.05778831119
903	0.05739356638
904	0.0571257971
905	0.05671497896
906	0.05633100362
907	0.05605350334
908	0.05568887985
909	0.05531552592
910	0.0549874569
911	0.05466474698
912	0.05431177906
913	0.05420695812
914	0.05382405546
915	0.05347974028
916	0.05316715547
917	0.05306448694
918	0.05272637725
919	0.05262527133
920	0.05225776342
921	0.05191591991
922	0.05156896105
923	0.05147008378
924	0.05113537998
925	0.05103785335
926	0.05068594413
927	0.05035924731
928	0.05026354426
929	0.04994138509
930	0.04961119487
931	0.04951707613
932	0.04920159747
933	0.04910874405
934	0.04901694965
935	0.04870600963
936	0.0483080907
937	0.04799154264
938	0.04790199964
939	0.0478134788
940	0.0475107944
941	0.04723439041
942	0.04693764454
943	0.04684626007
944	0.046731014
945	0.04641583122
946	0.04612662278
947	0.04601382269
948	0.04590234928
949	0.04559827105
950	0.04531647975
951	0.04520738024
952	0.04512045023
953	0.04501556723
954	0.04473825958
955	0.04460587125
956	0.0443132137
957	0.04404267937
958	0.04391315465
959	0.04381100757
960	0.04352589999
961	0.04326211731
962	0.04313559684
963	0.0428572271
964	0.04273282412
965	0.04263399403
966	0.04236041905
967	0.04210618202
968	0.04198464545
969	0.04171753745
970	0.04146947382
971	0.04135052168
972	0.04125501409
973	0.04099479715
974	0.04087801638
975	0.04063664886
976	0.04054342853
977	0.04028991989
978	0.04017580485
979	0.03994039817
980	0.03982817553
981	0.03973737189
982	0.03949090355
983	0.03926129391
984	0.03915161851
985	0.03891097242
986	0.03868689185
987	0.0385795087
988	0.03849182881
989	0.03825739117
990	0.03815195456
991	0.0379338505
992	0.03786631178
993	0.03763772698
994	0.03753476552
995	0.03732197505
996	0.03722069746
997	0.03713679743
998	0.03691455232
999	0.03670694335
9	0.02511917167
